,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.298776179519763,0.9020576233271163,0.9734477638368442,0.16146924187751965,7481.8276426792145,Ridge,SNPs,-,314263,0.36384532116469326,0.7456593974017455,0.9704521878024068,0.1561966094382709,0.36455345354424523,0.5910129238364875,0.033883457347924834,0.15298431697202902,
1,0.5284784709655126,0.8653160740678516,0.9547421892372248,0.20541695455935965,11222.741464018822,Ridge,SNPs,-,314263,0.36384532116469326,0.7456593974017455,0.9704521878024068,0.1561966094382709,0.36455345354424523,0.5910129238364875,0.033883457347924834,0.15298431697202902,
2,0.19847995054022305,1.172217065383757,1.0,2.7399931523288216e-13,1.1909494892268811e-08,Ridge,SNPs,-,314263,0.36384532116469326,0.7456593974017455,0.9704521878024068,0.1561966094382709,0.36455345354424523,0.5910129238364875,0.033883457347924834,0.15298431697202902,
3,0.2550093762352057,1.1514779008515397,0.9750089341142686,0.1510003312439955,7481.8276426792145,Ridge,SNPs,-,314263,0.36384532116469326,0.7456593974017455,0.9704521878024068,0.1561966094382709,0.36455345354424523,0.5910129238364875,0.033883457347924834,0.15298431697202902,
4,0.7302418976564541,0.35880460115567825,0.9571232891460749,0.2130497496222023,11222.741464018822,Ridge,SNPs,-,314263,0.36384532116469326,0.7456593974017455,0.9704521878024068,0.1561966094382709,0.36455345354424523,0.5910129238364875,0.033883457347924834,0.15298431697202902,
5,0.09270766666806762,0.450854314856958,0.9582533308715592,0.21251600835621448,11222.741464018822,Ridge,SNPs,-,314263,0.36384532116469326,0.7456593974017455,0.9704521878024068,0.1561966094382709,0.36455345354424523,0.5910129238364875,0.033883457347924834,0.15298431697202902,
6,0.5069423593323443,0.5923037507122095,0.9737985057069332,0.16438719571085528,7481.8276426792145,Ridge,SNPs,-,314263,0.36384532116469326,0.7456593974017455,0.9704521878024068,0.1561966094382709,0.36455345354424523,0.5910129238364875,0.033883457347924834,0.15298431697202902,
7,0.2571076449764953,0.7543268923242856,0.9990033575904721,0.03195814701394624,1477.8918800354004,Ridge,SNPs,-,314263,0.36384532116469326,0.7456593974017455,0.9704521878024068,0.1561966094382709,0.36455345354424523,0.5910129238364875,0.033883457347924834,0.15298431697202902,
8,0.37380730548798613,0.34678189988738833,0.9575605689335581,0.21456183580067217,11222.741464018822,Ridge,SNPs,-,314263,0.36384532116469326,0.7456593974017455,0.9704521878024068,0.1561966094382709,0.36455345354424523,0.5910129238364875,0.033883457347924834,0.15298431697202902,
9,0.39690236026488057,0.8624538514506708,0.9555839385871333,0.20760663019766984,11222.741464018822,Ridge,SNPs,-,314263,0.36384532116469326,0.7456593974017455,0.9704521878024068,0.1561966094382709,0.36455345354424523,0.5910129238364875,0.033883457347924834,0.15298431697202902,
0,0.411085230495443,0.8266699935660136,0.6857576130574825,0.5554841067237132,0.03901844231062338,Lasso,SNPs,-,314263,0.5089353195847961,0.6573856473604447,0.7132249580019414,0.5335863833646398,0.2728716072628055,0.5282043633110655,0.10502910251511628,0.12181257066822399,
1,0.5656558562528373,0.830502593414512,0.6538724793160728,0.5680774901983695,0.03901844231062338,Lasso,SNPs,-,314263,0.5089353195847961,0.6573856473604447,0.7132249580019414,0.5335863833646398,0.2728716072628055,0.5282043633110655,0.10502910251511628,0.12181257066822399,
2,0.38728613213691343,1.0248957671100518,0.8108023430861558,0.4171518611050198,0.02601229487374892,Lasso,SNPs,-,314263,0.5089353195847961,0.6573856473604447,0.7132249580019414,0.5335863833646398,0.2728716072628055,0.5282043633110655,0.10502910251511628,0.12181257066822399,
3,0.40538481837049434,1.0287224097737278,0.8106745485475833,0.41561384919033967,0.02601229487374892,Lasso,SNPs,-,314263,0.5089353195847961,0.6573856473604447,0.7132249580019414,0.5335863833646398,0.2728716072628055,0.5282043633110655,0.10502910251511628,0.12181257066822399,
4,0.7635515580280605,0.33592241435987336,0.692215879720375,0.5708124034254387,0.03901844231062338,Lasso,SNPs,-,314263,0.5089353195847961,0.6573856473604447,0.7132249580019414,0.5335863833646398,0.2728716072628055,0.5282043633110655,0.10502910251511628,0.12181257066822399,
5,0.5503395706372451,0.317398555029826,0.7038449474272814,0.5660311190273037,0.03901844231062338,Lasso,SNPs,-,314263,0.5089353195847961,0.6573856473604447,0.7132249580019414,0.5335863833646398,0.2728716072628055,0.5282043633110655,0.10502910251511628,0.12181257066822399,
6,0.6120821127925112,0.5253703256810539,0.6888740312369488,0.5664650082337337,0.03901844231062338,Lasso,SNPs,-,314263,0.5089353195847961,0.6573856473604447,0.7132249580019414,0.5335863833646398,0.2728716072628055,0.5282043633110655,0.10502910251511628,0.12181257066822399,
7,0.4601223715519652,0.6430493626050294,0.7063939982066068,0.5485224069198599,0.03901844231062338,Lasso,SNPs,-,314263,0.5089353195847961,0.6573856473604447,0.7132249580019414,0.5335863833646398,0.2728716072628055,0.5282043633110655,0.10502910251511628,0.12181257066822399,
