,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.7432413513829057,0.5043302413504648,0.9866416919729086,0.115627340319764,7481.8276426792145,Ridge,SNPs,-,366534,0.6716660762318087,0.5667087999791403,0.9885893457880873,0.10593509380205135,0.07765474697872325,0.09594094562990638,0.0059367128197431885,0.029435050263002173,
1,0.5963396092580195,0.577614990486364,0.9920925954678234,0.0897733160615898,4987.885095119476,Ridge,SNPs,-,366534,0.6716660762318087,0.5667087999791403,0.9885893457880873,0.10593509380205135,0.07765474697872325,0.09594094562990638,0.0059367128197431885,0.029435050263002173,
2,0.663895742762808,0.5650255064923415,0.9863798324675461,0.11701701199598104,7481.8276426792145,Ridge,SNPs,-,366534,0.6716660762318087,0.5667087999791403,0.9885893457880873,0.10593509380205135,0.07765474697872325,0.09594094562990638,0.0059367128197431885,0.029435050263002173,
3,0.6978815553841241,0.5478121849962291,0.9862569074246647,0.11725841674505835,7481.8276426792145,Ridge,SNPs,-,366534,0.6716660762318087,0.5667087999791403,0.9885893457880873,0.10593509380205135,0.07765474697872325,0.09594094562990638,0.0059367128197431885,0.029435050263002173,
4,0.6719043318083526,0.5675611716738055,0.9924477946105005,0.08695191985421463,4987.885095119476,Ridge,SNPs,-,366534,0.6716660762318087,0.5667087999791403,0.9885893457880873,0.10593509380205135,0.07765474697872325,0.09594094562990638,0.0059367128197431885,0.029435050263002173,
5,0.6932770833242778,0.48428089100946986,0.9859919853786517,0.11989242573315212,7481.8276426792145,Ridge,SNPs,-,366534,0.6716660762318087,0.5667087999791403,0.9885893457880873,0.10593509380205135,0.07765474697872325,0.09594094562990638,0.0059367128197431885,0.029435050263002173,
6,0.6757255178162087,0.6310982565126091,0.9919003171548361,0.08875401957000296,4987.885095119476,Ridge,SNPs,-,366534,0.6716660762318087,0.5667087999791403,0.9885893457880873,0.10593509380205135,0.07765474697872325,0.09594094562990638,0.0059367128197431885,0.029435050263002173,
7,0.6875347116823007,0.5900197945541792,0.9861485608603134,0.1168572064810799,7481.8276426792145,Ridge,SNPs,-,366534,0.6716660762318087,0.5667087999791403,0.9885893457880873,0.10593509380205135,0.07765474697872325,0.09594094562990638,0.0059367128197431885,0.029435050263002173,
8,0.6546758762527203,0.6417248507442762,0.9919547636593332,0.08872346171681798,4987.885095119476,Ridge,SNPs,-,366534,0.6716660762318087,0.5667087999791403,0.9885893457880873,0.10593509380205135,0.07765474697872325,0.09594094562990638,0.0059367128197431885,0.029435050263002173,
9,0.6321849826463702,0.5576201119716631,0.986079008884296,0.11849581954285265,7481.8276426792145,Ridge,SNPs,-,366534,0.6716660762318087,0.5667087999791403,0.9885893457880873,0.10593509380205135,0.07765474697872325,0.09594094562990638,0.0059367128197431885,0.029435050263002173,
