,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.5624722826021334,0.4782138370124585,1.0,2.63999541151694e-13,1.1909494892268811e-08,Ridge,SNPs,-,298680,0.2683432556203439,0.8027349207503712,1.0,2.521453266712167e-13,0.45817408469357035,0.3263173465320731,0.0,1.3128751302669504e-14,
1,0.3125029376166375,0.7992700007869854,1.0,2.472799280497944e-13,1.1909494892268811e-08,Ridge,SNPs,-,298680,0.2683432556203439,0.8027349207503712,1.0,2.521453266712167e-13,0.45817408469357035,0.3263173465320731,0.0,1.3128751302669504e-14,
2,-0.06283071914730165,0.7453348049341318,1.0,2.451366105810096e-13,1.1909494892268811e-08,Ridge,SNPs,-,298680,0.2683432556203439,0.8027349207503712,1.0,2.521453266712167e-13,0.45817408469357035,0.3263173465320731,0.0,1.3128751302669504e-14,
3,0.18340974999383752,0.9979524311840541,1.0,2.4480665977696427e-13,1.1909494892268811e-08,Ridge,SNPs,-,298680,0.2683432556203439,0.8027349207503712,1.0,2.521453266712167e-13,0.45817408469357035,0.3263173465320731,0.0,1.3128751302669504e-14,
4,0.19351114620814325,0.9917607809776199,1.0,2.5153285497797456e-13,1.1909494892268811e-08,Ridge,SNPs,-,298680,0.2683432556203439,0.8027349207503712,1.0,2.521453266712167e-13,0.45817408469357035,0.3263173465320731,0.0,1.3128751302669504e-14,
5,0.49393374379999866,0.7127271397781433,1.0,2.569340269066612e-13,1.1909494892268811e-08,Ridge,SNPs,-,298680,0.2683432556203439,0.8027349207503712,1.0,2.521453266712167e-13,0.45817408469357035,0.3263173465320731,0.0,1.3128751302669504e-14,
6,0.2188412588341393,0.8855014055874135,1.0,2.5951369022712373e-13,1.1909494892268811e-08,Ridge,SNPs,-,298680,0.2683432556203439,0.8027349207503712,1.0,2.521453266712167e-13,0.45817408469357035,0.3263173465320731,0.0,1.3128751302669504e-14,
7,0.02009485729845517,0.9917715019818902,1.0,2.4549557565089813e-13,1.1909494892268811e-08,Ridge,SNPs,-,298680,0.2683432556203439,0.8027349207503712,1.0,2.521453266712167e-13,0.45817408469357035,0.3263173465320731,0.0,1.3128751302669504e-14,
8,0.6459022173150246,0.7125776393401828,1.0,2.5580451105966516e-13,1.1909494892268811e-08,Ridge,SNPs,-,298680,0.2683432556203439,0.8027349207503712,1.0,2.521453266712167e-13,0.45817408469357035,0.3263173465320731,0.0,1.3128751302669504e-14,
9,0.1155950816823712,0.7122396659208322,1.0,2.509498683303821e-13,1.1909494892268811e-08,Ridge,SNPs,-,298680,0.2683432556203439,0.8027349207503712,1.0,2.521453266712167e-13,0.45817408469357035,0.3263173465320731,0.0,1.3128751302669504e-14,
0,0.2973133914665088,0.606038467471256,0.6314590647652036,0.6205741988662878,0.13168724279835392,Lasso,SNPs,-,298680,0.048923657331523276,0.910436423784086,0.836453147692272,0.2601531557421508,0.613358466974995,0.2734963556261794,0.5146226793204617,0.6232938305477257,
1,0.14636312778516514,0.8906245706190465,0.9999967111291332,0.0018207543302166812,0.0003007286598217175,Lasso,SNPs,-,298680,0.048923657331523276,0.910436423784086,0.836453147692272,0.2601531557421508,0.613358466974995,0.2734963556261794,0.5146226793204617,0.6232938305477257,
2,-0.48723337511760656,0.8816757871545625,0.9999966536440433,0.001869979804716816,0.0003007286598217175,Lasso,SNPs,-,298680,0.048923657331523276,0.910436423784086,0.836453147692272,0.2601531557421508,0.613358466974995,0.2734963556261794,0.5146226793204617,0.6232938305477257,
