,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.608762488482061,0.7175862293994676,0.9999460151649058,0.007189576631311348,291.92926025390625,Ridge,SNPs,-,326322,0.45575556002578654,0.7070796118868004,0.9999413940037887,0.005223310311652101,0.23831498489837538,0.3327525410471191,0.0001585652242163086,0.011739683017248603,
1,0.5245983324111249,0.5922067914121635,0.9997546648790772,0.015889373785230327,656.8408355712891,Ridge,SNPs,-,326322,0.45575556002578654,0.7070796118868004,0.9999413940037887,0.005223310311652101,0.23831498489837538,0.3327525410471191,0.0001585652242163086,0.011739683017248603,
2,0.44588313531834345,0.7142876700890478,0.9998836396894445,0.010835008808214601,437.8938903808594,Ridge,SNPs,-,326322,0.45575556002578654,0.7070796118868004,0.9999413940037887,0.005223310311652101,0.23831498489837538,0.3327525410471191,0.0001585652242163086,0.011739683017248603,
3,0.35269958117350364,0.6835898590927233,0.9999471582687764,0.007376874239727501,291.92926025390625,Ridge,SNPs,-,326322,0.45575556002578654,0.7070796118868004,0.9999413940037887,0.005223310311652101,0.23831498489837538,0.3327525410471191,0.0001585652242163086,0.011739683017248603,
4,0.4679503931613552,0.8376785634604871,1.0,3.1057165193468473e-13,1.1909494892268811e-08,Ridge,SNPs,-,326322,0.45575556002578654,0.7070796118868004,0.9999413940037887,0.005223310311652101,0.23831498489837538,0.3327525410471191,0.0001585652242163086,0.011739683017248603,
5,0.4526423880983418,0.6324939369596074,1.0,3.183355305013075e-13,1.1909494892268811e-08,Ridge,SNPs,-,326322,0.45575556002578654,0.7070796118868004,0.9999413940037887,0.005223310311652101,0.23831498489837538,0.3327525410471191,0.0001585652242163086,0.011739683017248603,
6,0.6284809571763241,0.5271638166221139,0.9998824620356828,0.010942269650665007,437.8938903808594,Ridge,SNPs,-,326322,0.45575556002578654,0.7070796118868004,0.9999413940037887,0.005223310311652101,0.23831498489837538,0.3327525410471191,0.0001585652242163086,0.011739683017248603,
7,0.3270410682133549,0.5434615651992606,1.0,3.0900577351318056e-13,1.1909494892268811e-08,Ridge,SNPs,-,326322,0.45575556002578654,0.7070796118868004,0.9999413940037887,0.005223310311652101,0.23831498489837538,0.3327525410471191,0.0001585652242163086,0.011739683017248603,
8,0.24340368021652858,1.111702607684304,1.0,2.0603168342425148e-13,1.1909494892268811e-08,Ridge,SNPs,-,326322,0.45575556002578654,0.7070796118868004,0.9999413940037887,0.005223310311652101,0.23831498489837538,0.3327525410471191,0.0001585652242163086,0.011739683017248603,
9,0.5060935760069278,0.7106250789488279,1.0,2.282822042313365e-13,1.1909494892268811e-08,Ridge,SNPs,-,326322,0.45575556002578654,0.7070796118868004,0.9999413940037887,0.005223310311652101,0.23831498489837538,0.3327525410471191,0.0001585652242163086,0.011739683017248603,
0,0.5293979080747193,0.7870109568073298,0.9505018603303435,0.21770172282195074,0.017341529915832612,Lasso,SNPs,-,326322,0.3879871469560433,0.7487794601066656,0.9603130879435571,0.18545901204693782,0.2523753780439987,0.32907739276244535,0.04964817151612679,0.15672295298486041,
1,0.35247577823299636,0.6911479790537312,0.9784600415910953,0.14888445303599465,0.011561019943888409,Lasso,SNPs,-,326322,0.3879871469560433,0.7487794601066656,0.9603130879435571,0.18545901204693782,0.2523753780439987,0.32907739276244535,0.04964817151612679,0.15672295298486041,
2,0.42554074734358116,0.7272807352474758,0.9551678035017372,0.21267764438639666,0.017341529915832612,Lasso,SNPs,-,326322,0.3879871469560433,0.7487794601066656,0.9603130879435571,0.18545901204693782,0.2523753780439987,0.32907739276244535,0.04964817151612679,0.15672295298486041,
3,0.22906251980209447,0.7460230521962259,0.9559022557171238,0.21310421915823366,0.017341529915832612,Lasso,SNPs,-,326322,0.3879871469560433,0.7487794601066656,0.9603130879435571,0.18545901204693782,0.2523753780439987,0.32907739276244535,0.04964817151612679,0.15672295298486041,
4,0.3769213387096446,0.9065103721186821,0.9889068940525045,0.1034520582288454,0.0077073466292589396,Lasso,SNPs,-,326322,0.3879871469560433,0.7487794601066656,0.9603130879435571,0.18545901204693782,0.2523753780439987,0.32907739276244535,0.04964817151612679,0.15672295298486041,
5,0.38369399173411545,0.6711490604394729,0.9558765164019143,0.21218777030260186,0.017341529915832612,Lasso,SNPs,-,326322,0.3879871469560433,0.7487794601066656,0.9603130879435571,0.18545901204693782,0.2523753780439987,0.32907739276244535,0.04964817151612679,0.15672295298486041,
6,0.5831343987962356,0.5584098672919545,0.9067737995868053,0.3081678458900943,0.02601229487374892,Lasso,SNPs,-,326322,0.3879871469560433,0.7487794601066656,0.9603130879435571,0.18545901204693782,0.2523753780439987,0.32907739276244535,0.04964817151612679,0.15672295298486041,
7,0.26240269673022176,0.5689632484612607,0.9557750080991813,0.21584203585583442,0.017341529915832612,Lasso,SNPs,-,326322,0.3879871469560433,0.7487794601066656,0.9603130879435571,0.18545901204693782,0.2523753780439987,0.32907739276244535,0.04964817151612679,0.15672295298486041,
8,0.2160615138492893,1.1316118980770036,0.9998097147875049,0.013210611751603225,0.0010149592268982965,Lasso,SNPs,-,326322,0.3879871469560433,0.7487794601066656,0.9603130879435571,0.18545901204693782,0.2523753780439987,0.32907739276244535,0.04964817151612679,0.15672295298486041,
9,0.521180576287535,0.6996874313735202,0.9559569853673602,0.20936175903782323,0.017341529915832612,Lasso,SNPs,-,326322,0.3879871469560433,0.7487794601066656,0.9603130879435571,0.18545901204693782,0.2523753780439987,0.32907739276244535,0.04964817151612679,0.15672295298486041,
0,0.4515704060655844,0.8495995875259633,0.6877915096955016,0.5467512469051293,1.2431133574419386,ElasticNet,SNPs,-,326322,0.4216686188987001,0.7317872222707437,0.8411596766056479,0.3807532495906643,0.17421858300911003,0.32115873441011694,0.17264589903706462,0.2507184363815346,0.1
1,0.47438593843757604,0.6226966377853195,0.8103116587830238,0.4418218999990144,7.77075387193177,ElasticNet,SNPs,-,326322,0.4216686188987001,0.7317872222707437,0.8411596766056479,0.3807532495906643,0.17421858300911003,0.32115873441011694,0.17264589903706462,0.2507184363815346,0.01
2,0.3912407725017326,0.7486783042238899,0.8022902843912963,0.44662274717745304,7.890166834379269,ElasticNet,SNPs,-,326322,0.4216686188987001,0.7317872222707437,0.8411596766056479,0.3807532495906643,0.17421858300911003,0.32115873441011694,0.17264589903706462,0.2507184363815346,0.01
3,0.3642830986545912,0.6774457871334204,0.7889494923023304,0.4662051443686305,0.9943371469368313,ElasticNet,SNPs,-,326322,0.4216686188987001,0.7317872222707437,0.8411596766056479,0.3807532495906643,0.17421858300911003,0.32115873441011694,0.17264589903706462,0.2507184363815346,0.1
4,0.44902388128123727,0.852447666379383,0.9099564310576213,0.29473988198266987,4.730904220740235,ElasticNet,SNPs,-,326322,0.4216686188987001,0.7317872222707437,0.8411596766056479,0.3807532495906643,0.17421858300911003,0.32115873441011694,0.17264589903706462,0.2507184363815346,0.01
5,0.4226548950369914,0.6495888020876812,0.7941229710299578,0.4583417290674565,0.9684856818395255,ElasticNet,SNPs,-,326322,0.4216686188987001,0.7317872222707437,0.8411596766056479,0.3807532495906643,0.17421858300911003,0.32115873441011694,0.17264589903706462,0.2507184363815346,0.1
6,0.5699551143337442,0.5671682976345953,0.8121368774952037,0.4374607556560349,7.568026760498216,ElasticNet,SNPs,-,326322,0.4216686188987001,0.7317872222707437,0.8411596766056479,0.3807532495906643,0.17421858300911003,0.32115873441011694,0.17264589903706462,0.2507184363815346,0.01
7,0.3185229415763371,0.5468902420358854,0.8688359684223532,0.37171452021771784,6.2342055545945145,ElasticNet,SNPs,-,326322,0.4216686188987001,0.7317872222707437,0.8411596766056479,0.3807532495906643,0.17421858300911003,0.32115873441011694,0.17264589903706462,0.2507184363815346,0.01
8,0.2702489864408967,1.091801949811028,0.9621280697561305,0.1863713408499158,2.9089255533446674,ElasticNet,SNPs,-,326322,0.4216686188987001,0.7317872222707437,0.8411596766056479,0.3807532495906643,0.17421858300911003,0.32115873441011694,0.17264589903706462,0.2507184363815346,0.01
9,0.5048001546583101,0.7115549480902708,0.9750735031230603,0.15750322968262118,2.3721719696343757,ElasticNet,SNPs,-,326322,0.4216686188987001,0.7317872222707437,0.8411596766056479,0.3807532495906643,0.17421858300911003,0.32115873441011694,0.17264589903706462,0.2507184363815346,0.01
