,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.07844778363575411,0.9272135848432668,1.0,2.341395929702186e-13,1.1909494892268811e-08,Ridge,SNPs,-,321020,0.25966870886860544,0.8237213739467809,1.0,2.408731702013981e-13,0.24107176492758453,0.2381183712948548,0.0,1.1667550659141924e-14,
1,0.34863828200246116,0.9208540885576446,1.0,2.3667903488174133e-13,1.1909494892268811e-08,Ridge,SNPs,-,321020,0.25966870886860544,0.8237213739467809,1.0,2.408731702013981e-13,0.24107176492758453,0.2381183712948548,0.0,1.1667550659141924e-14,
2,0.16622823425943134,0.936284597518654,1.0,2.4759541059046456e-13,1.1909494892268811e-08,Ridge,SNPs,-,321020,0.25966870886860544,0.8237213739467809,1.0,2.408731702013981e-13,0.24107176492758453,0.2381183712948548,0.0,1.1667550659141924e-14,
3,0.31036573203788775,0.6696875849682036,1.0,2.431583513011546e-13,1.1909494892268811e-08,Ridge,SNPs,-,321020,0.25966870886860544,0.8237213739467809,1.0,2.408731702013981e-13,0.24107176492758453,0.2381183712948548,0.0,1.1667550659141924e-14,
4,0.37262957035791655,0.9573315991024857,1.0,2.38870880952358e-13,1.1909494892268811e-08,Ridge,SNPs,-,321020,0.25966870886860544,0.8237213739467809,1.0,2.408731702013981e-13,0.24107176492758453,0.2381183712948548,0.0,1.1667550659141924e-14,
5,0.3634885121179493,0.7787303413414973,1.0,2.3171565020766334e-13,1.1909494892268811e-08,Ridge,SNPs,-,321020,0.25966870886860544,0.8237213739467809,1.0,2.408731702013981e-13,0.24107176492758453,0.2381183712948548,0.0,1.1667550659141924e-14,
6,0.42033345398451094,0.646772913278941,1.0,2.496101542760673e-13,1.1909494892268811e-08,Ridge,SNPs,-,321020,0.25966870886860544,0.8237213739467809,1.0,2.408731702013981e-13,0.24107176492758453,0.2381183712948548,0.0,1.1667550659141924e-14,
7,0.25447642179908525,0.7966074044454101,1.0,2.469283009520408e-13,1.1909494892268811e-08,Ridge,SNPs,-,321020,0.25966870886860544,0.8237213739467809,1.0,2.408731702013981e-13,0.24107176492758453,0.2381183712948548,0.0,1.1667550659141924e-14,
8,0.08372813772935828,0.9100709109025722,1.0,2.387425760512137e-13,1.1909494892268811e-08,Ridge,SNPs,-,321020,0.25966870886860544,0.8237213739467809,1.0,2.408731702013981e-13,0.24107176492758453,0.2381183712948548,0.0,1.1667550659141924e-14,
9,0.19835096076169945,0.6936607145091336,1.0,2.4129174983105904e-13,1.1909494892268811e-08,Ridge,SNPs,-,321020,0.25966870886860544,0.8237213739467809,1.0,2.408731702013981e-13,0.24107176492758453,0.2381183712948548,0.0,1.1667550659141924e-14,
0,0.011850745414971664,0.9601323122616366,0.9541367825163654,0.2149065334190028,0.02601229487374892,Lasso,SNPs,-,321020,0.24360191434059592,0.8328892828455032,0.9460603514099252,0.18132790768002247,0.24012649854650633,0.23731362015158564,0.12505749593972998,0.3023759593910392,
1,0.3147315018863782,0.9445176747596417,0.9502286992042406,0.21804358607637056,0.02601229487374892,Lasso,SNPs,-,321020,0.24360191434059592,0.8328892828455032,0.9460603514099252,0.18132790768002247,0.24012649854650633,0.23731362015158564,0.12505749593972998,0.3023759593910392,
2,0.175194337167341,0.9312367442860845,0.9525387174568585,0.21614372729915599,0.02601229487374892,Lasso,SNPs,-,321020,0.24360191434059592,0.8328892828455032,0.9460603514099252,0.18132790768002247,0.24012649854650633,0.23731362015158564,0.12505749593972998,0.3023759593910392,
3,0.39449426497314155,0.6275118934173833,0.902302704032704,0.3169041100879627,0.03901844231062338,Lasso,SNPs,-,321020,0.24360191434059592,0.8328892828455032,0.9460603514099252,0.18132790768002247,0.24012649854650633,0.23731362015158564,0.12505749593972998,0.3023759593910392,
4,0.4235706082223176,0.9176423115431495,0.9990173284337744,0.03036806614188914,0.0034254873907817508,Lasso,SNPs,-,321020,0.24360191434059592,0.8328892828455032,0.9460603514099252,0.18132790768002247,0.24012649854650633,0.23731362015158564,0.12505749593972998,0.3023759593910392,
5,0.2301347510491304,0.8564289340595767,0.9995947916230168,0.02017253325252509,0.002283658260521167,Lasso,SNPs,-,321020,0.24360191434059592,0.8328892828455032,0.9460603514099252,0.18132790768002247,0.24012649854650633,0.23731362015158564,0.12505749593972998,0.3023759593910392,
6,0.19031738237864593,0.7643990047754318,0.9999928865364204,0.0027058442396376927,0.0003007286598217175,Lasso,SNPs,-,321020,0.24360191434059592,0.8328892828455032,0.9460603514099252,0.18132790768002247,0.24012649854650633,0.23731362015158564,0.12505749593972998,0.3023759593910392,
7,0.2256437171917951,0.8118654511859055,0.9990591958512469,0.030763587303323375,0.0034254873907817508,Lasso,SNPs,-,321020,0.24360191434059592,0.8328892828455032,0.9460603514099252,0.18132790768002247,0.24012649854650633,0.23731362015158564,0.12505749593972998,0.3023759593910392,
8,0.15444461769155815,0.8742468720775807,0.7995825023026131,0.4470281138876226,0.05852766346593507,Lasso,SNPs,-,321020,0.24360191434059592,0.8328892828455032,0.9460603514099252,0.18132790768002247,0.24012649854650633,0.23731362015158564,0.12505749593972998,0.3023759593910392,
9,0.3156372174306795,0.6409116300886427,0.9041499061420114,0.31624297509273464,0.03901844231062338,Lasso,SNPs,-,321020,0.24360191434059592,0.8328892828455032,0.9460603514099252,0.18132790768002247,0.24012649854650633,0.23731362015158564,0.12505749593972998,0.3023759593910392,
0,0.07487775036791566,0.9290078313447324,0.8404162833634241,0.40087746830518955,9.077214745607815,ElasticNet,SNPs,-,321020,0.18958206943199168,0.8638996812929683,0.865672459515408,0.35668865466055283,0.21458188522750876,0.2547750754113308,0.12087567219670277,0.1588451128178552,0.01
1,0.23285087252463688,0.9993545707740873,0.7512103613315029,0.4874947747831216,11.28148104739008,ElasticNet,SNPs,-,321020,0.18958206943199168,0.8638996812929683,0.865672459515408,0.35668865466055283,0.21458188522750876,0.2547750754113308,0.12087567219670277,0.1588451128178552,0.01
2,0.12007266622800516,0.9618507570982368,0.9000806738798607,0.3136155943779122,6.8702057594963,ElasticNet,SNPs,-,321020,0.18958206943199168,0.8638996812929683,0.865672459515408,0.35668865466055283,0.21458188522750876,0.2547750754113308,0.12087567219670277,0.1588451128178552,0.01
