,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.6077973400190029,0.5750301960764029,1.0,1.2263118390553628e-13,1.1909494892268811e-08,Ridge,SNPs,-,358874,0.8127249714205027,0.41800718420398497,1.0,1.3363356059178994e-13,0.1746628115145327,0.2081867445381217,0.0,1.642288086040488e-14,
1,0.8254926956148233,0.43712605472011984,1.0,1.321270951314278e-13,1.1909494892268811e-08,Ridge,SNPs,-,358874,0.8127249714205027,0.41800718420398497,1.0,1.3363356059178994e-13,0.1746628115145327,0.2081867445381217,0.0,1.642288086040488e-14,
2,0.8780109633821906,0.3310761140174676,1.0,1.4774760316952799e-13,1.1909494892268811e-08,Ridge,SNPs,-,358874,0.8127249714205027,0.41800718420398497,1.0,1.3363356059178994e-13,0.1746628115145327,0.2081867445381217,0.0,1.642288086040488e-14,
3,0.8675811228947918,0.30767383054124964,1.0,1.3071702472421415e-13,1.1909494892268811e-08,Ridge,SNPs,-,358874,0.8127249714205027,0.41800718420398497,1.0,1.3363356059178994e-13,0.1746628115145327,0.2081867445381217,0.0,1.642288086040488e-14,
4,0.8672981250448875,0.3709100945246251,1.0,1.3343201444973164e-13,1.1909494892268811e-08,Ridge,SNPs,-,358874,0.8127249714205027,0.41800718420398497,1.0,1.3363356059178994e-13,0.1746628115145327,0.2081867445381217,0.0,1.642288086040488e-14,
5,0.8626992805454652,0.3444013561546632,1.0,1.3632354481853622e-13,1.1909494892268811e-08,Ridge,SNPs,-,358874,0.8127249714205027,0.41800718420398497,1.0,1.3363356059178994e-13,0.1746628115145327,0.2081867445381217,0.0,1.642288086040488e-14,
6,0.7343670830929357,0.5179199795100634,1.0,1.2670909293724164e-13,1.1909494892268811e-08,Ridge,SNPs,-,358874,0.8127249714205027,0.41800718420398497,1.0,1.3363356059178994e-13,0.1746628115145327,0.2081867445381217,0.0,1.642288086040488e-14,
7,0.8744906850021095,0.3173315686616189,1.0,1.4525175860834612e-13,1.1909494892268811e-08,Ridge,SNPs,-,358874,0.8127249714205027,0.41800718420398497,1.0,1.3363356059178994e-13,0.1746628115145327,0.2081867445381217,0.0,1.642288086040488e-14,
8,0.7478185303185683,0.5864296496070724,1.0,1.23864512205519e-13,1.1909494892268811e-08,Ridge,SNPs,-,358874,0.8127249714205027,0.41800718420398497,1.0,1.3363356059178994e-13,0.1746628115145327,0.2081867445381217,0.0,1.642288086040488e-14,
9,0.8616938882902521,0.39217299822656654,1.0,1.3753177596781854e-13,1.1909494892268811e-08,Ridge,SNPs,-,358874,0.8127249714205027,0.41800718420398497,1.0,1.3363356059178994e-13,0.1746628115145327,0.2081867445381217,0.0,1.642288086040488e-14,
0,0.5827419629082221,0.5931134040464822,0.99997976958457,0.004532066035067306,0.0003007286598217175,Lasso,SNPs,-,358874,0.7805116687412658,0.4542925298159864,0.9997374175478781,0.011379214799822606,0.16089332603756096,0.17476215894023983,0.0009008949338002102,0.02378434952978057,
1,0.7903866741383517,0.4790814249344387,0.9988806585839188,0.03327968842895652,0.002283658260521167,Lasso,SNPs,-,358874,0.7805116687412658,0.4542925298159864,0.9997374175478781,0.011379214799822606,0.16089332603756096,0.17476215894023983,0.0009008949338002102,0.02378434952978057,
2,0.8567936812345738,0.35871417508893694,0.9999791626663624,0.004579470678520864,0.0003007286598217175,Lasso,SNPs,-,358874,0.7805116687412658,0.4542925298159864,0.9997374175478781,0.011379214799822606,0.16089332603756096,0.17476215894023983,0.0009008949338002102,0.02378434952978057,
3,0.7871350959141773,0.39009253528791943,0.9999801241758631,0.004513859411819758,0.0003007286598217175,Lasso,SNPs,-,358874,0.7805116687412658,0.4542925298159864,0.9997374175478781,0.011379214799822606,0.16089332603756096,0.17476215894023983,0.0009008949338002102,0.02378434952978057,
4,0.8287521094781194,0.42134974820938864,0.9999788448029435,0.004586621963210937,0.0003007286598217175,Lasso,SNPs,-,358874,0.7805116687412658,0.4542925298159864,0.9997374175478781,0.011379214799822606,0.16089332603756096,0.17476215894023983,0.0009008949338002102,0.02378434952978057,
5,0.8306893082949425,0.38244645390313226,0.9988680640543263,0.03378316638113264,0.002283658260521167,Lasso,SNPs,-,358874,0.7805116687412658,0.4542925298159864,0.9997374175478781,0.011379214799822606,0.16089332603756096,0.17476215894023983,0.0009008949338002102,0.02378434952978057,
6,0.7228630905531219,0.5290161176766317,0.9999799717591186,0.004471787096433491,0.0003007286598217175,Lasso,SNPs,-,358874,0.7805116687412658,0.4542925298159864,0.9997374175478781,0.011379214799822606,0.16089332603756096,0.17476215894023983,0.0009008949338002102,0.02378434952978057,
7,0.8176477687152108,0.38249947183455574,0.9999809126012884,0.004415088704247827,0.0003007286598217175,Lasso,SNPs,-,358874,0.7805116687412658,0.4542925298159864,0.9997374175478781,0.011379214799822606,0.16089332603756096,0.17476215894023983,0.0009008949338002102,0.02378434952978057,
8,0.7408592239651587,0.59446626165995,0.9999786275359064,0.004512745725384726,0.0003007286598217175,Lasso,SNPs,-,358874,0.7805116687412658,0.4542925298159864,0.9997374175478781,0.011379214799822606,0.16089332603756096,0.17476215894023983,0.0009008949338002102,0.02378434952978057,
9,0.8472477722107795,0.4121457055184285,0.9997680397144845,0.015117653573451986,0.0010149592268982965,Lasso,SNPs,-,358874,0.7805116687412658,0.4542925298159864,0.9997374175478781,0.011379214799822606,0.16089332603756096,0.17476215894023983,0.0009008949338002102,0.02378434952978057,
0,0.5766218370751055,0.5974473108783817,0.9751988792017696,0.15868266384817103,2.693620902373499,ElasticNet,SNPs,-,358874,0.7875464220024685,0.44721304845650756,0.9625586730653459,0.18848556312686363,0.18010038829069147,0.21637058802852274,0.03317891452811647,0.08529103878808142,0.01
1,0.782709375802659,0.4877759483266697,0.9454436803524648,0.2323381343808742,4.132420529638788,ElasticNet,SNPs,-,358874,0.7875464220024685,0.44721304845650756,0.9625586730653459,0.18848556312686363,0.18010038829069147,0.21637058802852274,0.03317891452811647,0.08529103878808142,0.01
2,0.8496740136148936,0.3675229631626526,0.972430362637763,0.16657496731704452,2.7067757770827705,ElasticNet,SNPs,-,358874,0.7875464220024685,0.44721304845650756,0.9625586730653459,0.18848556312686363,0.18010038829069147,0.21637058802852274,0.03317891452811647,0.08529103878808142,0.01
3,0.8271489485699642,0.35152127997640503,0.9608105812310828,0.20043329540262178,3.3829580514134276,ElasticNet,SNPs,-,358874,0.7875464220024685,0.44721304845650756,0.9625586730653459,0.18848556312686363,0.18010038829069147,0.21637058802852274,0.03317891452811647,0.08529103878808142,0.01
4,0.8256271646490471,0.42517677964014905,0.9415923899241571,0.24100115663849783,4.243588777615183,ElasticNet,SNPs,-,358874,0.7875464220024685,0.44721304845650756,0.9625586730653459,0.18848556312686363,0.18010038829069147,0.21637058802852274,0.03317891452811647,0.08529103878808142,0.01
5,0.8569106724549823,0.3515864002935408,0.9828047283349071,0.1316721560971138,2.066672602074365,ElasticNet,SNPs,-,358874,0.7875464220024685,0.44721304845650756,0.9625586730653459,0.18848556312686363,0.18010038829069147,0.21637058802852274,0.03317891452811647,0.08529103878808142,0.01
6,0.7521804599562145,0.5002527589915312,0.982380873324997,0.13263309511515647,2.1310244323420924,ElasticNet,SNPs,-,358874,0.7875464220024685,0.44721304845650756,0.9625586730653459,0.18848556312686363,0.18010038829069147,0.21637058802852274,0.03317891452811647,0.08529103878808142,0.01
7,0.8806840723631828,0.30940299260106896,0.975136390093164,0.15934856339275957,2.5950163133544906,ElasticNet,SNPs,-,358874,0.7875464220024685,0.44721304845650756,0.9625586730653459,0.18848556312686363,0.18010038829069147,0.21637058802852274,0.03317891452811647,0.08529103878808142,0.01
8,0.6965592199114804,0.6432744576325438,0.9456554447699721,0.22755772580267536,4.0553784536799355,ElasticNet,SNPs,-,358874,0.7875464220024685,0.44721304845650756,0.9625586730653459,0.18848556312686363,0.18010038829069147,0.21637058802852274,0.03317891452811647,0.08529103878808142,0.01
9,0.8273484556271551,0.4381695930621327,0.9441334007831816,0.2346138732737218,4.110144464901907,ElasticNet,SNPs,-,358874,0.7875464220024685,0.44721304845650756,0.9625586730653459,0.18848556312686363,0.18010038829069147,0.21637058802852274,0.03317891452811647,0.08529103878808142,0.01
