,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,-0.08854315151835057,0.9435280154016983,0.6802063954340459,0.5709837037846457,56815.128661595285,Ridge,SNPs,-,363320,0.011467714788591354,0.9654729585389147,0.4284734523384815,0.7484560200949771,0.20094316517361016,0.30735517738497486,0.2902316043308517,0.20081116562416326,
1,0.13249141084759009,1.1188432563370654,0.28356916872517823,0.8247469122200425,287626.58884932613,Ridge,SNPs,-,363320,0.011467714788591354,0.9654729585389147,0.4284734523384815,0.7484560200949771,0.20094316517361016,0.30735517738497486,0.2902316043308517,0.20081116562416326,
2,0.12735475051120826,0.8677167760103058,0.2872775781672454,0.8502860282858691,287626.58884932613,Ridge,SNPs,-,363320,0.011467714788591354,0.9654729585389147,0.4284734523384815,0.7484560200949771,0.20094316517361016,0.30735517738497486,0.2902316043308517,0.20081116562416326,
3,-0.12290941322675408,0.9355509379338991,0.47791698779461056,0.7309671350336001,127834.03948858939,Ridge,SNPs,-,363320,0.011467714788591354,0.9654729585389147,0.4284734523384815,0.7484560200949771,0.20094316517361016,0.30735517738497486,0.2902316043308517,0.20081116562416326,
4,0.03826039457114061,1.2348784884237753,0.37004754969993325,0.7642932471813167,191751.0592328841,Ridge,SNPs,-,363320,0.011467714788591354,0.9654729585389147,0.4284734523384815,0.7484560200949771,0.20094316517361016,0.30735517738497486,0.2902316043308517,0.20081116562416326,
5,0.07405166239888428,0.7638955505307059,0.37281237146117097,0.8069632951488585,191751.0592328841,Ridge,SNPs,-,363320,0.011467714788591354,0.9654729585389147,0.4284734523384815,0.7484560200949771,0.20094316517361016,0.30735517738497486,0.2902316043308517,0.20081116562416326,
6,0.10507987036741728,1.172788703666699,0.45719832640096003,0.714505516762846,127834.03948858939,Ridge,SNPs,-,363320,0.011467714788591354,0.9654729585389147,0.4284734523384815,0.7484560200949771,0.20094316517361016,0.30735517738497486,0.2902316043308517,0.20081116562416326,
7,0.019626671579796362,0.9283708069186836,0.2957679354534606,0.8445376291155866,287626.58884932613,Ridge,SNPs,-,363320,0.011467714788591354,0.9654729585389147,0.4284734523384815,0.7484560200949771,0.20094316517361016,0.30735517738497486,0.2902316043308517,0.20081116562416326,
8,-0.14123536613177112,0.8500357672140891,0.6800425840485509,0.5762413542730627,56815.128661595285,Ridge,SNPs,-,363320,0.011467714788591354,0.9654729585389147,0.4284734523384815,0.7484560200949771,0.20094316517361016,0.30735517738497486,0.2902316043308517,0.20081116562416326,
9,-0.029499681513247555,0.8391212829522254,0.379895626199659,0.801035379143944,191751.0592328841,Ridge,SNPs,-,363320,0.011467714788591354,0.9654729585389147,0.4284734523384815,0.7484560200949771,0.20094316517361016,0.30735517738497486,0.2902316043308517,0.20081116562416326,
0,0.02071064558161506,0.8949267541285629,0.13814955733811574,0.9373564687199383,0.0877914951989026,Lasso,SNPs,-,363320,0.00990468504408042,0.9704287103370376,0.1658662441547043,0.9117958632862789,0.07340832241526542,0.3405052470623222,0.17209093573190543,0.10441463419058633,
1,0.05293605485803121,1.1690201809302119,0.08899962643345105,0.930021186467617,0.0877914951989026,Lasso,SNPs,-,363320,0.00990468504408042,0.9704287103370376,0.1658662441547043,0.9117958632862789,0.07340832241526542,0.3405052470623222,0.17209093573190543,0.10441463419058633,
2,0.03835373486929994,0.9108918244768988,0.1072786710237521,0.9516183055203162,0.0877914951989026,Lasso,SNPs,-,363320,0.00990468504408042,0.9704287103370376,0.1658662441547043,0.9117958632862789,0.07340832241526542,0.3405052470623222,0.17209093573190543,0.10441463419058633,
3,-0.061440550265353666,0.90958421456173,0.1418811721228166,0.9371341958083276,0.0877914951989026,Lasso,SNPs,-,363320,0.00990468504408042,0.9704287103370376,0.1658662441547043,0.9117958632862789,0.07340832241526542,0.3405052470623222,0.17209093573190543,0.10441463419058633,
4,0.01519365169896536,1.2495996488173582,0.3063207482464585,0.8020205385496751,0.05852766346593507,Lasso,SNPs,-,363320,0.00990468504408042,0.9704287103370376,0.1658662441547043,0.9117958632862789,0.07340832241526542,0.3405052470623222,0.17209093573190543,0.10441463419058633,
