,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,-0.033209785979968265,0.9845881582121977,0.012168999993599772,0.9958784040037456,7371554.880626675,Ridge,SNPs,-,363320,-0.024795660077700864,0.9972332901991644,0.011923647022370365,0.9938376311872688,0.07628652885968272,0.21155243113416686,0.0008817482501895103,0.025787187753708106,
1,-0.013191317694892346,1.078551583739317,0.012729705868663066,0.9847700307371542,7371554.880626675,Ridge,SNPs,-,363320,-0.024795660077700864,0.9972332901991644,0.011923647022370365,0.9938376311872688,0.07628652885968272,0.21155243113416686,0.0008817482501895103,0.025787187753708106,
2,-0.007515095444572184,0.8767802972637131,0.011814247419161816,1.0067636940920728,7371554.880626675,Ridge,SNPs,-,363320,-0.024795660077700864,0.9972332901991644,0.011923647022370365,0.9938376311872688,0.07628652885968272,0.21155243113416686,0.0008817482501895103,0.025787187753708106,
3,-0.00719053521876134,0.9558122604020988,0.011471820568597524,0.9989764833398197,7371554.880626675,Ridge,SNPs,-,363320,-0.024795660077700864,0.9972332901991644,0.011923647022370365,0.9938376311872688,0.07628652885968272,0.21155243113416686,0.0008817482501895103,0.025787187753708106,
4,-0.016583948046960284,1.2697818084818637,0.01255980077227803,0.9597978559184055,7371554.880626675,Ridge,SNPs,-,363320,-0.024795660077700864,0.9972332901991644,0.011923647022370365,0.9938376311872688,0.07628652885968272,0.21155243113416686,0.0008817482501895103,0.025787187753708106,
5,-0.01726043250808562,0.9720111232528165,0.011595978389836836,0.9972880847874981,7371554.880626675,Ridge,SNPs,-,363320,-0.024795660077700864,0.9972332901991644,0.011923647022370365,0.9938376311872688,0.07628652885968272,0.21155243113416686,0.0008817482501895103,0.025787187753708106,
6,-0.002170619485775571,0.979709423567151,0.011890101109320872,0.9962881672186256,7371554.880626675,Ridge,SNPs,-,363320,-0.024795660077700864,0.9972332901991644,0.011923647022370365,0.9938376311872688,0.07628652885968272,0.21155243113416686,0.0008817482501895103,0.025787187753708106,
7,-0.014221015452201335,0.9661272672598877,0.011344496281662453,0.9979835053868363,7371554.880626675,Ridge,SNPs,-,363320,-0.024795660077700864,0.9972332901991644,0.011923647022370365,0.9938376311872688,0.07628652885968272,0.21155243113416686,0.0008817482501895103,0.025787187753708106,
8,-0.13267183427816365,0.9513461471216716,0.011709163097312847,0.999928111322399,7371554.880626675,Ridge,SNPs,-,363320,-0.024795660077700864,0.9972332901991644,0.011923647022370365,0.9938376311872688,0.07628652885968272,0.21155243113416686,0.0008817482501895103,0.025787187753708106,
9,-0.003942016667628057,0.9376248326909274,0.011952156723270435,1.0007019750661306,7371554.880626675,Ridge,SNPs,-,363320,-0.024795660077700864,0.9972332901991644,0.011923647022370365,0.9938376311872688,0.07628652885968272,0.21155243113416686,0.0008817482501895103,0.025787187753708106,
0,-0.03136217274478126,0.9837074309277821,0.0,1.001993695835199,2.25,Lasso,SNPs,-,363320,-0.0238598046346975,0.9967289956832386,-2.1094237467877973e-16,0.9998144239022604,0.07656617681598861,0.21039992864119775,5.275612425447922e-16,0.025641368995250186,
1,-0.008395515949205734,1.0759959682009406,-4.440892098500626e-16,0.991098430663422,2.25,Lasso,SNPs,-,363320,-0.0238598046346975,0.9967289956832386,-2.1094237467877973e-16,0.9998144239022604,0.07656617681598861,0.21039992864119775,5.275612425447922e-16,0.025641368995250186,
2,-0.0069355934140515885,0.8765281079677425,0.0,1.0127639911804427,2.25,Lasso,SNPs,-,363320,-0.0238598046346975,0.9967289956832386,-2.1094237467877973e-16,0.9998144239022604,0.07656617681598861,0.21039992864119775,5.275612425447922e-16,0.025641368995250186,
3,-0.00827008477451896,0.9563243632857357,-4.440892098500626e-16,1.0047562993985466,2.25,Lasso,SNPs,-,363320,-0.0238598046346975,0.9967289956832386,-2.1094237467877973e-16,0.9998144239022604,0.07656617681598861,0.21039992864119775,5.275612425447922e-16,0.025641368995250186,
4,-0.014161367023001636,1.2682679226050013,1.1102230246251565e-16,0.9658826692484231,2.25,Lasso,SNPs,-,363320,-0.0238598046346975,0.9967289956832386,-2.1094237467877973e-16,0.9998144239022604,0.07656617681598861,0.21039992864119775,5.275612425447922e-16,0.025641368995250186,
5,-0.017592906663988606,0.9721699528731331,-2.220446049250313e-16,1.0031211295311153,2.25,Lasso,SNPs,-,363320,-0.0238598046346975,0.9967289956832386,-2.1094237467877973e-16,0.9998144239022604,0.07656617681598861,0.21039992864119775,5.275612425447922e-16,0.025641368995250186,
6,-0.0014650996769582925,0.9793645091957095,-4.440892098500626e-16,1.0022644982474886,2.25,Lasso,SNPs,-,363320,-0.0238598046346975,0.9967289956832386,-2.1094237467877973e-16,0.9998144239022604,0.07656617681598861,0.21039992864119775,5.275612425447922e-16,0.025641368995250186,
7,-0.015447041033803899,0.9667110349878787,-4.440892098500626e-16,1.0036929396484209,2.25,Lasso,SNPs,-,363320,-0.0238598046346975,0.9967289956832386,-2.1094237467877973e-16,0.9998144239022604,0.07656617681598861,0.21039992864119775,5.275612425447922e-16,0.025641368995250186,
8,-0.13228203405469796,0.9511824338377352,2.220446049250313e-16,1.005834189323717,2.25,Lasso,SNPs,-,363320,-0.0238598046346975,0.9967289956832386,-2.1094237467877973e-16,0.9998144239022604,0.07656617681598861,0.21039992864119775,5.275612425447922e-16,0.025641368995250186,
9,-0.0026862310119670774,0.9370382329507276,-4.440892098500626e-16,1.006736395945829,2.25,Lasso,SNPs,-,363320,-0.0238598046346975,0.9967289956832386,-2.1094237467877973e-16,0.9998144239022604,0.07656617681598861,0.21039992864119775,5.275612425447922e-16,0.025641368995250186,
0,-0.031362168291303005,0.9837074288039309,0.0,1.001993695835199,21.53940080114003,ElasticNet,SNPs,-,363320,-0.023859805016808688,0.9967289959484728,-5.551115123125783e-17,0.9998144239022604,0.07656617241363037,0.21039992962652102,2.35038872973259e-16,0.025641368995250154,0.01
