,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.11913420199661096,1.042592532471185,0.9998768309572001,0.010949747693081442,291.92926025390625,Ridge,SNPs,-,331178,0.11617266418620711,0.8979076236115092,0.961001189741759,0.14567207446295133,0.4972915621574209,0.25335663943792536,0.08626754733379757,0.27501739752034254,
1,0.257705116553551,0.8315512237406748,0.9569670689563998,0.2079441101076107,11222.741464018822,Ridge,SNPs,-,331178,0.11617266418620711,0.8979076236115092,0.961001189741759,0.14567207446295133,0.4972915621574209,0.25335663943792536,0.08626754733379757,0.27501739752034254,
2,0.03891436002315407,0.9216128372857031,1.0,4.74595055872715e-13,1.1909494892268811e-08,Ridge,SNPs,-,331178,0.11617266418620711,0.8979076236115092,0.961001189741759,0.14567207446295133,0.4972915621574209,0.25335663943792536,0.08626754733379757,0.27501739752034254,
3,0.4020122470674953,0.6917552511077241,0.9245929805872093,0.2764392481677813,16834.112196028233,Ridge,SNPs,-,331178,0.11617266418620711,0.8979076236115092,0.961001189741759,0.14567207446295133,0.4972915621574209,0.25335663943792536,0.08626754733379757,0.27501739752034254,
4,0.3288031883340625,0.9078779712444022,0.8790441400182956,0.34318330486806886,25251.16829404235,Ridge,SNPs,-,331178,0.11617266418620711,0.8979076236115092,0.961001189741759,0.14567207446295133,0.4972915621574209,0.25335663943792536,0.08626754733379757,0.27501739752034254,
5,-0.1205582185156564,1.1253694209687346,1.0,4.732746913452357e-13,1.1909494892268811e-08,Ridge,SNPs,-,331178,0.11617266418620711,0.8979076236115092,0.961001189741759,0.14567207446295133,0.4972915621574209,0.25335663943792536,0.08626754733379757,0.27501739752034254,
6,0.29636188475740777,0.816259802835663,0.9295658694834353,0.26615926349775554,16834.112196028233,Ridge,SNPs,-,331178,0.11617266418620711,0.8979076236115092,0.961001189741759,0.14567207446295133,0.4972915621574209,0.25335663943792536,0.08626754733379757,0.27501739752034254,
7,-0.04907188486015235,0.8499080762145234,0.9939828819327299,0.07846354084712584,3325.256730079651,Ridge,SNPs,-,331178,0.11617266418620711,0.8979076236115092,0.961001189741759,0.14567207446295133,0.4972915621574209,0.25335663943792536,0.08626754733379757,0.27501739752034254,
8,-0.41038870933950666,0.998954907817941,1.0,3.7971084031452407e-13,1.1909494892268811e-08,Ridge,SNPs,-,331178,0.11617266418620711,0.8979076236115092,0.961001189741759,0.14567207446295133,0.4972915621574209,0.25335663943792536,0.08626754733379757,0.27501739752034254,
9,0.2988144558451049,0.7931942124285414,0.9259821254823193,0.2735815294467619,16834.112196028233,Ridge,SNPs,-,331178,0.11617266418620711,0.8979076236115092,0.961001189741759,0.14567207446295133,0.4972915621574209,0.25335663943792536,0.08626754733379757,0.27501739752034254,
0,0.13352517686075183,1.0340408838324398,0.9999297096181399,0.008271823904515646,0.0006766394845988643,Lasso,SNPs,-,331178,0.059481517844686124,0.9331755029640407,0.5757430405017606,0.6169046184231365,0.2724979585829701,0.181041964721246,0.324249885785691,0.4332022515366966,
1,0.10148455701121106,0.9148787628885757,0.5126003005383999,0.699823929466082,0.0877914951989026,Lasso,SNPs,-,331178,0.059481517844686124,0.9331755029640407,0.5757430405017606,0.6169046184231365,0.2724979585829701,0.181041964721246,0.324249885785691,0.4332022515366966,
2,0.11768679437206286,0.883036918156863,0.49428512313215056,0.7108112583353652,0.0877914951989026,Lasso,SNPs,-,331178,0.059481517844686124,0.9331755029640407,0.5757430405017606,0.6169046184231365,0.2724979585829701,0.181041964721246,0.324249885785691,0.4332022515366966,
3,0.1341855989086691,0.8323744144091569,0.5041482897148215,0.7088751030939309,0.0877914951989026,Lasso,SNPs,-,331178,0.059481517844686124,0.9331755029640407,0.5757430405017606,0.6169046184231365,0.2724979585829701,0.181041964721246,0.324249885785691,0.4332022515366966,
4,0.15635158318806908,1.017848835282685,0.4820505541660699,0.7101602859957794,0.0877914951989026,Lasso,SNPs,-,331178,0.059481517844686124,0.9331755029640407,0.5757430405017606,0.6169046184231365,0.2724979585829701,0.181041964721246,0.324249885785691,0.4332022515366966,
5,-0.09670350073453982,1.1133264126323617,0.495371878634818,0.696551112418012,0.0877914951989026,Lasso,SNPs,-,331178,0.059481517844686124,0.9331755029640407,0.5757430405017606,0.6169046184231365,0.2724979585829701,0.181041964721246,0.324249885785691,0.4332022515366966,
6,0.11592731894775588,0.9149507487891931,0.49660651691227364,0.7115473436249652,0.0877914951989026,Lasso,SNPs,-,331178,0.059481517844686124,0.9331755029640407,0.5757430405017606,0.6169046184231365,0.2724979585829701,0.181041964721246,0.324249885785691,0.4332022515366966,
7,-0.18557940625617708,0.903513519787444,0.7278411471428634,0.5276972962604485,0.05852766346593507,Lasso,SNPs,-,331178,0.059481517844686124,0.9331755029640407,0.5757430405017606,0.6169046184231365,0.2724979585829701,0.181041964721246,0.324249885785691,0.4332022515366966,
8,-0.11528508050176312,0.8883199585938938,0.534238159192826,0.6916567578750551,0.0877914951989026,Lasso,SNPs,-,331178,0.059481517844686124,0.9331755029640407,0.5757430405017606,0.6169046184231365,0.2724979585829701,0.181041964721246,0.324249885785691,0.4332022515366966,
9,0.23322213665082148,0.8294645752677944,0.5103587259652431,0.7036512732572112,0.0877914951989026,Lasso,SNPs,-,331178,0.059481517844686124,0.9331755029640407,0.5757430405017606,0.6169046184231365,0.2724979585829701,0.181041964721246,0.324249885785691,0.4332022515366966,
0,0.15091748364347313,1.0236103896228106,0.4725057521160737,0.7165758922027368,15.998973375090488,ElasticNet,SNPs,-,331178,0.05782521405739253,0.9344267079964138,0.5825358806077361,0.6285794542468974,0.2663580006964518,0.18686400522674157,0.3556188047763126,0.30816298198362785,0.01
