,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,-0.5582464665107651,0.40481766032952426,1.0,3.098893373180297e-13,1.1909494892268811e-08,Ridge,SNPs,-,323409,-0.20497700374919006,0.7870785540395346,0.9579485980358157,0.058882697881247795,0.6348856218222714,1.2381006436368895,0.2603360956061359,0.3468980686164268,
1,0.056995555719857816,0.37503644582678863,1.0,4.1700471507417535e-13,1.7864242338403216e-08,Ridge,SNPs,-,323409,-0.20497700374919006,0.7870785540395346,0.9579485980358157,0.058882697881247795,0.6348856218222714,1.2381006436368895,0.2603360956061359,0.3468980686164268,
2,0.03617361144783959,1.7263336742604716,0.579923422774832,0.5623526918122367,85222.69299239293,Ridge,SNPs,-,323409,-0.20497700374919006,0.7870785540395346,0.9579485980358157,0.058882697881247795,0.6348856218222714,1.2381006436368895,0.2603360956061359,0.3468980686164268,
3,0.11365065292344512,0.6310702679309965,0.9997879229048457,0.014980504091995557,656.8408355712891,Ridge,SNPs,-,323409,-0.20497700374919006,0.7870785540395346,0.9579485980358157,0.058882697881247795,0.6348856218222714,1.2381006436368895,0.2603360956061359,0.3468980686164268,
4,-0.036883261835731096,0.7210827163504039,1.0,2.911762145531082e-13,1.1909494892268811e-08,Ridge,SNPs,-,323409,-0.20497700374919006,0.7870785540395346,0.9579485980358157,0.058882697881247795,0.6348856218222714,1.2381006436368895,0.2603360956061359,0.3468980686164268,
5,-0.8845741135076675,0.43776077294931515,1.0,2.934337995569104e-13,1.1909494892268811e-08,Ridge,SNPs,-,323409,-0.20497700374919006,0.7870785540395346,0.9579485980358157,0.058882697881247795,0.6348856218222714,1.2381006436368895,0.2603360956061359,0.3468980686164268,
6,-0.004236434132776079,2.175991979772914,0.999774634678479,0.011493782905417025,656.8408355712891,Ridge,SNPs,-,323409,-0.20497700374919006,0.7870785540395346,0.9579485980358157,0.058882697881247795,0.6348856218222714,1.2381006436368895,0.2603360956061359,0.3468980686164268,
7,-0.07430138754526583,0.42608529014349583,1.0,9.46076803142935e-13,4.019454526140724e-08,Ridge,SNPs,-,323409,-0.20497700374919006,0.7870785540395346,0.9579485980358157,0.058882697881247795,0.6348856218222714,1.2381006436368895,0.2603360956061359,0.3468980686164268,
8,-0.38197905022412426,0.5185121950732803,1.0,2.787541285144743e-13,1.1909494892268811e-08,Ridge,SNPs,-,323409,-0.20497700374919006,0.7870785540395346,0.9579485980358157,0.058882697881247795,0.6348856218222714,1.2381006436368895,0.2603360956061359,0.3468980686164268,
9,-0.31636914382671333,0.4540945377581562,1.0,2.9233188322018504e-13,1.1909494892268811e-08,Ridge,SNPs,-,323409,-0.20497700374919006,0.7870785540395346,0.9579485980358157,0.058882697881247795,0.6348856218222714,1.2381006436368895,0.2603360956061359,0.3468980686164268,
0,-0.5333250051064873,0.4015674327929439,0.07203683879664491,1.0088122847501415,0.13168724279835392,Lasso,SNPs,-,323409,-0.1562418694660181,0.7826282098927847,0.29290316916506254,0.8207779185365253,0.45329949757873317,1.2445159230002412,0.5246198423665276,0.3810362352596971,
1,-0.13556210310825523,0.4115494728488345,0.7077984381120085,0.5653914761000726,0.05852766346593507,Lasso,SNPs,-,323409,-0.1562418694660181,0.7826282098927847,0.29290316916506254,0.8207779185365253,0.45329949757873317,1.2445159230002412,0.5246198423665276,0.3810362352596971,
2,0.03881068448845615,1.7239703927333407,0.1296528085583687,0.8094514606628175,0.0877914951989026,Lasso,SNPs,-,323409,-0.1562418694660181,0.7826282098927847,0.29290316916506254,0.8207779185365253,0.45329949757873317,1.2445159230002412,0.5246198423665276,0.3810362352596971,
3,-0.07829997177770154,0.6960573949391602,0.008950224771952509,1.0240644219792372,0.13168724279835392,Lasso,SNPs,-,323409,-0.1562418694660181,0.7826282098927847,0.29290316916506254,0.8207779185365253,0.45329949757873317,1.2445159230002412,0.5246198423665276,0.3810362352596971,
4,-0.08025799934131528,0.7360103128498637,0.3741225251067658,0.8122395938479858,0.0877914951989026,Lasso,SNPs,-,323409,-0.1562418694660181,0.7826282098927847,0.29290316916506254,0.8207779185365253,0.45329949757873317,1.2445159230002412,0.5246198423665276,0.3810362352596971,
5,-0.6172910332801589,0.40553124523001627,0.3938429582580768,0.8132405170907364,0.0877914951989026,Lasso,SNPs,-,323409,-0.1562418694660181,0.7826282098927847,0.29290316916506254,0.8207779185365253,0.45329949757873317,1.2445159230002412,0.5246198423665276,0.3810362352596971,
6,0.001275382217094112,2.1700122273528972,0.42856673453893024,0.5787649266077646,0.05852766346593507,Lasso,SNPs,-,323409,-0.1562418694660181,0.7826282098927847,0.29290316916506254,0.8207779185365253,0.45329949757873317,1.2445159230002412,0.5246198423665276,0.3810362352596971,
7,-0.047766838758960484,0.42079037506683836,0.050568651592652,1.0164245655328663,0.13168724279835392,Lasso,SNPs,-,323409,-0.1562418694660181,0.7826282098927847,0.29290316916506254,0.8207779185365253,0.45329949757873317,1.2445159230002412,0.5246198423665276,0.3810362352596971,
8,-0.15307369099863877,0.4736273542467551,0.7033749359537407,0.5669829115278883,0.05852766346593507,Lasso,SNPs,-,323409,-0.1562418694660181,0.7826282098927847,0.29290316916506254,0.8207779185365253,0.45329949757873317,1.2445159230002412,0.5246198423665276,0.3810362352596971,
9,0.043071881005786294,0.3871658908671971,0.06011757596148515,1.0124070272657424,0.13168724279835392,Lasso,SNPs,-,323409,-0.1562418694660181,0.7826282098927847,0.29290316916506254,0.8207779185365253,0.45329949757873317,1.2445159230002412,0.5246198423665276,0.3810362352596971,
0,-0.5155659303129798,0.399235169318207,0.0,1.0472370396475417,5.236080335288177,ElasticNet,SNPs,-,323409,-0.1828818323465709,0.7948825667114351,0.009126687422548563,0.9906862506406727,0.40536638848974965,1.2732637909833688,0.05656779470542357,0.19012534209455176,0.1
1,-0.21199072208712466,0.4251735625918957,1.1102230246251565e-16,1.0459429337322126,54.50196331025473,ElasticNet,SNPs,-,323409,-0.1828818323465709,0.7948825667114351,0.009126687422548563,0.9906862506406727,0.40536638848974965,1.2732637909833688,0.05656779470542357,0.19012534209455176,0.01
2,-0.02550559476074654,1.7807147364934395,0.0,0.8676499477859628,38.72526898807485,ElasticNet,SNPs,-,323409,-0.1828818323465709,0.7948825667114351,0.009126687422548563,0.9906862506406727,0.40536638848974965,1.2732637909833688,0.05656779470542357,0.19012534209455176,0.01
3,-0.10321683013494587,0.7040535524757079,0.0,1.0286782194550803,5.288556455793025,ElasticNet,SNPs,-,323409,-0.1828818323465709,0.7948825667114351,0.009126687422548563,0.9906862506406727,0.40536638848974965,1.2732637909833688,0.05656779470542357,0.19012534209455176,0.1
4,-0.05111896965492546,0.7260158316516911,0.09126687422548574,0.9787182236477912,38.638790023094266,ElasticNet,SNPs,-,323409,-0.1828818323465709,0.7948825667114351,0.009126687422548563,0.9906862506406727,0.40536638848974965,1.2732637909833688,0.05656779470542357,0.19012534209455176,0.01
5,-0.5961412423056216,0.4028708933147761,0.0,1.0445432584743453,1.0833391361750648,ElasticNet,SNPs,-,323409,-0.1828818323465709,0.7948825667114351,0.009126687422548563,0.9906862506406727,0.40536638848974965,1.2732637909833688,0.05656779470542357,0.19012534209455176,0.5
