,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,-0.12045615864848802,1.0754107685589716,3.914595217868744e-06,0.9919610942310685,127834.03948858939,Ridge,PCA_SNPS,0.05,2,-0.14954991581582827,0.9966274450566643,8.578442933071529e-06,0.9992193296616643,0.36658318883894536,0.3559746486593734,1.2815303988651566e-05,0.03838617758037069,
1,-0.07020147825833023,0.8438186417058059,1.2782279476208913e-05,1.0161232311487862,127834.03948858939,Ridge,PCA_SNPS,0.05,2,-0.14954991581582827,0.9966274450566643,8.578442933071529e-06,0.9992193296616643,0.36658318883894536,0.3559746486593734,1.2815303988651566e-05,0.03838617758037069,
2,-0.003596658549102072,0.963754345003759,8.284296147409442e-06,1.003961079471983,127834.03948858939,Ridge,PCA_SNPS,0.05,2,-0.14954991581582827,0.9966274450566643,8.578442933071529e-06,0.9992193296616643,0.36658318883894536,0.3559746486593734,1.2815303988651566e-05,0.03838617758037069,
3,-0.0009037665160376296,1.2152833463324815,2.3045411471467325e-05,0.9731449657611911,127834.03948858939,Ridge,PCA_SNPS,0.05,2,-0.14954991581582827,0.9966274450566643,8.578442933071529e-06,0.9992193296616643,0.36658318883894536,0.3559746486593734,1.2815303988651566e-05,0.03838617758037069,
4,-0.06791888842984917,1.1481837748838848,1.014706222546291e-05,0.982626268566986,127834.03948858939,Ridge,PCA_SNPS,0.05,2,-0.14954991581582827,0.9966274450566643,8.578442933071529e-06,0.9992193296616643,0.36658318883894536,0.3559746486593734,1.2815303988651566e-05,0.03838617758037069,
5,-0.2408876509732718,1.2429111027998312,1.3023009350021653e-05,0.9709719062115069,127834.03948858939,Ridge,PCA_SNPS,0.05,2,-0.14954991581582827,0.9966274450566643,8.578442933071529e-06,0.9992193296616643,0.36658318883894536,0.3559746486593734,1.2815303988651566e-05,0.03838617758037069,
6,-0.3966071084868281,1.0209181262324465,1.0416958774461804e-06,0.9992966603671326,127834.03948858939,Ridge,PCA_SNPS,0.05,2,-0.14954991581582827,0.9966274450566643,8.578442933071529e-06,0.9992193296616643,0.36658318883894536,0.3559746486593734,1.2815303988651566e-05,0.03838617758037069,
7,-0.5454801259684969,0.9628485202703982,4.993924868079702e-06,1.0058490741455222,127834.03948858939,Ridge,PCA_SNPS,0.05,2,-0.14954991581582827,0.9966274450566643,8.578442933071529e-06,0.9992193296616643,0.36658318883894536,0.3559746486593734,1.2815303988651566e-05,0.03838617758037069,
8,-0.037402231616529,0.6832777271999066,6.1560097543988945e-06,1.029279917647289,127834.03948858939,Ridge,PCA_SNPS,0.05,2,-0.14954991581582827,0.9966274450566643,8.578442933071529e-06,0.9992193296616643,0.36658318883894536,0.3559746486593734,1.2815303988651566e-05,0.03838617758037069,
9,-0.012045090711349626,0.8098680975791582,2.396144942351519e-06,1.0189790990651775,127834.03948858939,Ridge,PCA_SNPS,0.05,2,-0.14954991581582827,0.9966274450566643,8.578442933071529e-06,0.9992193296616643,0.36658318883894536,0.3559746486593734,1.2815303988651566e-05,0.03838617758037069,
0,-0.12046573803501914,1.0754153656836931,0.0,0.9919630357998468,127834.03948858939,Lasso,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,0.0,0.9992235833459178,0.36659007248531056,0.35596288011581156,0.0,0.038382817023139976,
1,-0.07014168743303761,0.8437950698276546,0.0,1.016129725396606,127834.03948858939,Lasso,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,0.0,0.9992235833459178,0.36659007248531056,0.35596288011581156,0.0,0.038382817023139976,
2,-0.003590221161029694,0.9637512540854,0.0,1.0039652380532726,127834.03948858939,Lasso,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,0.0,0.9992235833459178,0.36659007248531056,0.35596288011581156,0.0,0.038382817023139976,
3,-0.0008459389785437921,1.2152482391320076,0.0,0.9731561792180843,127834.03948858939,Lasso,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,0.0,0.9992235833459178,0.36659007248531056,0.35596288011581156,0.0,0.038382817023139976,
4,-0.06790165000019699,1.1481745078106451,0.0,0.9826312539898723,127834.03948858939,Lasso,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,0.0,0.9992235833459178,0.36659007248531056,0.35596288011581156,0.0,0.038382817023139976,
5,-0.24086312454561876,1.2428988195283153,0.0,0.9709782287613675,127834.03948858939,Lasso,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,0.0,0.9992235833459178,0.36659007248531056,0.35596288011581156,0.0,0.038382817023139976,
6,-0.3965637350458564,1.020902273142619,0.0,0.999297180849145,127834.03948858939,Lasso,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,0.0,0.9992235833459178,0.36659007248531056,0.35596288011581156,0.0,0.038382817023139976,
7,-0.5454937989909492,0.9628527794711789,0.0,1.0058515857222816,127834.03948858939,Lasso,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,0.0,0.9992235833459178,0.36659007248531056,0.35596288011581156,0.0,0.038382817023139976,
8,-0.03740654411037614,0.6832791473953922,0.0,1.0292830857905229,127834.03948858939,Lasso,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,0.0,0.9992235833459178,0.36659007248531056,0.35596288011581156,0.0,0.038382817023139976,
9,-0.012055809984282462,0.8098723865057437,0.0,1.0189803198781786,127834.03948858939,Lasso,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,0.0,0.9992235833459178,0.36659007248531056,0.35596288011581156,0.0,0.038382817023139976,
0,-0.12046573803501914,1.0754153656836931,0.0,0.9919630357998468,5.432366363936585,ElasticNet,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,1.1102230246251566e-17,0.9992235833459178,0.36659007248531056,0.3559628801158116,6.881233598410334e-17,0.038382817023139955,0.01
1,-0.07014168743303761,0.8437950698276546,0.0,1.016129725396606,8.326732114410685,ElasticNet,PCA_SNPS,0.05,2,-0.149532824828491,0.9966189842582649,1.1102230246251566e-17,0.9992235833459178,0.36659007248531056,0.3559628801158116,6.881233598410334e-17,0.038382817023139955,0.01
