,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.3441704516187668,0.8608769291211872,0.2159277247813517,0.8784603606484773,7481.8276426792145,Ridge,PCA_SNPS,0.05,3,0.19782919375666022,0.8767116644775758,0.2317413796707023,0.8762334022194962,0.20491227614129814,0.2198290461743338,0.02475931550091767,0.02347434410644782,
1,0.1859352798648647,0.9088205805790102,0.23575019346612447,0.873137133038039,7481.8276426792145,Ridge,PCA_SNPS,0.05,3,0.19782919375666022,0.8767116644775758,0.2317413796707023,0.8762334022194962,0.20491227614129814,0.2198290461743338,0.02475931550091767,0.02347434410644782,
2,0.19940837177789805,0.8447991052314012,0.23274819060217866,0.8801720558814113,7481.8276426792145,Ridge,PCA_SNPS,0.05,3,0.19782919375666022,0.8767116644775758,0.2317413796707023,0.8762334022194962,0.20491227614129814,0.2198290461743338,0.02475931550091767,0.02347434410644782,
3,0.1382517300354541,0.8570785201164043,0.2374849595038252,0.87898818252204,7481.8276426792145,Ridge,PCA_SNPS,0.05,3,0.19782919375666022,0.8767116644775758,0.2317413796707023,0.8762334022194962,0.20491227614129814,0.2198290461743338,0.02475931550091767,0.02347434410644782,
4,0.04284143660407169,0.9063907663597598,0.24871757701636243,0.8735454783218624,7481.8276426792145,Ridge,PCA_SNPS,0.05,3,0.19782919375666022,0.8767116644775758,0.2317413796707023,0.8762334022194962,0.20491227614129814,0.2198290461743338,0.02475931550091767,0.02347434410644782,
5,0.031105721050918356,0.9389460727365179,0.25092967000908317,0.8695465877150326,7481.8276426792145,Ridge,PCA_SNPS,0.05,3,0.19782919375666022,0.8767116644775758,0.2317413796707023,0.8762334022194962,0.20491227614129814,0.2198290461743338,0.02475931550091767,0.02347434410644782,
6,0.2958670179042705,0.9477806862140639,0.21759579746227442,0.8696484131257028,7481.8276426792145,Ridge,PCA_SNPS,0.05,3,0.19782919375666022,0.8767116644775758,0.2317413796707023,0.8762334022194962,0.20491227614129814,0.2198290461743338,0.02475931550091767,0.02347434410644782,
7,0.19752739683498688,0.6709634595450892,0.23325874965938875,0.8968377316402522,7481.8276426792145,Ridge,PCA_SNPS,0.05,3,0.19782919375666022,0.8767116644775758,0.2317413796707023,0.8762334022194962,0.20491227614129814,0.2198290461743338,0.02475931550091767,0.02347434410644782,
8,0.24979523665730818,0.7493774680902148,0.2297963787307955,0.8894203504810739,7481.8276426792145,Ridge,PCA_SNPS,0.05,3,0.19782919375666022,0.8767116644775758,0.2317413796707023,0.8762334022194962,0.20491227614129814,0.2198290461743338,0.02475931550091767,0.02347434410644782,
9,0.2933892952180629,1.0820830567821091,0.21520455547563877,0.85257772882107,7481.8276426792145,Ridge,PCA_SNPS,0.05,3,0.19782919375666022,0.8767116644775758,0.2317413796707023,0.8762334022194962,0.20491227614129814,0.2198290461743338,0.02475931550091767,0.02347434410644782,
