,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,PCA_SNPS,0.05,2,-0.02390194140136991,0.9428676277261427,0.021430504354873814,0.9886609333508725,0.19318523188984035,0.6226730457346794,0.0032528950290971197,0.06434358426437775
1,Lasso,PCA_SNPS,0.05,2,-0.02589555575945369,0.9431661211770486,0.02154037655011305,0.9886054225729288,0.20247850393385095,0.6210031508911346,0.0032704701238141383,0.06433978079869085
2,ElasticNet,PCA_SNPS,0.05,2,-0.03618067386276767,0.9497111537618378,0.008848697120934501,0.9949853660438449,0.15403221030018482,0.6267035011960944,0.015822112613988158,0.06485979342643011
3,Ridge,PCA_SNPS,0.1,4,0.02367483885586047,0.913596090565331,0.08811443973540309,0.9543676897430811,0.3114016464537516,0.5900776387180752,0.010974025246570854,0.06172039405067185
4,Lasso,PCA_SNPS,0.1,4,0.02073556205720849,0.9139349751627228,0.08830214186495379,0.9542696467157012,0.32560985965206546,0.5873684057730616,0.011001400487304311,0.061729052863878725
5,ElasticNet,PCA_SNPS,0.1,4,0.02592570025294836,0.9203533764609022,0.06002615825549022,0.9691123844741781,0.17911949561911278,0.6118320400630464,0.03019288031410413,0.07529410244874465
6,Ridge,PCA_SNPS,0.2,16,0.28181768257294654,0.7909883704312205,0.3179014959435517,0.8253895582690275,0.3442657695302722,0.5819000716720952,0.0327797137760177,0.05874078533688461
7,Lasso,PCA_SNPS,0.2,16,0.27492553090188704,0.7924205609169637,0.31883528370957226,0.824825646756885,0.36103088810579553,0.5756007949399473,0.03250878795431095,0.05868542893860823
8,ElasticNet,PCA_SNPS,0.2,16,0.2077426983651277,0.8400803323892524,0.22016966834136054,0.8822346579745525,0.2845766554349629,0.6357128588544468,0.07322323034250078,0.06444093313325068
9,Ridge,PCA_SNPS,0.3,40,0.2978403150814111,0.772727127145915,0.3811893169901039,0.7861211646751993,0.4260902168569408,0.5712553101340087,0.04328278030492101,0.05982568274856387
10,Lasso,PCA_SNPS,0.3,40,0.29574784714868707,0.7780114407710952,0.3727818307810107,0.7914092075248667,0.39011775300752377,0.5738926531876279,0.054103297626584286,0.06443926244624754
11,ElasticNet,PCA_SNPS,0.3,40,0.21491523767247545,0.8360207085021187,0.2405065022442138,0.8700982207230008,0.24792974662100775,0.6219169042014229,0.11096054880783134,0.06682386612083178
12,Ridge,PCA_SNPS,0.4,76,0.30243984188928374,0.7602259132248435,0.4820421237819018,0.7191289410712172,0.4504157026188519,0.5010157732415237,0.02861473808381256,0.04490442116866813
13,Lasso,PCA_SNPS,0.4,76,0.24917051843655721,0.7747253449681647,0.47906270890510994,0.7209911053723865,0.6306398376524253,0.48256618028075454,0.04864896053553183,0.04666070152479583
14,ElasticNet,PCA_SNPS,0.4,76,0.21687270758640964,0.8312113592386733,0.31696593930081063,0.8247431239517621,0.1723433874553496,0.5829253764347861,0.13215650566663042,0.0833357091930314
15,Ridge,PCA_SNPS,0.5,124,0.35689114105895464,0.7261034461335263,0.6034576899069718,0.6293017543377073,0.4976640097857443,0.5047841513008984,0.033394459079785214,0.052302682629071805
16,Lasso,PCA_SNPS,0.5,124,0.3084494236475449,0.7402092532370492,0.5868032855179368,0.6420791234133878,0.6626822726288952,0.49597805771947445,0.05345680472354454,0.056683778962112005
17,ElasticNet,PCA_SNPS,0.5,124,0.30532922667531076,0.7813857432229451,0.44369389711363694,0.7448842044685178,0.2845716691495861,0.5718288570717199,0.11127795230107973,0.09972410220342355
18,Ridge,PCA_SNPS,0.7,248,0.38784362741009576,0.7300886999901067,0.7645160862443589,0.4840101912582988,0.34255268432249075,0.5699430901494783,0.06626995959634693,0.07594392740563013
19,Lasso,PCA_SNPS,0.7,248,0.2933643831784077,0.7612945574398224,0.678712362694556,0.5624457298891956,0.5680759496655439,0.5243981354696996,0.17045643537848112,0.15727403152528008
20,ElasticNet,PCA_SNPS,0.7,248,0.2497431323479552,0.8211839569768336,0.5569697114517589,0.6624319220479048,0.2033681747559332,0.6253927061506767,0.16832548084227064,0.13171907425127
21,Ridge,PCA_SNPS,0.9,417,0.3273605116012865,0.7617141064441281,0.8036731932467325,0.4421081330135258,0.39898005264373687,0.57800474930225,0.052372420106621694,0.07819359335086556
22,Lasso,PCA_SNPS,0.9,417,0.3029373237077588,0.7688604271980984,0.5683985516638002,0.6535992275843303,0.40309835716703696,0.5443897299186885,0.17089678597148708,0.1394170362101575
23,ElasticNet,PCA_SNPS,0.9,417,0.06840331862899102,0.9081905039756261,0.24569452651114237,0.866832468535899,0.10248869977918124,0.6312072086381071,0.19191597414722528,0.130872879906383
24,Ridge,PCA_SNPS,1.0,595,0.3638445032409631,0.7456596885237674,0.9704523590761602,0.1561961518687425,0.3645548599869122,0.591013297594093,0.033883271530298326,0.15298389872242846
25,Lasso,PCA_SNPS,1.0,595,0.3032653225083887,0.768093751002286,0.5834099776267523,0.6405823872438507,0.4064266189462303,0.541591712579931,0.1996595572018572,0.1651684271062773
26,ElasticNet,PCA_SNPS,1.0,595,0.07961213865804402,0.9005395985970095,0.2789052209971518,0.847443113603228,0.08456980709873084,0.6137544760862114,0.20806202614833016,0.1536712388921897
