,test_index,y_pred,y_true
0,2,2.1890934,1.2990307438515991
1,10,-0.047894575,-0.5199731312621356
2,29,0.21867345,-1.1272055020150888
3,30,-0.70153487,0.7654708196688055
4,55,0.92233497,-0.06355632279851459
5,63,1.2705358,0.16386829163474545
6,70,1.2120651,4.0516018733912045
7,72,1.0071499,1.1808604275701688
8,76,0.92271686,-0.30091766354080074
9,77,0.57124764,1.4567465189712636
10,78,-0.4328385,-0.6595500414211893
11,101,0.99775857,-0.3586810567231704
12,104,-0.9176509,0.26010332727365265
13,118,0.1712968,1.5357063602145629
14,135,0.100497946,0.5259560428005227
15,165,-0.8796438,-0.8528998410416275
16,181,-0.15520477,-0.8467494462242918
17,182,0.78666204,-0.2742273522583151
18,188,1.4446297,0.6905236626558707
19,208,0.24278244,1.9891749506392462
20,209,0.11213644,1.4532155208789452
21,218,0.24518812,4.873354704351892
22,235,2.4372354,1.7777593926103588
23,238,0.043092325,-0.5942513873434131
24,248,-0.0107954275,0.3866676407148341
25,274,-0.5564607,-0.5654832240705819
26,277,-0.36512002,-0.4568575513323002
27,281,-0.36818287,-0.3923818354778691
28,284,-0.17742907,-0.48801823400308164
29,286,-0.14336976,-0.5025623248510385
30,289,-0.28572434,-0.6279528828565903
31,291,-0.49492228,-0.6739488968621892
32,300,-0.81222194,-0.4343209093734301
33,312,-0.72477853,-0.7149439873856714
34,340,-0.2961022,-0.22448647195576166
35,352,-0.47826743,-0.6592553843910527
36,354,-0.5898608,-0.6382946254316513
37,355,-0.13248336,-0.6882973201360313
38,357,-0.13387479,-0.6636618807796631
39,388,-0.2744225,-0.34647306685515206
40,395,-0.36987555,-0.6904831475356351
41,433,-0.060845155,0.5832374203872133
42,437,0.13314295,0.32069583863458606
43,451,-0.17877094,-0.6011929691688971
44,462,-0.68859804,-0.4851193085182556
45,465,-0.68997425,-0.2649777562074882
46,490,-0.4854398,-0.5209602250241464
47,501,-0.36650366,-0.5469744403316549
48,524,0.35722718,3.803612502798202
49,534,-0.6363538,-0.5448978991255338
50,536,-0.57993805,-0.46132152753459754
51,542,-0.46621275,-0.4928325917737717
52,552,-0.43874636,-0.4056048245719734
53,555,-0.47025335,-0.49358955957918554
54,556,-0.39056933,0.638253008766323
55,557,-0.8882299,-0.47145213672857683
56,565,-0.3229672,-0.5220980600909187
57,570,-0.38495052,-0.13451836639803283
58,590,1.1654923,0.6846332635734383
59,591,0.21553978,0.48188780366194545
60,6,0.4626926,-0.9565410621936528
61,9,-0.30319324,0.998894188383218
62,11,-0.32291558,-0.32784265554780745
63,39,-0.1350876,0.08822200546138523
64,60,1.3452,1.7480795629943895
65,73,1.4048105,0.16644011422843663
66,79,0.017766254,-0.46029832208502974
67,81,0.4734373,-0.1966507794180318
68,82,0.04465509,0.4362265913314891
69,83,0.43836415,-0.3790336910336355
70,84,1.0558769,0.2180254661792522
71,86,1.2476962,-0.6927721879066947
72,90,0.6389543,-0.06168462552735249
73,110,-0.16571128,-0.08589233659527881
74,131,-0.57680696,0.5391796082063821
75,132,0.24551043,0.8448550664174266
76,140,-0.43134162,1.5172507245228597
77,145,-0.47703937,0.06073213362163465
78,148,-0.3340336,-0.6328365449459789
79,153,-0.5667076,-0.8059304426380903
80,158,-0.6794786,-0.6031971410123652
81,163,-0.58305615,-0.7811658226989999
82,177,-0.26484808,-0.821142372036239
83,184,1.5773292,-0.3737331725305103
84,196,1.3459204,-0.5098784132104384
85,199,0.7986638,-0.17696033543180553
86,204,0.7615956,1.0395521122661668
87,210,1.1494675,3.2801169538208415
88,211,1.2995061,0.07379142520867786
89,231,0.048852913,0.9731303413640698
90,234,0.7784282,2.1156572447366515
91,247,-0.08257189,-0.6042942630186893
92,250,0.96484387,0.40944310054235944
93,257,0.02729646,0.1939612624021631
94,265,0.32080334,-0.4965931945097108
95,271,-0.45187765,-0.4336981151982961
96,278,-0.40160465,-0.3793511029468615
97,299,-0.36972952,-0.5215020341063142
98,302,-0.64112526,-0.18272693516532032
99,304,-0.6284283,-0.487647639057313
100,309,-0.4398152,0.04677484559691119
101,331,-0.701981,-0.5842255118048582
102,361,-0.4049441,-0.5325568680400787
103,364,-0.36811322,-0.2267260072768902
104,367,-0.83360225,-0.7203213841456425
105,368,-0.6706418,-0.5848631079971782
106,394,-0.4816614,-0.7313436768038413
107,419,-0.64431936,-0.4598193577704634
108,431,-0.5942592,-0.3463887799127176
109,442,-0.32941318,-0.5299226362286157
110,444,-0.57902944,-0.32466461674814096
111,449,-0.2943318,-0.5115254005306441
112,464,-0.045375213,-0.49161896557600865
113,468,-0.61308986,-0.4089695269379524
114,512,-0.5006806,-0.49110064217874944
115,533,-0.7548636,-0.4495642933424382
116,579,-0.56130654,-0.43024546367613403
117,581,-0.10837744,-0.3258998590037014
118,583,-0.5444729,-0.3416417621448868
119,586,-0.5153772,-0.3612881506102028
120,0,1.763558,3.6724523564370006
121,15,0.11737569,0.2820424236018869
122,18,0.62062967,2.5168235842836144
123,22,0.6121707,3.394112954097848
124,33,0.14082521,-0.47797279241145874
125,46,0.8001084,3.0220749325888505
126,54,1.0550216,2.4487003477617164
127,68,1.5843,1.3311020354971348
128,75,0.2805884,0.4503164002314611
129,88,0.3834247,-0.5701795693413736
130,89,0.7901955,0.37116002600903664
131,92,0.7325827,1.1427826215375834
132,93,0.15815093,-0.24578864895873184
133,108,0.04141868,-0.437505359610402
134,109,-0.16661662,-0.30947999083278566
135,116,-0.45838052,-0.20436516394732557
136,117,0.17553727,0.10301924517185498
137,137,-0.13370536,0.5171941232171245
138,144,0.46030742,-0.6997997375798236
139,155,-0.58563495,-0.8877609598514213
140,167,-0.9363065,-0.8502715498797381
141,176,-0.9370657,-0.5966447381722078
142,192,-0.73424256,-0.6115796630797605
143,195,1.8824812,2.717383291305658
144,212,0.78630763,2.9976016888353887
145,244,1.3583032,2.189450057744234
146,268,-0.5655804,-0.6101155228728924
147,272,-0.51715726,-0.4955655374049231
148,280,-0.26760125,-0.49104701641193116
149,310,-0.6669554,-0.6387503529066937
150,316,-0.590764,-0.6848524912329783
151,319,-0.4270566,-0.6393475100214264
152,321,-0.37344688,-0.7181731213644122
153,328,-0.17910446,-0.6766055569242636
154,336,-0.19917901,-0.7096714545197446
155,341,-0.58098495,-0.2859425501084705
156,346,-0.3579759,-0.6907621005547839
157,356,-0.46621466,-0.5625696020168081
158,360,-0.3096317,-0.5771032713595984
159,371,-0.5802423,-0.6120355905317572
160,396,-0.2731781,-0.7539032681536704
161,425,-0.25706476,-0.40832558147801473
162,426,-0.3951136,-0.37360673603545835
163,434,-0.15413056,-0.45788737331634055
164,436,-0.11764858,-0.45738790124169115
165,482,-0.12203775,-0.4446700523468186
166,493,-0.44851345,-0.4926664332353444
167,503,1.0405598,0.5292112646659176
168,505,-0.5448895,-0.5524740475530515
169,519,-0.71380204,-0.56471281776721
170,531,-0.17675215,-0.5198663021490885
171,535,-0.5185234,-0.5387564135249983
172,537,-0.48181218,-0.49016160599746605
173,546,-0.31456357,-0.48651129305096136
174,551,-0.1822238,-0.4909530160414818
175,576,-0.66724426,-0.31217310256889264
176,584,-0.37017584,-0.5173179890510873
177,588,-0.82094187,-0.3703697455730143
178,593,0.9274508,0.3056307696213956
179,594,0.2514674,4.6285254102692095
180,7,1.628686,1.1495008934630153
181,19,1.6106032,0.6743966065099282
182,25,0.66735303,0.05474635039968638
183,42,0.20530987,-0.7238424089888366
184,49,0.23574227,1.149478370174878
185,56,0.4554691,1.237347956041941
