,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,PCA_SNPS,0.05,2,0.051805860920201306,0.8164123629360106,0.12634454911082366,0.9321526223328717,0.48737003088666486,0.9763112991026671,0.05902988434250125,0.16986222737418039
1,Lasso,PCA_SNPS,0.05,2,0.05462098720667617,0.8152904445461292,0.12717649220366084,0.9317010793860926,0.4981300716893079,0.9766868705363,0.059301162988387654,0.16966218082028986
2,ElasticNet,PCA_SNPS,0.05,2,-0.04543467520725965,0.8541608018804646,0.06330247492181995,0.9638821773986991,0.3179551895373438,0.9596619619581279,0.06613691931950318,0.15000289026858227
3,Ridge,PCA_SNPS,0.1,4,0.25224778511732227,0.7244051009362947,0.30289661724241895,0.8333052437497068,0.41441297216828993,0.9212100451243532,0.10740331881697733,0.17855801823106005
4,Lasso,PCA_SNPS,0.1,4,0.24855832369320846,0.724771375582311,0.30387906023125927,0.8327388091291017,0.43478079013028664,0.9184578956039542,0.10919348218917745,0.17946649593220954
5,ElasticNet,PCA_SNPS,0.1,4,0.1732715536685382,0.7664428458866277,0.22473271483186916,0.8780645872163878,0.33834515875781684,0.9401151214649353,0.09535170814216447,0.16944356612481157
6,Ridge,PCA_SNPS,0.2,11,0.35824944752606114,0.681523906415305,0.4064109941291219,0.7692424724300884,0.3677679776626466,0.9086190949711744,0.10221193138709096,0.1741793953802368
7,Lasso,PCA_SNPS,0.2,11,0.31523315608548425,0.697648104057393,0.4102459379334139,0.7666494193531607,0.37668018054688185,0.8990732917479815,0.09652252583785029,0.16975580884544939
8,ElasticNet,PCA_SNPS,0.2,11,0.18590680158024064,0.7626480251466359,0.25004136611328215,0.8628637135708295,0.3822494878666367,0.942112896586479,0.1860070646436302,0.19785652877460821
9,Ridge,PCA_SNPS,0.3,21,0.3885795785973142,0.6720115167900599,0.45591767242953757,0.7366094990335343,0.36889911866750025,0.9172581644787888,0.10870257016591674,0.17613739233174963
10,Lasso,PCA_SNPS,0.3,21,0.3317528141184928,0.6940802616366872,0.4213876291335634,0.7592995169318444,0.3543859718139694,0.900071134213463,0.15344337308743722,0.1974957222419656
11,ElasticNet,PCA_SNPS,0.3,21,0.22748913423709674,0.7465487255844829,0.29989667516132795,0.8337480934945191,0.4985274145297833,0.9612894766542057,0.18596849212394786,0.19731645004362144
12,Ridge,PCA_SNPS,0.4,34,0.38310804809522714,0.6706813840364195,0.5321958180104318,0.6829962325998764,0.4279022435914049,0.9238821067155762,0.11112531375764678,0.17302877514089243
13,Lasso,PCA_SNPS,0.4,34,0.3651563534996649,0.6800154260762885,0.4926095491598065,0.7105853481669209,0.3817794673144149,0.9135046979926373,0.16295909805511727,0.19679573059218855
14,ElasticNet,PCA_SNPS,0.4,34,0.21530494347666337,0.7596136913673033,0.2910754945191454,0.8369031367901337,0.42961165207942725,0.9823592987885056,0.266548595857474,0.21987849203943752
15,Ridge,PCA_SNPS,0.5,49,0.3626268804432986,0.6843415930016714,0.5822607721020887,0.6453613945057988,0.34200589593509995,0.919186259995113,0.08064225878491357,0.1517785322893858
16,Lasso,PCA_SNPS,0.5,49,0.3361759956878647,0.6903023099622276,0.49271083065635063,0.708983852130253,0.3876870634025631,0.9050043989244108,0.20917579742520287,0.21412394186625122
17,ElasticNet,PCA_SNPS,0.5,49,0.17709141499443545,0.7693601937610318,0.3387769600703804,0.8106878074214795,0.35211895174749325,0.9472715627955377,0.23127381743783787,0.23558137314269206
18,Ridge,PCA_SNPS,0.7,83,0.33430868430816923,0.6875269274171363,0.7362615223395068,0.5107104414804046,0.4652467802379748,0.9158141780023115,0.04564877669536491,0.08271374420124332
19,Lasso,PCA_SNPS,0.7,83,0.28365159326180217,0.7097612735101091,0.5631701084366472,0.6518647864206124,0.4191887901344873,0.8806455269919613,0.2995699618137548,0.2634541793010958
20,ElasticNet,PCA_SNPS,0.7,83,0.09140537178496715,0.7984214614046703,0.29641167096285603,0.8310853522790179,0.30160568335547694,0.9046900525157625,0.4003708270782972,0.3096979044809034
21,Ridge,PCA_SNPS,0.9,124,0.36180222331989687,0.6912654195369622,0.7613541176929637,0.4866486113976007,0.39962603565411753,0.9779827164763966,0.06930310147714812,0.12024986474352395
22,Lasso,PCA_SNPS,0.9,124,0.2862043534120094,0.713819176538392,0.49613573278724477,0.7054858904839243,0.3477688228609431,0.9019095283537271,0.2149795364133476,0.21116026833347668
23,ElasticNet,PCA_SNPS,0.9,124,0.007193275990032754,0.8354149933989315,0.16793500305689013,0.9092632223877077,0.2474221749683614,0.9205726579979915,0.32412771407400676,0.2828650869059968
24,Ridge,PCA_SNPS,1.0,163,0.46993291680555116,0.6348675767879868,0.9915824257714995,0.05887860388903222,0.3938752010799509,0.9577088820555495,0.024827154721328622,0.12887191877093895
25,Lasso,PCA_SNPS,1.0,163,0.25097751204899355,0.7237297767021763,0.5226195575701791,0.6770065050689363,0.4335759718085878,0.8884925351291526,0.3199363984907766,0.3122427613109301
26,ElasticNet,PCA_SNPS,1.0,163,-0.12781354617665996,0.8967431186727713,0.07456752719387019,0.9607113310765099,0.4426681939577586,1.0764811694389043,0.294469040700016,0.283660013920065
