,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,PCA_SNPS,0.05,2,0.011137655326308716,0.8995916517696075,0.10695069977531022,0.9440362564176566,0.4820175206058923,0.6870174606049944,0.041545885667642855,0.09578831681431753
1,Lasso,PCA_SNPS,0.05,2,0.009302490436007749,0.9009437339488855,0.10711463409660138,0.9439507488826695,0.481018734511971,0.6897681223792731,0.04267324229639964,0.09608184987042312
2,ElasticNet,PCA_SNPS,0.05,2,-0.04593706590414361,0.923305800370044,0.05783531893549554,0.9694041223230487,0.43986530426847015,0.6568679480570351,0.05134501485196411,0.09027470601947786
3,Ridge,PCA_SNPS,0.1,4,0.00790961830014746,0.8995053560543456,0.13208535236922014,0.9306353629380442,0.4442774064682059,0.6625694894033596,0.04041502447191212,0.09367775115514844
4,Lasso,PCA_SNPS,0.1,4,0.0003588721558510866,0.9046764958471695,0.13168977337659904,0.9308283301740303,0.4428796062115302,0.6720240371237183,0.05543864543872569,0.09686458792876575
5,ElasticNet,PCA_SNPS,0.1,4,-0.0759230911415362,0.9277455712696789,0.0736771649062617,0.9613345498043994,0.6033647309931518,0.6384135986184417,0.061950811714965616,0.09828085839616911
6,Ridge,PCA_SNPS,0.2,11,0.24350880079878073,0.7797123577068836,0.38146537542432984,0.7855938861997599,0.5396126488934471,0.6172114200475699,0.03972819190662118,0.08105885162792167
7,Lasso,PCA_SNPS,0.2,11,0.23111861544892626,0.7806468401493694,0.38125279718119454,0.7857669784487579,0.5765862985904994,0.5912894768427558,0.04588255094246864,0.08481503107370858
8,ElasticNet,PCA_SNPS,0.2,11,0.11675286926479532,0.8447451088569178,0.2796678594168844,0.8471494308398535,0.4431074405914674,0.6119636206611582,0.09035332604614339,0.08653549164618811
9,Ridge,PCA_SNPS,0.3,21,0.11042768736336164,0.7937769242353632,0.4384590942229351,0.7486548731555164,1.4061786131512408,0.6114327018475955,0.05040005591526379,0.08781767628468024
10,Lasso,PCA_SNPS,0.3,21,0.1997325065668533,0.7778929908329363,0.42992430036906376,0.7543618056522886,0.8626144134495223,0.5932188446008789,0.05602123394324022,0.09214279527691649
11,ElasticNet,PCA_SNPS,0.3,21,0.15236867101685844,0.8268318573633693,0.31205669255164764,0.8282095803714298,0.4544184993873079,0.6171701341050501,0.0985628931023361,0.10316312710475124
12,Ridge,PCA_SNPS,0.4,34,0.36130836263060917,0.7166615464812841,0.5801407970394131,0.6470819775306703,0.528450147598424,0.6317721106182046,0.05353414155526235,0.0786216362530912
13,Lasso,PCA_SNPS,0.4,34,0.35704936050105385,0.7184550966166217,0.5706168780892058,0.6543537300723421,0.5187667218488943,0.616621131083505,0.061189711899634625,0.08399917848638953
14,ElasticNet,PCA_SNPS,0.4,34,0.2312730213864284,0.7954155478989892,0.4075138812451674,0.7667284532369523,0.42808098425646524,0.6575185581181888,0.15345289269808218,0.10249045108715392
15,Ridge,PCA_SNPS,0.5,49,0.37616354300966803,0.7028830311775573,0.6563584553019266,0.5850201600272872,0.6040680406693518,0.6303811816482336,0.06420212322272062,0.08046363806542321
16,Lasso,PCA_SNPS,0.5,49,0.33053726291073526,0.7320303215051345,0.6285504810201139,0.6078102262279588,0.5158578915880955,0.607863767299177,0.10051568872334429,0.11058273838864915
17,ElasticNet,PCA_SNPS,0.5,49,0.18489083066335288,0.8130120467177674,0.4094167698486583,0.7660321040634904,0.5157491965206961,0.6461744664213067,0.14708273649421222,0.11522645101156125
18,Ridge,PCA_SNPS,0.7,85,0.32023430433470335,0.7377791582784271,0.7208381943679597,0.525910621036332,0.5070307020329342,0.6452778469863785,0.0921347072939585,0.09817551659916433
19,Lasso,PCA_SNPS,0.7,85,0.23925547539855035,0.7825930923005564,0.6081034260701087,0.6210096306659709,0.4920558243587534,0.611193674202454,0.2009452982629348,0.18801999381808415
20,ElasticNet,PCA_SNPS,0.7,85,0.13176865126619094,0.8421283412530767,0.42323894757856084,0.7498151680405131,0.3927506071425787,0.6306433174519575,0.36132042494844,0.25625879851749994
21,Ridge,PCA_SNPS,0.9,125,0.28635320279658694,0.7602455167754338,0.8025439998246153,0.4414125167271992,0.516124506661806,0.6397309185597073,0.07808846541859392,0.08441811525437953
22,Lasso,PCA_SNPS,0.9,125,0.21552498207218537,0.7956906340303123,0.593210031645178,0.6297129804597601,0.47003827279326804,0.6154584201155421,0.26120640843683035,0.24555934803645718
23,ElasticNet,PCA_SNPS,0.9,125,0.09422616844065887,0.8577108859700764,0.3265173525130531,0.8148906003232452,0.3239088800995851,0.5890765551453381,0.3512563383089328,0.27502335101655534
24,Ridge,PCA_SNPS,1.0,167,0.3386180527002826,0.7373070039065998,0.9996342027500437,0.0054515832355898726,0.4286821034218376,0.6414706700178415,0.0022672348445077683,0.03378920453601733
25,Lasso,PCA_SNPS,1.0,167,0.20670071392162806,0.8047586692577506,0.6501470856484316,0.572003211792987,0.4657762019803246,0.6457842680111008,0.3171036334029189,0.349998716648571
26,ElasticNet,PCA_SNPS,1.0,167,0.04017988184101031,0.8819741041964779,0.18514912479122284,0.9015232750999871,0.38127500725207125,0.6106106398240427,0.1112070950050383,0.11365111121159052
