,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,PCA_SNPS,0.05,2,0.3224724012306221,0.7345814132431547,0.3936303906889878,0.7778718900815056,0.5594451651907469,0.5874667665456762,0.040365510001685416,0.08750573114806558
1,Lasso,PCA_SNPS,0.05,2,0.32146048388933973,0.7350552770937367,0.39371717808699147,0.7778158350619915,0.5633257881033761,0.5893216187259083,0.04021841802047193,0.08743851209386579
2,ElasticNet,PCA_SNPS,0.05,2,0.25508205075539325,0.7809852057906612,0.31256603303480773,0.8281973993792757,0.3907076517059546,0.5975662139377315,0.057292008781502674,0.0958751264234125
3,Ridge,PCA_SNPS,0.1,4,0.3679970677783795,0.7104093698541997,0.43910871036476606,0.7481922087496284,0.562665314592096,0.5809582377369269,0.03914672152526599,0.08683651831317474
4,Lasso,PCA_SNPS,0.1,4,0.37064592162914706,0.7097852433692066,0.4383450494262629,0.7486979081990903,0.5472761423765081,0.5815685379625419,0.03881157817260275,0.08662499754083829
5,ElasticNet,PCA_SNPS,0.1,4,0.30944372376091456,0.7473981764891898,0.35812623491003,0.8005788650658555,0.4548432333776074,0.5791639494690344,0.06871530789861077,0.10849200314879227
6,Ridge,PCA_SNPS,0.2,11,0.3990122057001951,0.6932080655842334,0.5011633835245812,0.7056395155571425,0.501012033337957,0.5529577642619048,0.032886331209928975,0.0828143952306925
7,Lasso,PCA_SNPS,0.2,11,0.42249615224908743,0.680501899561107,0.492742991375557,0.7115079969192041,0.48254581672088365,0.5573867903734738,0.04045153380955366,0.08414370403021441
8,ElasticNet,PCA_SNPS,0.2,11,0.33611537780650474,0.7374203110111419,0.3889970046523136,0.7807016253292693,0.41596409322021216,0.5850891213348615,0.09022880619665025,0.10798305779293955
9,Ridge,PCA_SNPS,0.3,22,0.497915732528143,0.6241498323557085,0.6881019510785538,0.5569085096396134,0.3884073956150658,0.42934759453401544,0.041535625220543916,0.040017711512881755
10,Lasso,PCA_SNPS,0.3,22,0.4777751708773606,0.6398332933167159,0.6672639127503227,0.5745060825680932,0.4081241383648946,0.4595389912454712,0.07892813962914869,0.06626331499680893
11,ElasticNet,PCA_SNPS,0.3,22,0.4170712038004561,0.6832645295881835,0.5655010476326523,0.6555445535704624,0.4900668617205201,0.5843317968120949,0.13789638268604518,0.10611806888213089
12,Ridge,PCA_SNPS,0.4,36,0.44962362717274723,0.6446418607387155,0.7118321835532289,0.5351638489881383,0.5484177955552482,0.4359344692362295,0.043383217449886796,0.03944113428229902
13,Lasso,PCA_SNPS,0.4,36,0.45677361381477055,0.6500049168629425,0.6738384740092928,0.5682388154488247,0.4987757293031892,0.49356292316153755,0.09040394382435814,0.06860790643375937
14,ElasticNet,PCA_SNPS,0.4,36,0.42958655825004244,0.6784119469705786,0.5822205611956097,0.6432751375952949,0.43512259311607737,0.5868775819021506,0.1122970190304423,0.08150849008263478
15,Ridge,PCA_SNPS,0.5,52,0.39505982125694156,0.6733801243360018,0.7177074730893457,0.5288214840131961,0.6483711927419814,0.4769120471971025,0.06423299873224968,0.03699745656681961
16,Lasso,PCA_SNPS,0.5,52,0.4295334490690204,0.667214292655245,0.6539332514744337,0.5841828467819002,0.5978052865125607,0.5753678260895531,0.11550955685400772,0.07044605107838012
17,ElasticNet,PCA_SNPS,0.5,52,0.36587692991922605,0.7222370919893082,0.5113492346118738,0.6940165176744358,0.4045082293187138,0.5996869901601886,0.21083689827879815,0.14782974741936036
18,Ridge,PCA_SNPS,0.7,90,0.37501816031393076,0.6837202779916185,0.7825298539879233,0.4625699538183511,0.5389657130143141,0.42342667272373424,0.08211607778609711,0.06746390046330553
19,Lasso,PCA_SNPS,0.7,90,0.46480895384914334,0.6453555530745257,0.6924759626082961,0.5503881829434549,0.4504000213008489,0.4861906067791901,0.11477804227484853,0.09243736091229822
20,ElasticNet,PCA_SNPS,0.7,90,0.39032157909387366,0.7060813791603457,0.5547106190364334,0.6637189859770485,0.362335741656071,0.5897980733768158,0.1254524976326812,0.0755182103789229
21,Ridge,PCA_SNPS,0.9,133,0.46510083003286995,0.6278287173329,0.9053860250515597,0.30148370254973844,0.4912931566294473,0.39356178814661114,0.06534835506539967,0.07639646645116381
22,Lasso,PCA_SNPS,0.9,133,0.4216995829886455,0.6738933752643721,0.750513976527803,0.4842366050505107,0.5079168878168304,0.5720680259604969,0.2274582677627169,0.19205482951231317
23,ElasticNet,PCA_SNPS,0.9,133,0.3566146804363417,0.7207401666605648,0.5864277467327023,0.6356770028055471,0.43357966929818903,0.5577316947825456,0.2208214725751127,0.17188490620433974
24,Ridge,PCA_SNPS,1.0,176,0.5271680221261213,0.5902858949593724,1.0,6.294356362351545e-09,0.4428480959483638,0.3216486168495484,0.0,4.74454886853802e-10
25,Lasso,PCA_SNPS,1.0,176,0.4409406497406197,0.6720831770159218,0.6942190686691708,0.54296928555972,0.44505687505856484,0.5903583243450141,0.196081412048881,0.18016185525642306
26,ElasticNet,PCA_SNPS,1.0,176,0.07237194697441816,0.8859126974064799,0.312955126208169,0.8259213928491734,0.5041682681415195,0.7543514369300577,0.2784545983811955,0.2223097313101933
