,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,PCA_SNPS,0.05,2,0.18969285232833094,0.8857038271400819,0.213274553536888,0.8868129267831304,0.240340949162062,0.23420018973048748,0.025797401253115793,0.026369144037139785
1,Lasso,PCA_SNPS,0.05,2,0.18964558397327372,0.8857383693986212,0.21330092398483547,0.8867980440670943,0.2414218894243771,0.2349962154329243,0.02580589112829784,0.026371547301596326
2,ElasticNet,PCA_SNPS,0.05,2,0.16289063221987224,0.9005844640407517,0.18455622168815594,0.9028442159936301,0.18318270790418306,0.20486722865377713,0.02109355953222654,0.021922419610282115
3,Ridge,PCA_SNPS,0.1,5,0.21364485445438283,0.8723290005953417,0.24539721555981753,0.8685202883373638,0.2231744786384793,0.22046971350337782,0.02311802296040356,0.024909477340785562
4,Lasso,PCA_SNPS,0.1,5,0.21346553958024347,0.8724132805898351,0.24457825575224695,0.8689899793351191,0.22192660362275252,0.21919906871964787,0.02440270721034034,0.02548917459896979
5,ElasticNet,PCA_SNPS,0.1,5,0.1805495774267421,0.8907857770692535,0.20710120667793683,0.8902364813612622,0.19852871592348512,0.20861091056589318,0.03873198731112366,0.029052991779218787
6,Ridge,PCA_SNPS,0.2,17,0.258144573466977,0.847386604194925,0.309670170730889,0.8307099089452226,0.2529031268971115,0.24770924669883657,0.02795543621259269,0.02850073181442213
7,Lasso,PCA_SNPS,0.2,17,0.2578588564245858,0.8473426234097104,0.30689764826845395,0.8323745610380399,0.2623279713822316,0.25152444389293716,0.030827102463030467,0.03033177155411638
8,ElasticNet,PCA_SNPS,0.2,17,0.23274173374915483,0.861355238742851,0.26810368399478324,0.8553189292542879,0.2576879738589873,0.24176627181697388,0.04055038980923792,0.033579209951606986
9,Ridge,PCA_SNPS,0.3,40,0.30279806150354577,0.8215085439143719,0.40287935407562653,0.7725714602760428,0.2508831174715539,0.2494791492434453,0.03344999113234648,0.031560998799739975
10,Lasso,PCA_SNPS,0.3,40,0.29997034269884504,0.8230421562639801,0.39628022758390385,0.7767983578423074,0.2729147320679139,0.26425114554265094,0.04233921052157236,0.036773137790911806
11,ElasticNet,PCA_SNPS,0.3,40,0.24321625237614874,0.8564484040637973,0.30963146476010844,0.8303837883257061,0.2360783181479564,0.24130785250442838,0.08590587401192193,0.05460078115499269
12,Ridge,PCA_SNPS,0.4,72,0.3100603001518051,0.8169321842945275,0.4516588857279883,0.7402920739125217,0.2713107399572682,0.259133110755194,0.04401731360479021,0.03937435912677752
13,Lasso,PCA_SNPS,0.4,72,0.28850082729247767,0.8296811836547053,0.4152825760032908,0.764271459563,0.2877926756442112,0.27274401962725264,0.0699528977912264,0.05360298491234621
14,ElasticNet,PCA_SNPS,0.4,72,0.24219978994224908,0.8567748919328138,0.3405759378305893,0.8112437799969168,0.26546001307404166,0.2586963317887985,0.11192628599782926,0.07357190205608098
15,Ridge,PCA_SNPS,0.5,111,0.2876124166227403,0.8302147732815708,0.4785605236065238,0.7217960245434164,0.25267655686341967,0.24759714341810865,0.055054650819673784,0.045178065282299236
16,Lasso,PCA_SNPS,0.5,111,0.25253526492037254,0.8507001468932776,0.4117728627804081,0.7658606084152253,0.2766827393712019,0.2668020170043046,0.1254375515395809,0.08776179348569119
17,ElasticNet,PCA_SNPS,0.5,111,0.20108209906987695,0.8795118307815003,0.32161484614560787,0.8216361130654589,0.25334966427907907,0.245933472854891,0.17983694807705175,0.11260557997616892
18,Ridge,PCA_SNPS,0.7,201,0.2813412361452594,0.8345206445083978,0.5890355231664189,0.640368928238152,0.21929132211102864,0.23272658603706917,0.07738676795007314,0.06625296128610116
19,Lasso,PCA_SNPS,0.7,201,0.26078853727472595,0.8455912108086999,0.3927018256698906,0.7779668187034791,0.28451042317918485,0.26619779546387357,0.139339438591298,0.10291194508313153
20,ElasticNet,PCA_SNPS,0.7,201,0.16866726688360137,0.8967570139959125,0.24507939011336374,0.8677461089716709,0.18836217908260927,0.1955766028752399,0.1545672466083376,0.09767806117937343
21,Ridge,PCA_SNPS,0.9,310,0.267824422511676,0.8422316768930634,0.6951195099255673,0.551009273358424,0.23909087959115416,0.24362695894281855,0.08405781953507754,0.07904920725751839
22,Lasso,PCA_SNPS,0.9,310,0.25563599672646453,0.8488647165448363,0.35488283989240466,0.8026815800141538,0.26319561149473536,0.25493843962413837,0.08845180071733415,0.06352154410539979
23,ElasticNet,PCA_SNPS,0.9,310,0.15384459106580586,0.9055202428729432,0.1877849079388237,0.9009730937664953,0.15991160203886304,0.1945059660112232,0.057270988727350036,0.04016581534318091
24,Ridge,PCA_SNPS,1.0,409,0.29464628964402184,0.8264354298253093,0.917634570956949,0.2809716709696098,0.2439439813325431,0.24526966821707608,0.07310831139148147,0.12466256409684465
25,Lasso,PCA_SNPS,1.0,409,0.25747599927021175,0.8478043840302629,0.35143522664101395,0.8049624129070954,0.2581648992337386,0.2513460436795249,0.07190926101960901,0.05217930444065075
26,ElasticNet,PCA_SNPS,1.0,409,0.15333993646363245,0.9055863862204534,0.18970443638005996,0.8999191375866317,0.16063015384867532,0.19168190852453387,0.05838808767898226,0.04223510927271334
