,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,Ridge,PCA_SNPS,0.05,3,0.1001801857966558,0.900911975327116,0.2103658623786541,0.8881322824057938,0.4879388833101838,0.24875498772549906,0.040400027090965844,0.027964861064250782
1,Lasso,PCA_SNPS,0.05,3,0.09247422846414895,0.9022189948254388,0.2113124943705242,0.8876062565212443,0.528762092092002,0.24504077410026018,0.04013048865272279,0.02863572141593762
2,ElasticNet,PCA_SNPS,0.05,3,0.06755842880830168,0.9275561323542855,0.14694208553806776,0.9230518056864752,0.3023207346630927,0.2747613269551463,0.05285006699081855,0.029672888052557227
3,Ridge,PCA_SNPS,0.1,6,0.1511809796797103,0.8807712128544801,0.2531903383861261,0.8637676709897066,0.3919729348623859,0.2780175231071981,0.035175863400752024,0.03157498122467981
4,Lasso,PCA_SNPS,0.1,6,0.13685215904489695,0.8870479641731546,0.25193328257266584,0.8644874367036806,0.4077994771666033,0.27336186190188655,0.042054051147916174,0.03609856981905097
5,ElasticNet,PCA_SNPS,0.1,6,0.08896173428909057,0.9175330230850097,0.18345959844239165,0.9030358867256657,0.25478845582548953,0.2574452812963218,0.06629839631534432,0.04126841195248627
6,Ridge,PCA_SNPS,0.2,17,0.1735652717069468,0.8721561604365271,0.31449915776265486,0.827552013973493,0.3253057347294294,0.28166291647218283,0.0412969303622769,0.03731476789689502
7,Lasso,PCA_SNPS,0.2,17,0.19030782168536695,0.8625923707820331,0.31030773192784633,0.8300956102631416,0.33649655840956283,0.28335070071236634,0.03425495812265154,0.03347955051489265
8,ElasticNet,PCA_SNPS,0.2,17,0.08681609584363201,0.9188765352028611,0.20032731368997791,0.8926150733539912,0.287075654138842,0.2813313907777458,0.1732728669864725,0.09347744452416847
9,Ridge,PCA_SNPS,0.3,34,0.16084808861074018,0.8799453779526843,0.3627720005301211,0.7978665106942009,0.2942274448027443,0.2748584959682328,0.0342399942563529,0.030822949303562226
10,Lasso,PCA_SNPS,0.3,34,0.1420132097662153,0.8879445698986774,0.31778358118225697,0.8251386877862453,0.34407609464308253,0.2811557027351566,0.0952450658197371,0.061547383789593735
11,ElasticNet,PCA_SNPS,0.3,34,0.07817048305463996,0.9218549697654347,0.17243847078596045,0.9093182974834927,0.2541884275892263,0.24271942308566133,0.09144181111337452,0.0750488213110322
12,Ridge,PCA_SNPS,0.4,54,0.1487356457263696,0.8848365273489727,0.4045522105034273,0.771135844050377,0.3139584524495982,0.2616426929480309,0.04606321368729596,0.03101571109250496
13,Lasso,PCA_SNPS,0.4,54,0.14182892294221122,0.8874556572047106,0.29709387133838877,0.8379650192366683,0.3550498841648075,0.2801828791023554,0.10191837651288492,0.08556480716889447
14,ElasticNet,PCA_SNPS,0.4,54,0.05783940695254401,0.9348163175236602,0.16213712488380919,0.9148169507987178,0.21189731203368892,0.26844231563716336,0.06636432505832404,0.045658350369379555
15,Ridge,PCA_SNPS,0.5,77,0.15905467941612544,0.8799647874124118,0.46566752331884353,0.7304765139562673,0.28536059038112954,0.250984337851283,0.052389356133917375,0.04080821044034465
16,Lasso,PCA_SNPS,0.5,77,0.13640889404982964,0.8903802318024844,0.31211789775164567,0.8287139985596852,0.3521751575634254,0.27937492245508,0.13295244279390603,0.10512354698769881
17,ElasticNet,PCA_SNPS,0.5,77,0.043774789679603486,0.9398250767488525,0.17549257745395874,0.9068989950350961,0.24338275905771903,0.2493935037083626,0.16476059118500336,0.10639525538372945
18,Ridge,PCA_SNPS,0.7,127,0.1541646450640968,0.8791298032953508,0.5936608438639472,0.6367653488511773,0.3935624206720223,0.24774233378892818,0.05827393339197023,0.04552371953082225
19,Lasso,PCA_SNPS,0.7,127,0.10494686351364116,0.9048671105914872,0.31097229651329134,0.8286306325499889,0.41206798407887707,0.2880772118749994,0.1599979105317984,0.1071703993647078
20,ElasticNet,PCA_SNPS,0.7,127,0.03464495385724192,0.9460102767319433,0.20499460669103023,0.8901323751537655,0.20645306414701023,0.2636179055910116,0.1790252794578434,0.11623830417641155
21,Ridge,PCA_SNPS,0.9,184,0.20521271025698742,0.8538760927549702,0.7736160025533981,0.4743010416779095,0.3101630185021589,0.24490977632417243,0.06362408959555363,0.05921343590002086
22,Lasso,PCA_SNPS,0.9,184,0.111666470349974,0.9022848614154099,0.29602926881937913,0.8377692818003957,0.39193692129884816,0.29081009526500984,0.14836928169572902,0.10056721160438002
23,ElasticNet,PCA_SNPS,0.9,184,0.013425948363338103,0.9568488636887689,0.18639216544310416,0.8963380342290204,0.2251935630877583,0.2820770533214686,0.32457287738995105,0.20637798335042112
24,Ridge,PCA_SNPS,1.0,231,0.20928491813330974,0.8506386451789943,0.9980475520222328,0.02571158848608614,0.31076579177261293,0.23190317455382448,0.007005406984111148,0.07224381589241036
25,Lasso,PCA_SNPS,1.0,231,0.11212589565255529,0.9023763386598738,0.28657855862745585,0.843548223933084,0.38132522985254874,0.2865865621648346,0.1383692677417951,0.09422357462156036
26,ElasticNet,PCA_SNPS,1.0,231,0.025360180241093787,0.9515213002408017,0.11599076195615464,0.9395628763233874,0.18204936348472034,0.27420182948106986,0.06941581548480905,0.035852937573534825
