,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.7232825817521349,0.5235651351609348,0.9906776352230916,0.09659348950289318,437.8938903808594,Ridge,SNPs,-,22520,0.6560919287113514,0.5799100660282525,0.9886450361884687,0.10502198777700524,0.08590717059423397,0.0990896146808091,0.008033834770057032,0.038460302380318064,
1,0.5627568034348258,0.6011625498787881,0.9905133953177796,0.09832992107642008,437.8938903808594,Ridge,SNPs,-,22520,0.6560919287113514,0.5799100660282525,0.9886450361884687,0.10502198777700524,0.08590717059423397,0.0990896146808091,0.008033834770057032,0.038460302380318064,
2,0.6734626187073707,0.5569260076722757,0.9831428839745842,0.13018154381992086,656.8408355712891,Ridge,SNPs,-,22520,0.6560919287113514,0.5799100660282525,0.9886450361884687,0.10502198777700524,0.08590717059423397,0.0990896146808091,0.008033834770057032,0.038460302380318064,
3,0.6816763028243691,0.5623122608307487,0.9832158003088896,0.1295842170052882,656.8408355712891,Ridge,SNPs,-,22520,0.6560919287113514,0.5799100660282525,0.9886450361884687,0.10502198777700524,0.08590717059423397,0.0990896146808091,0.008033834770057032,0.038460302380318064,
4,0.6600148053243464,0.5777532949735434,0.9949428468504509,0.07115334673023795,291.92926025390625,Ridge,SNPs,-,22520,0.6560919287113514,0.5799100660282525,0.9886450361884687,0.10502198777700524,0.08590717059423397,0.0990896146808091,0.008033834770057032,0.038460302380318064,
5,0.6834764672971294,0.49195708807529753,0.982857700102705,0.1326288482749687,656.8408355712891,Ridge,SNPs,-,22520,0.6560919287113514,0.5799100660282525,0.9886450361884687,0.10502198777700524,0.08590717059423397,0.0990896146808091,0.008033834770057032,0.038460302380318064,
6,0.6740685748571714,0.632708561174773,0.9901273656643659,0.0979874712227918,437.8938903808594,Ridge,SNPs,-,22520,0.6560919287113514,0.5799100660282525,0.9886450361884687,0.10502198777700524,0.08590717059423397,0.0990896146808091,0.008033834770057032,0.038460302380318064,
7,0.6473068257070356,0.6268508513998766,0.9904175706829282,0.09719543398349074,437.8938903808594,Ridge,SNPs,-,22520,0.6560919287113514,0.5799100660282525,0.9886450361884687,0.10502198777700524,0.08590717059423397,0.0990896146808091,0.008033834770057032,0.038460302380318064,
8,0.639676571629404,0.6555135131398107,0.9903507576030255,0.09716630394661675,437.8938903808594,Ridge,SNPs,-,22520,0.6560919287113514,0.5799100660282525,0.9886450361884687,0.10502198777700524,0.08590717059423397,0.0990896146808091,0.008033834770057032,0.038460302380318064,
9,0.6151977355797258,0.5703513979764763,0.9902044061568664,0.0993993022074241,437.8938903808594,Ridge,SNPs,-,22520,0.6560919287113514,0.5799100660282525,0.9886450361884687,0.10502198777700524,0.08590717059423397,0.0990896146808091,0.008033834770057032,0.038460302380318064,
