,r2s,RMSEs,r2s_train,RMSEs_train,lambda_pen,Model_Name,feature_represenation,variance_maintained,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train,alpha
0,0.19818639740523114,0.9163915648730168,0.8500767110262191,0.3851819292624401,4987.885095119476,Ridge,SNPs,-,46638,0.26382687915514874,0.8224461506885401,0.8829093621454329,0.33581794843462537,0.40025805139297826,0.3036311493946062,0.07971374644984104,0.14036579165679264,
1,-0.15793092929343122,1.1814210428366385,0.9732850573254563,0.1601205150428419,1477.8918800354004,Ridge,SNPs,-,46638,0.26382687915514874,0.8224461506885401,0.8829093621454329,0.33581794843462537,0.40025805139297826,0.3036311493946062,0.07971374644984104,0.14036579165679264,
2,0.4524285585694511,0.6735889835599733,0.9003482752479431,0.31870659258497736,3325.256730079651,Ridge,SNPs,-,46638,0.26382687915514874,0.8224461506885401,0.8829093621454329,0.33581794843462537,0.40025805139297826,0.3036311493946062,0.07971374644984104,0.14036579165679264,
3,0.02545664493679234,0.9046701289417642,0.8570278185393908,0.380763910576067,4987.885095119476,Ridge,SNPs,-,46638,0.26382687915514874,0.8224461506885401,0.8829093621454329,0.33581794843462537,0.40025805139297826,0.3036311493946062,0.07971374644984104,0.14036579165679264,
4,0.339759777412182,0.7714531587225417,0.8471582753964391,0.39032413363720436,4987.885095119476,Ridge,SNPs,-,46638,0.26382687915514874,0.8224461506885401,0.8829093621454329,0.33581794843462537,0.40025805139297826,0.3036311493946062,0.07971374644984104,0.14036579165679264,
5,0.18838882330662265,0.7872156908586915,0.9026570263803798,0.31333006853548234,3325.256730079651,Ridge,SNPs,-,46638,0.26382687915514874,0.8224461506885401,0.8829093621454329,0.33581794843462537,0.40025805139297826,0.3036311493946062,0.07971374644984104,0.14036579165679264,
6,0.4597778555662435,0.7117571117956542,0.8988252395036216,0.31799955847638683,3325.256730079651,Ridge,SNPs,-,46638,0.26382687915514874,0.8224461506885401,0.8829093621454329,0.33581794843462537,0.40025805139297826,0.3036311493946062,0.07971374644984104,0.14036579165679264,
7,0.436030887889171,0.7806131869454264,0.9024285549237432,0.3100135743417887,3325.256730079651,Ridge,SNPs,-,46638,0.26382687915514874,0.8224461506885401,0.8829093621454329,0.33581794843462537,0.40025805139297826,0.3036311493946062,0.07971374644984104,0.14036579165679264,
8,0.40742183697468815,0.850284763621961,0.8457991479065093,0.3878742462654264,4987.885095119476,Ridge,SNPs,-,46638,0.26382687915514874,0.8224461506885401,0.8829093621454329,0.33581794843462537,0.40025805139297826,0.3036311493946062,0.07971374644984104,0.14036579165679264,
9,0.2887489387845369,0.6470658747297338,0.8514875152046263,0.39386495562363893,4987.885095119476,Ridge,SNPs,-,46638,0.26382687915514874,0.8224461506885401,0.8829093621454329,0.33581794843462537,0.40025805139297826,0.3036311493946062,0.07971374644984104,0.14036579165679264,
0,-0.010044041721196884,1.0285242333045355,0.9313943915279768,0.26056205082246303,0.017341529915832612,Lasso,SNPs,-,46638,0.1279824820009617,0.8936333514698418,0.7256521246797799,0.509098827531756,0.3935053388261551,0.25814303622544443,0.2470397272114228,0.25385406819672557,
1,-0.14208315470833788,1.1733085562469199,0.7690069189811133,0.4708356524111965,0.03901844231062338,Lasso,SNPs,-,46638,0.1279824820009617,0.8936333514698418,0.7256521246797799,0.509098827531756,0.3935053388261551,0.25814303622544443,0.2470397272114228,0.25385406819672557,
2,0.32172098151024775,0.7496849156617835,0.5665958700707612,0.664653291723519,0.05852766346593507,Lasso,SNPs,-,46638,0.1279824820009617,0.8936333514698418,0.7256521246797799,0.509098827531756,0.3935053388261551,0.25814303622544443,0.2470397272114228,0.25385406819672557,
3,-0.09043395494302642,0.9569502311109994,0.7565821618742895,0.4968281642362919,0.03901844231062338,Lasso,SNPs,-,46638,0.1279824820009617,0.8936333514698418,0.7256521246797799,0.509098827531756,0.3935053388261551,0.25814303622544443,0.2470397272114228,0.25385406819672557,
4,0.22873522431169357,0.833796986087727,0.5679504568606326,0.6562528686323673,0.05852766346593507,Lasso,SNPs,-,46638,0.1279824820009617,0.8936333514698418,0.7256521246797799,0.509098827531756,0.3935053388261551,0.25814303622544443,0.2470397272114228,0.25385406819672557,
