,r2s,RMSEs,r2s_train,RMSEs_train,max_features,n_estimators,n_jobs,Model_Name,feature_represenation,variance_maintained,tree_num,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.1556192081822354,1.024867379134146,0.7745092492665735,0.46830269353136533,0.7,3,-1,Random_Forest,SNPs,-,3,314263,0.1541108462066052,0.9059965140053676,0.7572264752734497,0.4914135799511786,0.31929225691591023,0.294124103350205,0.07868226910605614,0.08377177261787731
1,0.1880758165281099,0.8272780447610633,0.7391855463816084,0.5151615935020394,0.5,3,-1,Random_Forest,SNPs,-,3,314263,0.1541108462066052,0.9059965140053676,0.7572264752734497,0.4914135799511786,0.31929225691591023,0.294124103350205,0.07868226910605614,0.08377177261787731
2,0.111414088807124,1.0671508114340922,0.7989618807218555,0.4406855778350764,0.7,3,-1,Random_Forest,SNPs,-,3,314263,0.1541108462066052,0.9059965140053676,0.7572264752734497,0.4914135799511786,0.31929225691591023,0.294124103350205,0.07868226910605614,0.08377177261787731
3,-0.17845029608643248,0.9174538651305355,0.7765318847027075,0.48022320810634983,0.1,3,-1,Random_Forest,SNPs,-,3,314263,0.1541108462066052,0.9059965140053676,0.7572264752734497,0.4914135799511786,0.31929225691591023,0.294124103350205,0.07868226910605614,0.08377177261787731
4,0.15814269494454003,1.0735026079749281,0.7750247478397594,0.46386432361183094,0.7,3,-1,Random_Forest,SNPs,-,3,314263,0.1541108462066052,0.9059965140053676,0.7572264752734497,0.4914135799511786,0.31929225691591023,0.294124103350205,0.07868226910605614,0.08377177261787731
5,0.2991338259290257,0.7930688763837688,0.7934496133772664,0.456830550495959,0.5,3,-1,Random_Forest,SNPs,-,3,314263,0.1541108462066052,0.9059965140053676,0.7572264752734497,0.4914135799511786,0.31929225691591023,0.294124103350205,0.07868226910605614,0.08377177261787731
6,0.1075939664884592,0.8051394734819223,0.7778836876081969,0.4775324263039648,0.1,3,-1,Random_Forest,SNPs,-,3,314263,0.1541108462066052,0.9059965140053676,0.7572264752734497,0.4914135799511786,0.31929225691591023,0.294124103350205,0.07868226910605614,0.08377177261787731
7,0.43389119640645124,0.6284556687240983,0.6944180649164716,0.5617687070931974,0.7,3,-1,Random_Forest,SNPs,-,3,314263,0.1541108462066052,0.9059965140053676,0.7572264752734497,0.4914135799511786,0.31929225691591023,0.294124103350205,0.07868226910605614,0.08377177261787731
8,0.025907368868651526,1.0665562987030373,0.7609095376588497,0.48422415852554673,0.7,3,-1,Random_Forest,SNPs,-,3,314263,0.1541108462066052,0.9059965140053676,0.7572264752734497,0.4914135799511786,0.31929225691591023,0.294124103350205,0.07868226910605614,0.08377177261787731
9,0.23978059199788737,0.8564921143260845,0.6813905402612079,0.5655425605064563,0.1,3,-1,Random_Forest,SNPs,-,3,314263,0.1541108462066052,0.9059965140053676,0.7572264752734497,0.4914135799511786,0.31929225691591023,0.294124103350205,0.07868226910605614,0.08377177261787731
