,r2s,RMSEs,r2s_train,RMSEs_train,max_features,n_estimators,n_jobs,Model_Name,feature_represenation,variance_maintained,tree_num,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.17671566514783466,0.6686430759237091,0.761268194866584,0.5008236265088216,0.5,3,-1,Random_Forest,SNPs,-,3,314263,0.11652695761989035,0.8471705756708439,0.8108382896937603,0.43316263595559246,0.8347037588184278,0.647429302785267,0.06420555355861833,0.07861201600582043
1,0.37754050243615933,0.4899798411361811,0.8216196948115413,0.43629225145511685,0.7,3,-1,Random_Forest,SNPs,-,3,314263,0.11652695761989035,0.8471705756708439,0.8108382896937603,0.43316263595559246,0.8347037588184278,0.647429302785267,0.06420555355861833,0.07861201600582043
2,0.5487829580826122,0.822957190028492,0.7547877517601246,0.48069176145903625,0.7,3,-1,Random_Forest,SNPs,-,3,314263,0.11652695761989035,0.8471705756708439,0.8108382896937603,0.43316263595559246,0.8347037588184278,0.647429302785267,0.06420555355861833,0.07861201600582043
3,-0.03412092490208796,0.49220817719797727,0.8186426700030262,0.44295605426826384,0.1,3,-1,Random_Forest,SNPs,-,3,314263,0.11652695761989035,0.8471705756708439,0.8108382896937603,0.43316263595559246,0.8347037588184278,0.647429302785267,0.06420555355861833,0.07861201600582043
4,-0.17410086686506565,1.1236003289496386,0.8671133507427349,0.3628958887838353,0.5,3,-1,Random_Forest,SNPs,-,3,314263,0.11652695761989035,0.8471705756708439,0.8108382896937603,0.43316263595559246,0.8347037588184278,0.647429302785267,0.06420555355861833,0.07861201600582043
5,-0.20203906259845228,0.7189103407314485,0.8280823733989983,0.42740437500860234,0.7,3,-1,Random_Forest,SNPs,-,3,314263,0.11652695761989035,0.8471705756708439,0.8108382896937603,0.43316263595559246,0.8347037588184278,0.647429302785267,0.06420555355861833,0.07861201600582043
6,0.09915451325635083,1.4316285357999947,0.8270958963657231,0.3839005298644461,0.5,3,-1,Random_Forest,SNPs,-,3,314263,0.11652695761989035,0.8471705756708439,0.8108382896937603,0.43316263595559246,0.8347037588184278,0.647429302785267,0.06420555355861833,0.07861201600582043
7,0.33769804567180683,0.9549635170575449,0.8101527032498115,0.4264469729164684,0.1,3,-1,Random_Forest,SNPs,-,3,314263,0.11652695761989035,0.8471705756708439,0.8108382896937603,0.43316263595559246,0.8347037588184278,0.647429302785267,0.06420555355861833,0.07861201600582043
8,0.7582034698864678,0.5328973900451288,0.8011325176634305,0.44163671593855774,0.5,3,-1,Random_Forest,SNPs,-,3,314263,0.11652695761989035,0.8471705756708439,0.8108382896937603,0.43316263595559246,0.8347037588184278,0.647429302785267,0.06420555355861833,0.07861201600582043
9,-0.7225647239167223,1.2359173598383235,0.8184877440756289,0.4285781833527762,0.7,3,-1,Random_Forest,SNPs,-,3,314263,0.11652695761989035,0.8471705756708439,0.8108382896937603,0.43316263595559246,0.8347037588184278,0.647429302785267,0.06420555355861833,0.07861201600582043
0,0.09811897048648643,0.6998324106676161,0.9096569325872014,0.3080896322027509,0.1,5,-1,Random_Forest,SNPs,-,5,314263,0.24560184334910806,0.7809999219166498,0.8575415667221382,0.3750983238548425,0.6199022726738664,0.512925049400636,0.058546670299125476,0.07779203773136638
1,-0.2719756729778038,0.7004256894791906,0.8679837105374909,0.3753339157389464,0.5,5,-1,Random_Forest,SNPs,-,5,314263,0.24560184334910806,0.7809999219166498,0.8575415667221382,0.3750983238548425,0.6199022726738664,0.512925049400636,0.058546670299125476,0.07779203773136638
2,0.5880279988850217,0.7863544475004807,0.8301169035379475,0.40010196415337984,0.1,5,-1,Random_Forest,SNPs,-,5,314263,0.24560184334910806,0.7809999219166498,0.8575415667221382,0.3750983238548425,0.6199022726738664,0.512925049400636,0.058546670299125476,0.07779203773136638
3,-0.10312105084511725,0.5083639525173483,0.8525527738009808,0.3994030608122902,0.5,5,-1,Random_Forest,SNPs,-,5,314263,0.24560184334910806,0.7809999219166498,0.8575415667221382,0.3750983238548425,0.6199022726738664,0.512925049400636,0.058546670299125476,0.07779203773136638
4,-0.04469882898537203,1.059875143991306,0.8577042771200291,0.37552365204326704,0.7,5,-1,Random_Forest,SNPs,-,5,314263,0.24560184334910806,0.7809999219166498,0.8575415667221382,0.3750983238548425,0.6199022726738664,0.512925049400636,0.058546670299125476,0.07779203773136638
5,0.4223444942065444,0.49836771287767423,0.866912281289446,0.37605186799500756,0.1,5,-1,Random_Forest,SNPs,-,5,314263,0.24560184334910806,0.7809999219166498,0.8575415667221382,0.3750983238548425,0.6199022726738664,0.512925049400636,0.058546670299125476,0.07779203773136638
