,r2s,RMSEs,r2s_train,RMSEs_train,variance_maintained,feature_represenation,trait,Model_Name,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.2565830901075251,0.8496056074809016,0.8660076060836198,0.3661012226240778,0.05,PCA_SNPs,study_1_FRI,rf,2,-0.04730529883736474,0.9382272780657056,0.8778716409907488,0.3490805795602813,0.7711766333228943,0.18518280132734463,0.012578087884496552,0.016829349844201653
1,0.32828403996706845,1.0540269625200276,0.8722569958818065,0.3419637883528241,0.05,PCA_SNPs,study_1_FRI,rf,2,-0.04730529883736474,0.9382272780657056,0.8778716409907488,0.3490805795602813,0.7711766333228943,0.18518280132734463,0.012578087884496552,0.016829349844201653
2,0.14483007905997802,0.8765087635296257,0.875829079482984,0.3542641154900876,0.05,PCA_SNPs,study_1_FRI,rf,2,-0.04730529883736474,0.9382272780657056,0.8778716409907488,0.3490805795602813,0.7711766333228943,0.18518280132734463,0.012578087884496552,0.016829349844201653
3,-0.8611767283028544,0.933380533577488,0.8803522689852634,0.35630206388528085,0.05,PCA_SNPs,study_1_FRI,rf,2,-0.04730529883736474,0.9382272780657056,0.8778716409907488,0.3490805795602813,0.7711766333228943,0.18518280132734463,0.012578087884496552,0.016829349844201653
4,0.12738163698178895,0.9192030605818426,0.8772635340107262,0.35023724989578353,0.05,PCA_SNPs,study_1_FRI,rf,2,-0.04730529883736474,0.9382272780657056,0.8778716409907488,0.3490805795602813,0.7711766333228943,0.18518280132734463,0.012578087884496552,0.016829349844201653
5,-0.26021942750584603,0.9923992949332345,0.8866028232230054,0.34063435032770595,0.05,PCA_SNPs,study_1_FRI,rf,2,-0.04730529883736474,0.9382272780657056,0.8778716409907488,0.3490805795602813,0.7711766333228943,0.18518280132734463,0.012578087884496552,0.016829349844201653
6,0.3220567410389509,1.1002544671506913,0.8760444161110061,0.3367845171032643,0.05,PCA_SNPs,study_1_FRI,rf,2,-0.04730529883736474,0.9382272780657056,0.8778716409907488,0.3490805795602813,0.7711766333228943,0.18518280132734463,0.012578087884496552,0.016829349844201653
7,-0.46115979096628457,0.898724862635437,0.884121176081371,0.34593845833753606,0.05,PCA_SNPs,study_1_FRI,rf,2,-0.04730529883736474,0.9382272780657056,0.8778716409907488,0.3490805795602813,0.7711766333228943,0.18518280132734463,0.012578087884496552,0.016829349844201653
8,0.16101145174932296,0.9716547179267663,0.8746906822940437,0.35156339102928474,0.05,PCA_SNPs,study_1_FRI,rf,2,-0.04730529883736474,0.9382272780657056,0.8778716409907488,0.3490805795602813,0.7711766333228943,0.18518280132734463,0.012578087884496552,0.016829349844201653
9,-0.23064408050329677,0.7865145103210415,0.885547827753662,0.3470166385569685,0.05,PCA_SNPs,study_1_FRI,rf,2,-0.04730529883736474,0.9382272780657056,0.8778716409907488,0.3490805795602813,0.7711766333228943,0.18518280132734463,0.012578087884496552,0.016829349844201653
