,r2s,RMSEs,r2s_train,RMSEs_train,variance_maintained,feature_represenation,trait,Model_Name,Dimentionality,r2_summary,RMSE_summary,r2_train,RMSE_train,standard_error_r2,standard_error_RMSE,standard_error_r2_train,standard_error_RMSE_train
0,0.15992790657887757,0.8398463728866894,0.8772209262703999,0.3531729510270488,0.05,PCA_SNPs,study_31_FruitNumber,rf,2,0.11847764790008919,0.9221991635185198,0.8795775006577348,0.34693853450810214,0.30987654924163405,0.2538750625625521,0.007447800547403038,0.014949479383693093
1,0.42687112054689935,0.7441262501983942,0.8747696715297371,0.35454327358378557,0.05,PCA_SNPs,study_31_FruitNumber,rf,2,0.11847764790008919,0.9221991635185198,0.8795775006577348,0.34693853450810214,0.30987654924163405,0.2538750625625521,0.007447800547403038,0.014949479383693093
2,0.21184227542853673,0.8277594087139363,0.877038209024706,0.3519084131037251,0.05,PCA_SNPs,study_31_FruitNumber,rf,2,0.11847764790008919,0.9221991635185198,0.8795775006577348,0.34693853450810214,0.30987654924163405,0.2538750625625521,0.007447800547403038,0.014949479383693093
3,0.12858675723325963,0.9132437804790754,0.8787420656474536,0.3489829002703669,0.05,PCA_SNPs,study_31_FruitNumber,rf,2,0.11847764790008919,0.9221991635185198,0.8795775006577348,0.34693853450810214,0.30987654924163405,0.2538750625625521,0.007447800547403038,0.014949479383693093
4,0.19761799348455233,0.8017283254875784,0.8769006205300764,0.354434144083859,0.05,PCA_SNPs,study_31_FruitNumber,rf,2,0.11847764790008919,0.9221991635185198,0.8795775006577348,0.34693853450810214,0.30987654924163405,0.2538750625625521,0.007447800547403038,0.014949479383693093
5,0.09835602619056594,1.041002119354335,0.8830056362858006,0.3380978202552175,0.05,PCA_SNPs,study_31_FruitNumber,rf,2,0.11847764790008919,0.9221991635185198,0.8795775006577348,0.34693853450810214,0.30987654924163405,0.2538750625625521,0.007447800547403038,0.014949479383693093
6,-0.005544386006377966,1.102730060285396,0.8815141191749786,0.3397816683542143,0.05,PCA_SNPs,study_31_FruitNumber,rf,2,0.11847764790008919,0.9221991635185198,0.8795775006577348,0.34693853450810214,0.30987654924163405,0.2538750625625521,0.007447800547403038,0.014949479383693093
7,0.1548740089919688,0.8836182831047286,0.8798695425890184,0.3478377975569042,0.05,PCA_SNPs,study_31_FruitNumber,rf,2,0.11847764790008919,0.9221991635185198,0.8795775006577348,0.34693853450810214,0.30987654924163405,0.2538750625625521,0.007447800547403038,0.014949479383693093
8,-0.04024117237993985,0.9450452346508295,0.8787303388264833,0.3481820508783772,0.05,PCA_SNPs,study_31_FruitNumber,rf,2,0.11847764790008919,0.9221991635185198,0.8795775006577348,0.34693853450810214,0.30987654924163405,0.2538750625625521,0.007447800547403038,0.014949479383693093
9,-0.14751405106745064,1.122891800024236,0.8879838766986942,0.33244432596752277,0.05,PCA_SNPs,study_31_FruitNumber,rf,2,0.11847764790008919,0.9221991635185198,0.8795775006577348,0.34693853450810214,0.30987654924163405,0.2538750625625521,0.007447800547403038,0.014949479383693093
0,0.298982932928201,0.7671951835622166,0.8955591928836477,0.3257319562965015,0.1,PCA_SNPs,study_31_FruitNumber,rf,5,0.22468335872697684,0.8648714186664639,0.8975705526462381,0.31996602438385574,0.31298377050399906,0.2606361374131167,0.007044300071841625,0.014832560044897311
1,0.38541453710626916,0.7705691547592798,0.8933613018639578,0.32716882006909964,0.1,PCA_SNPs,study_31_FruitNumber,rf,5,0.22468335872697684,0.8648714186664639,0.8975705526462381,0.31996602438385574,0.31298377050399906,0.2606361374131167,0.007044300071841625,0.014832560044897311
2,0.38079921297391095,0.7336911956193761,0.8942834757252607,0.3262991914376556,0.1,PCA_SNPs,study_31_FruitNumber,rf,5,0.22468335872697684,0.8648714186664639,0.8975705526462381,0.31996602438385574,0.31298377050399906,0.2606361374131167,0.007044300071841625,0.014832560044897311
3,0.31659704741326766,0.8087477227523805,0.8964230188586104,0.32253785187887085,0.1,PCA_SNPs,study_31_FruitNumber,rf,5,0.22468335872697684,0.8648714186664639,0.8975705526462381,0.31996602438385574,0.31298377050399906,0.2606361374131167,0.007044300071841625,0.014832560044897311
4,0.2596763136132595,0.7701005960962721,0.8983394650178795,0.3220948761323851,0.1,PCA_SNPs,study_31_FruitNumber,rf,5,0.22468335872697684,0.8648714186664639,0.8975705526462381,0.31996602438385574,0.31298377050399906,0.2606361374131167,0.007044300071841625,0.014832560044897311
5,0.03445950490075489,1.0772569830125334,0.9045234072297939,0.3054276544647526,0.1,PCA_SNPs,study_31_FruitNumber,rf,5,0.22468335872697684,0.8648714186664639,0.8975705526462381,0.31996602438385574,0.31298377050399906,0.2606361374131167,0.007044300071841625,0.014832560044897311
6,0.07758659750984809,1.0561640797197993,0.9002093856208279,0.3118254027440956,0.1,PCA_SNPs,study_31_FruitNumber,rf,5,0.22468335872697684,0.8648714186664639,0.8975705526462381,0.31996602438385574,0.31298377050399906,0.2606361374131167,0.007044300071841625,0.014832560044897311
7,0.38798411116720544,0.7519436789158485,0.8934852308115038,0.3275330448016562,0.1,PCA_SNPs,study_31_FruitNumber,rf,5,0.22468335872697684,0.8648714186664639,0.8975705526462381,0.31996602438385574,0.31298377050399906,0.2606361374131167,0.007044300071841625,0.014832560044897311
8,-0.04839392268636322,0.948741339326841,0.8994524820739781,0.31704139781455204,0.1,PCA_SNPs,study_31_FruitNumber,rf,5,0.22468335872697684,0.8648714186664639,0.8975705526462381,0.31996602438385574,0.31298377050399906,0.2606361374131167,0.007044300071841625,0.014832560044897311
9,0.1537272523434149,0.9643042529000914,0.9000685663769212,0.3140000481989882,0.1,PCA_SNPs,study_31_FruitNumber,rf,5,0.22468335872697684,0.8648714186664639,0.8975705526462381,0.31996602438385574,0.31298377050399906,0.2606361374131167,0.007044300071841625,0.014832560044897311
0,0.28492410918715594,0.7748500043843854,0.9018230200929604,0.31581306465041137,0.2,PCA_SNPs,study_31_FruitNumber,rf,17,0.28269480711126016,0.8330662253174137,0.9036265008123385,0.3103650545469294,0.22555065084624554,0.2247600850671628,0.007007601954078019,0.015435568805253904
1,0.43252857995064364,0.740444438932814,0.9001720740240153,0.3165486856595001,0.2,PCA_SNPs,study_31_FruitNumber,rf,17,0.28269480711126016,0.8330662253174137,0.9036265008123385,0.3103650545469294,0.22555065084624554,0.2247600850671628,0.007007601954078019,0.015435568805253904
2,0.3359719939913205,0.7597850711559169,0.9036295923581746,0.3115418593978791,0.2,PCA_SNPs,study_31_FruitNumber,rf,17,0.28269480711126016,0.8330662253174137,0.9036265008123385,0.3103650545469294,0.22555065084624554,0.2247600850671628,0.007007601954078019,0.015435568805253904
3,0.4095977531336621,0.7517070895300453,0.8988875391780105,0.31867750243472814,0.2,PCA_SNPs,study_31_FruitNumber,rf,17,0.28269480711126016,0.8330662253174137,0.9036265008123385,0.3103650545469294,0.22555065084624554,0.2247600850671628,0.007007601954078019,0.015435568805253904
4,0.41503201484477015,0.684546077518674,0.8996920792074866,0.31994493175361177,0.2,PCA_SNPs,study_31_FruitNumber,rf,17,0.28269480711126016,0.8330662253174137,0.9036265008123385,0.3103650545469294,0.22555065084624554,0.2247600850671628,0.007007601954078019,0.015435568805253904
5,0.18524627974822772,0.9895716563088025,0.9098625339214225,0.29676492749124483,0.2,PCA_SNPs,study_31_FruitNumber,rf,17,0.28269480711126016,0.8330662253174137,0.9036265008123385,0.3103650545469294,0.22555065084624554,0.2247600850671628,0.007007601954078019,0.015435568805253904
6,0.17914141266647898,0.9963289821242103,0.9069781017332232,0.3010642877828527,0.2,PCA_SNPs,study_31_FruitNumber,rf,17,0.28269480711126016,0.8330662253174137,0.9036265008123385,0.3103650545469294,0.22555065084624554,0.2247600850671628,0.007007601954078019,0.015435568805253904
7,0.300819509070123,0.8037085993863966,0.9033134665341793,0.31205647759695665,0.2,PCA_SNPs,study_31_FruitNumber,rf,17,0.28269480711126016,0.8330662253174137,0.9036265008123385,0.3103650545469294,0.22555065084624554,0.2247600850671628,0.007007601954078019,0.015435568805253904
8,0.14667568776320827,0.8559386486147961,0.9052918553380696,0.3076974955515237,0.2,PCA_SNPs,study_31_FruitNumber,rf,17,0.28269480711126016,0.8330662253174137,0.9036265008123385,0.3103650545469294,0.22555065084624554,0.2247600850671628,0.007007601954078019,0.015435568805253904
9,0.1370107307570111,0.9737816852180956,0.9066147457358438,0.30354131315058563,0.2,PCA_SNPs,study_31_FruitNumber,rf,17,0.28269480711126016,0.8330662253174137,0.9036265008123385,0.3103650545469294,0.22555065084624554,0.2247600850671628,0.007007601954078019,0.015435568805253904
0,0.251959371197058,0.792508931249129,0.9035342929704328,0.31304857684875265,0.3,PCA_SNPs,study_31_FruitNumber,rf,40,0.2889588993964318,0.8286718588326003,0.903948717660179,0.30984933540528076,0.2664784471202899,0.24412120490747305,0.006574501089693116,0.014743224189598728
1,0.3877834308208318,0.769082657832354,0.9026296879362717,0.3126279273949116,0.3,PCA_SNPs,study_31_FruitNumber,rf,40,0.2889588993964318,0.8286718588326003,0.903948717660179,0.30984933540528076,0.2664784471202899,0.24412120490747305,0.006574501089693116,0.014743224189598728
2,0.32805366809942593,0.7643017455218282,0.9027757840964663,0.3129188923232199,0.3,PCA_SNPs,study_31_FruitNumber,rf,40,0.2889588993964318,0.8286718588326003,0.903948717660179,0.30984933540528076,0.2664784471202899,0.24412120490747305,0.006574501089693116,0.014743224189598728
3,0.4702071496796765,0.7120782028478162,0.8992010090206529,0.318183135417782,0.3,PCA_SNPs,study_31_FruitNumber,rf,40,0.2889588993964318,0.8286718588326003,0.903948717660179,0.30984933540528076,0.2664784471202899,0.24412120490747305,0.006574501089693116,0.014743224189598728
4,0.4856555954502032,0.6418944889251622,0.899160731395196,0.3207912133842841,0.3,PCA_SNPs,study_31_FruitNumber,rf,40,0.2889588993964318,0.8286718588326003,0.903948717660179,0.30984933540528076,0.2664784471202899,0.24412120490747305,0.006574501089693116,0.014743224189598728
5,0.18798099092720555,0.9879095176474605,0.9088851609507741,0.2983695210214086,0.3,PCA_SNPs,study_31_FruitNumber,rf,40,0.2889588993964318,0.8286718588326003,0.903948717660179,0.30984933540528076,0.2664784471202899,0.24412120490747305,0.006574501089693116,0.014743224189598728
6,0.14854191209435375,1.0147293645262756,0.9069350542077627,0.301133941132259,0.3,PCA_SNPs,study_31_FruitNumber,rf,40,0.2889588993964318,0.8286718588326003,0.903948717660179,0.30984933540528076,0.2664784471202899,0.24412120490747305,0.006574501089693116,0.014743224189598728
7,0.35573313123358563,0.7715016575725389,0.9037950242233117,0.3112783921117359,0.3,PCA_SNPs,study_31_FruitNumber,rf,40,0.2889588993964318,0.8286718588326003,0.903948717660179,0.30984933540528076,0.2664784471202899,0.24412120490747305,0.006574501089693116,0.014743224189598728
