accession_id,phenotype_value
159,0.0
403,0.5
991,0.5
992,0.5
1002,0.5
1006,2.0
1061,2.0
1062,0.0
1063,1.0
1070,1.0
1257,1.0
1317,0.0
1829,1.0
1872,0.0
1925,0.5
2016,0.5
2057,0.0
2171,0.5
5717,0.5
5720,2.0
5784,2.0
5831,0.5
5832,0.5
5836,1.0
5837,2.0
5856,1.0
5865,0.0
5867,1.0
5893,0.5
5984,0.0
6008,1.0
6009,1.0
6010,1.0
6011,0.0
6016,0.0
6017,1.5
6019,0.0
6021,1.5
6022,2.0
6023,1.0
6024,2.0
6025,2.0
6030,1.0
6034,2.5
6035,2.5
6038,1.0
6040,2.0
6041,2.0
6046,1.5
6064,1.0
6069,1.0
6073,0.0
6076,1.0
6077,1.0
6085,0.0
6086,2.0
6087,2.0
6090,1.0
6091,1.5
6092,0.0
6095,0.0
6097,2.0
6098,2.0
6099,1.0
6104,1.0
6106,2.0
6107,3.0
6109,1.0
6111,1.0
6112,1.0
6114,0.0
6115,0.0
6118,1.0
6119,1.0
6122,1.0
6123,0.0
6124,0.0
6125,0.0
6128,0.0
6131,0.0
6132,2.0
6133,1.0
6134,2.0
6136,1.0
6137,0.0
6138,0.0
6140,0.0
6141,0.0
6142,2.0
6145,1.0
6149,0.0
6150,0.0
6151,0.0
6154,0.0
6163,0.0
6169,1.0
6172,0.0
6177,0.0
6180,0.0
6184,0.0
6188,0.0
6189,1.0
6191,0.0
6194,0.0
6195,0.0
6201,0.0
6202,0.0
6203,1.0
6209,0.0
6210,1.0
6214,0.0
6216,0.0
6217,0.0
6218,0.0
6220,0.0
6221,0.0
6231,0.0
6235,1.0
6237,0.0
6240,0.0
6241,1.0
6242,0.0
6243,0.0
6244,0.0
6255,0.0
6258,0.0
6268,0.0
6276,0.0
6284,0.0
6396,0.0
6897,0.0
6898,1.0
6900,0.0
6903,0.0
6904,0.0
6907,0.0
6909,0.0
6911,1.0
6913,0.0
6917,0.0
6919,1.0
6920,0.0
6922,2.0
6923,0.0
6924,2.0
6926,0.0
6929,0.0
6931,1.0
6932,0.0
6933,0.0
6938,0.0
6940,1.0
6943,0.0
6944,2.0
6945,0.5
6951,2.0
6956,1.5
6957,1.0
6958,0.0
6959,0.0
6960,0.0
6963,0.0
6966,0.0
6967,0.0
6968,0.0
6969,0.0
6971,0.0
6973,0.0
6974,1.0
6975,1.0
6976,0.0
6979,0.0
6981,1.0
6982,1.0
6984,0.0
6987,0.0
6989,0.0
6990,3.0
6992,2.0
7000,1.5
7002,1.5
7013,0.0
7028,1.0
7062,1.0
7071,1.0
7081,0.0
7092,0.0
7094,0.0
7102,0.0
7109,0.0
7126,0.0
7143,0.0
7147,1.0
7163,1.0
7164,1.5
7169,3.0
7181,1.5
7186,0.0
7192,2.0
7231,1.0
7244,1.5
7255,1.0
7258,1.0
7268,1.0
7276,1.5
7282,1.0
7287,3.0
7296,1.0
7316,0.5
7320,0.5
7323,1.5
7337,0.5
7343,1.0
7353,1.0
7372,1.0
7378,0.5
7382,1.0
7384,0.5
7413,0.0
7424,0.5
7460,0.5
7461,0.5
7477,0.0
7514,1.0
7515,1.0
7516,1.0
7517,0.0
7520,0.5
7521,0.0
7523,0.0
7525,0.5
8222,0.5
8227,1.0
8230,2.0
8231,1.0
8233,0.0
8235,0.0
8236,1.0
8240,0.0
8241,1.0
8243,0.0
8247,1.0
8249,1.0
8256,1.0
8259,1.0
8283,1.0
8284,0.5
8285,1.0
8290,1.0
8297,2.0
8306,1.0
8307,0.0
8311,0.0
8312,0.0
8334,0.0
8335,0.0
8343,0.0
8351,0.0
8354,0.0
8365,0.0
8366,0.0
8369,0.0
8386,0.0
8420,0.0
8424,0.0
9057,0.0
9058,0.0
9104,0.0
9323,0.0
9332,2.0
9336,0.0
9339,0.0
9343,1.0
9352,0.0
9363,0.0
9369,0.0
9371,1.0
9380,0.0
9381,0.0
9382,0.0
9383,0.0
9386,0.0
9388,1.0
9390,0.0
9391,0.0
9392,0.0
9399,0.0
9402,0.0
9404,0.0
9405,0.0
9407,0.0
9408,0.0
9409,0.0
9412,0.0
9413,1.0
9416,0.0
9421,0.0
9427,0.0
9433,0.0
9436,0.0
9450,0.0
9451,0.0
9452,2.0
9453,3.0
9455,0.0
9471,0.0
9476,0.0
