accession_id,phenotype_value
5837,3.528
6008,4.4510000000000005
6009,5.091
6016,4.577
6040,5.176
6042,4.391
6043,4.589
6046,4.757
6064,4.323
6074,4.76
6243,5.5
6709,3.221
6897,2.638
6898,5.619
6899,5.34
6900,6.167999999999999
6901,2.262
6903,5.464
6904,4.718999999999999
6905,4.566
6906,3.557
6907,4.495
6908,4.107
6909,5.779
6910,2.696
6911,3.664
6913,4.824
6914,3.794
6915,4.401
6916,4.021
6917,5.136
6918,4.875
6919,3.439
6920,3.637
6921,4.775
6922,4.482
6923,4.638
6924,4.024
6926,3.941
6927,5.291
6928,4.821000000000001
6929,4.34
6930,3.854
6931,4.854
6932,3.091
6933,3.097
6936,3.05
6937,4.588
6939,4.552
6940,5.912999999999999
6942,4.23
6943,4.452
6944,3.492
6945,4.935
6946,4.847
6951,3.445
6956,4.977
6957,1.409
6958,3.4410000000000003
6959,4.295
6960,4.553999999999999
6961,5.287999999999999
6962,4.74
6963,5.061
6964,4.837
6965,4.316
6966,3.975
6967,5.4510000000000005
6968,4.025
6969,3.193
6970,3.4130000000000003
6971,4.511
6972,4.592
6973,4.848
6974,3.8
6975,4.037
6976,3.73
6978,5.26
6979,4.91
6980,5.185
6981,2.709
6982,5.078
6983,4.895
6984,4.57
6985,3.138
6988,4.428999999999999
7033,3.354
7081,4.2
7296,3.809
7323,5.407
7438,5.676
7461,3.284
7514,3.913
7515,5.476
7516,3.155
7517,4.763999999999999
7518,3.292
7519,5.577999999999999
7520,4.939
7521,4.428999999999999
7522,4.165
7523,4.324
7524,5.075
7525,4.065
7526,4.383
8213,4.922
8214,3.815
8215,5.237
8222,5.428
8230,3.597
8231,4.093
8233,4.988
8235,5.055
8236,3.688
8237,3.998
8239,3.212
8240,4.088
8241,3.977
8242,5.007
8243,4.851
8245,4.44
8247,5.032
8249,5.593999999999999
8254,4.604
8256,5.966
8258,5.553999999999999
8259,5.733
8264,4.003
8265,3.963
8270,4.664
8271,5.066
8274,4.34
8275,3.4160000000000004
8283,4.631
8285,5.118
8290,3.553
8296,4.377
8297,4.3
8300,4.415
8306,4.917
8310,3.972
8311,3.141
8312,4.643
8313,4.298
8314,4.279
8323,4.638999999999999
8325,3.859
8326,4.258
8329,4.655
8334,4.231
8335,3.656
8337,3.813
8343,4.252
8351,5.197
8353,5.053999999999999
8354,5.202000000000001
8357,3.753
8365,3.643
8369,5.102
8374,4.715
8376,3.816
8378,3.611
8387,5.447
8388,3.668
8389,5.8
8395,4.0680000000000005
8412,6.045
8420,4.965
8422,4.853
8423,5.227
8424,2.173
8426,4.831
8430,5.445
9057,3.826
9058,4.513
