accession_id,phenotype_value
5837,1.0
6009,1.0
6043,1.0
6046,1.0
6897,1.0
6898,1.0
6899,1.0
6900,1.0
6901,1.0
6903,1.0
6904,1.0
6905,0.0
6906,1.0
6907,0.0
6908,1.0
6909,1.0
6910,1.0
6911,0.0
6916,1.0
6917,1.0
6918,1.0
6920,0.0
6921,0.0
6922,0.0
6923,1.0
6924,1.0
6926,1.0
6927,0.0
6928,0.0
6929,1.0
6930,0.0
6931,1.0
6932,1.0
6933,0.0
6936,1.0
6939,1.0
6940,1.0
6942,1.0
6943,0.0
6944,0.0
6946,0.0
6951,1.0
6958,0.0
6959,1.0
6960,1.0
6961,0.0
6962,1.0
6963,1.0
6964,1.0
6965,1.0
6966,1.0
6967,0.0
6969,0.0
6970,0.0
6971,1.0
6972,0.0
6973,0.0
6974,0.0
6975,1.0
6976,1.0
6977,1.0
6978,1.0
6979,0.0
6980,0.0
6981,0.0
6982,1.0
6983,0.0
6984,1.0
6985,1.0
7438,1.0
7514,1.0
7515,1.0
7516,1.0
7517,1.0
7518,1.0
7519,1.0
7520,0.0
7521,0.0
7522,1.0
7523,0.0
7525,0.0
7526,0.0
8213,0.0
8214,0.0
8424,1.0
