accession_id,phenotype_value
5837,13203.2
6009,13658.8
6043,11362.6
6046,11143.0
6898,13256.8
6899,14316.5
6900,11156.5
6901,10988.5
6903,14715.9
6904,12765.5
6905,15083.1
6906,12545.7
6907,13067.5
6908,14003.1
6909,15464.6
6910,13838.8
6911,11183.9
6913,12236.8
6914,13344.7
6915,13640.8
6916,13502.1
6917,13020.6
6918,13886.3
6919,14293.7
6920,13114.9
6921,12323.3
6922,12811.1
6923,15605.4
6924,14656.5
6926,16303.8
6927,14760.7
6928,14468.9
6929,12689.5
6930,13055.5
6931,12118.4
6932,12687.5
6933,12748.8
6936,12782.9
6937,14225.8
6939,13146.4
6940,12730.1
6942,13671.3
6943,14717.5
6944,14380.9
6945,12592.7
6946,13177.0
6951,11996.1
6956,13800.5
6958,12985.6
6959,13895.9
6960,13935.5
6961,12516.0
6962,13823.2
6963,13030.2
6964,12143.3
6965,13530.4
6966,13884.5
6967,13892.7
6968,12617.4
6969,11269.8
6970,13111.2
6971,13027.7
6972,15462.9
6973,14305.6
6974,15205.8
6975,12320.7
6976,13594.5
6977,13499.5
6978,10752.1
6979,13871.1
6980,14825.1
6981,14323.5
6982,14053.7
6983,14047.7
6984,12346.9
6985,13120.2
7438,14232.2
7514,15069.4
7515,14419.4
7516,12161.1
7517,11468.0
7518,11671.3
7519,15545.6
7520,14202.2
7521,14068.2
7522,14237.0
7523,15589.3
7524,14447.9
7526,14320.7
8213,13492.5
8214,11776.2
8215,14386.9
8424,13896.3
