accession_id,phenotype_value
1,8777.0
2,6392.0
15,9848.5
23,5989.5
66,5460.5
78,10793.0
81,4686.0
91,8532.5
94,12497.5
96,15845.5
104,10486.5
116,1718.0
126,11519.0
149,4114.0
166,9574.0
173,5185.5
178,6212.0
223,4660.0
242,7689.0
258,2874.0
259,8797.0
260,10982.0
267,11639.5
281,4821.0
282,13379.5
286,8240.0
321,10033.0
328,11446.5
333,10938.5
357,9312.5
362,12243.0
366,9173.5
373,10084.0
374,7843.5
378,5244.5
379,13430.0
380,9754.0
383,10920.5
386,4341.0
390,9171.5
392,6896.5
641,11148.0
957,10850.5
1716,14723.5
1859,14088.0
1867,13864.5
1925,9255.0
1967,13380.5
2057,12983.5
2150,9362.0
2187,7792.5
2274,10312.0
2290,7338.0
4802,7313.5
4997,10975.5
5056,12609.5
5116,2817.0
5122,9061.5
5158,13505.5
5160,10911.0
5202,8441.5
5207,4973.0
5232,10740.5
5245,13808.5
5264,9083.5
5341,9029.0
5380,5377.0
5381,6993.0
5565,12795.0
5606,6952.0
5628,8013.0
5729,4175.0
5742,8593.5
5753,7848.5
5785,6546.0
5805,9835.0
5832,16246.0
5837,8686.0
5887,15836.5
5889,7331.0
5896,9753.5
5987,14561.0
6005,16501.0
6008,8082.5
6009,5333.5
6016,5394.5
6019,11026.5
6020,12092.5
6039,15053.5
6040,10104.0
6042,9295.5
6046,10216.0
6064,11593.5
6074,5603.5
6076,9429.0
6085,11780.0
6094,14778.0
6096,19833.0
6098,7264.0
6100,6124.0
6102,12035.0
6109,8311.5
6112,9467.0
6119,6917.0
6124,1775.0
6169,19782.5
6188,7457.0
6190,12802.0
6194,9997.0
6202,10338.0
6203,6565.0
6242,10498.0
6243,17085.5
6318,10340.5
6413,8750.0
6448,13144.0
6449,15701.0
6709,3758.5
6729,11675.0
6730,7162.0
6744,6196.5
6810,12982.5
6830,11208.5
6847,13998.0
6897,12925.5
6898,6225.5
6899,13155.5
6900,7179.5
6903,10731.0
6904,19221.5
6905,16666.5
6906,5804.0
6907,12098.5
6909,10203.0
6910,5277.5
6911,4465.0
6913,4657.0
6914,12090.0
6915,19565.0
6916,12130.5
6917,8903.0
6918,4638.0
6919,10098.5
6921,8539.0
6922,12079.5
6923,10210.5
6924,5151.5
6926,7238.5
6928,12067.5
6929,15916.5
6930,15633.5
