accession_id,phenotype_value
1,8.0
2,20.5
15,-4.0
23,7.25679
66,-1.75
78,-9.13374
81,-4.5
91,13.5
94,9.30957
96,-13.0
104,-0.75
116,-1.5
126,-3.75
149,-3.68617
166,-12.5195
173,-2.25
178,-9.75
223,-1.66e-11
242,-6.88374
258,13.3244
259,-1.25
260,60.7695
267,29.0
281,-3.75
282,-0.25
286,2.69959
321,5.25
328,-12.2432
333,-8.0
357,-8.55041
362,11.5
373,9.75
374,-9.75
378,-2.02e-11
379,6.5
380,0.5
383,48.75
386,15.1735
390,14.5
392,4.5
641,-3.25
957,4.25
1716,52.75
1859,2.5
1867,39.25
1925,9.05957
1967,60.25
2057,-8.46708
2150,7.0
2187,33.0068
2274,-7.5
2290,-7.80041
4802,43.3096
4997,60.0
5056,8.25
5116,17.5
5122,25.1996
5158,23.5329
5160,36.75
5202,39.5
5207,-10.5
5232,-14.75
5245,-4.5
5264,-5.75
5341,-13.0
5380,-17.75
5381,-8.25
5565,-3.5
5606,20.5195
5628,60.25
5729,-10.2448
5742,9.75
5753,-11.25
5785,64.0
5805,72.75
5832,7.75
5837,2.5
5887,-5.25
5889,2.5
5896,-8.0
5987,-0.75
6005,-7.25
6008,-15.0
6009,47.7491
6016,13.5
6019,24.0
6020,64.5
6039,-8.0
6040,6.0
6042,-14.0
6046,77.5
6064,65.25
6074,70.0
6076,39.25
6085,71.0
6094,34.25
6096,55.5596
6098,30.5
6100,51.8663
6102,51.0
6109,65.0
6112,41.5
6119,38.75
6124,46.2701
6169,21.5
6188,-6.5
6190,-8.0
6194,-1.75
6202,26.0
6203,42.5
6242,51.25
6243,-3.25
6318,-7.25
6413,34.75
6448,1.5
6449,5.19959
6709,-1.5
6727,4.5
6729,-4.25
6730,-1.25
6744,-13.25
6810,3.44959
6830,-8.0
6847,5.28292
6897,4.25
6898,-3.25
6899,-13.25
6900,93.0
6903,-0.75
6904,6.5
6905,-4.55041
6906,-0.75
6907,-2.5
6909,-17.0
6910,-5.0
6911,1.25
6913,83.0676
6914,7.25
6915,1.25
6916,-17.0
6917,58.75
6918,53.012
6919,-4.25
6921,16.75
6922,-8.0
6923,-4.75
6924,-3.25
6926,-4.5
