accession_id,phenotype_value
1,12.925
2,12.525
15,11.5
23,9.55
66,8.1
78,5.9
81,10.5
91,9.525
94,11.35
96,14.0
104,12.575
116,10.825
126,3.95
149,7.95
166,7.35
173,9.775
178,6.05
223,10.675
242,7.8
258,11.6
259,10.85
260,13.675
267,15.45
281,9.05
282,10.675
286,12.275
321,13.35
328,8.8
333,9.2
357,8.625
362,11.175
373,13.275
374,10.7
378,8.325
379,11.4
380,11.85
383,13.4
386,16.1
390,13.65
392,15.85
641,12.025
957,13.725
1716,13.6
1859,10.0
1867,14.85
1925,16.0
1967,14.7
2057,14.525
2150,11.4
2187,14.775
2274,9.325
2290,14.45
4802,12.7
4997,14.575
5056,13.875
5116,12.75
5122,11.6
5158,12.8
5160,13.375
5202,13.825
5207,10.0
5232,12.175
5245,10.1
5264,8.525
5341,8.1
5380,9.7
5381,10.825
5565,13.425
5606,14.125
5628,15.45
5729,13.1
5742,14.75
5753,9.2
5785,10.325
5805,13.175
5832,13.25
5837,10.75
5887,8.875
5889,8.575
5896,6.45
5987,11.025
6005,10.075
6008,9.15
6016,13.425
6019,14.3
6020,12.175
6039,13.575
6040,11.8
6042,7.825
6046,10.9
6064,11.775
6074,13.65
6076,12.45
6085,13.675
6094,13.275
6096,11.925
6098,9.95
6100,14.75
6102,11.7
6109,12.575
6112,13.15
6119,13.65
6124,9.3
6169,12.875
6188,9.875
6190,13.775
6194,15.1
6202,16.425
6203,11.775
6242,15.175
6243,12.55
6318,8.075
6413,11.1
6448,6.625
6449,9.725
6709,8.8
6727,13.35
6729,8.95
6730,12.6
6744,9.75
6810,13.25
6830,10.675
6847,12.8
6897,8.125
6898,5.45
6899,10.75
6900,11.825
6903,9.7
6904,13.65
6905,11.975
6906,6.725
6907,10.75
6909,10.25
6910,11.175
6911,7.375
6913,9.5
6914,11.175
6915,11.475
6916,12.275
6917,10.35
6918,13.1
6919,10.075
6921,14.475
6922,9.725
6923,7.425
6924,9.2
6926,11.15
6928,14.95
6929,15.325
6930,8.475
6931,9.375
6932,9.5
6933,9.05
6936,15.675
6937,14.475
6938,13.075
6939,7.775
6940,7.85
6942,7.75
6943,10.525
