accession_id,phenotype_value
1,0.1795
15,0.0935
23,0.0505
66,0.0715
91,0.047
94,0.06
96,0.051
104,0.0565
116,0.108
126,0.0535
149,0.083
166,0.121
173,0.032
178,0.085
223,0.087
242,0.0325
259,0.0715
281,0.064
282,0.038
286,0.049
321,0.061
328,0.0855
333,0.116
357,0.0795
374,0.076
378,0.0955
379,0.0375
380,0.1045
392,0.021
641,0.0685
957,0.0775
1859,0.059
1925,0.0295
2057,0.0485
2150,0.0475
2274,0.108
2290,0.0655
5056,0.129
5207,0.0655
5232,0.0165
5245,0.0905
5264,0.108
5341,0.0825
5380,0.098
5381,0.0715
5565,0.062
5729,0.034
5753,0.045
5837,0.05
5887,0.052
5889,0.088
5896,0.0925
5987,0.0235
6005,0.109
6008,0.0985
6039,0.0455
6042,0.039
6188,0.0215
6190,0.117
6243,0.0725
6318,0.0985
6448,0.0875
6449,0.061
6709,0.037
6727,0.0535
6729,0.0355
6730,0.068
6744,0.113
6810,0.0285
6830,0.052
6847,0.039
6897,0.0685
6898,0.02
6899,0.096
6903,0.0605
6904,0.043
6905,0.036
6906,0.1205
6909,0.0835
6910,0.1335
6911,0.0685
6914,0.041
6915,0.0335
6919,0.0455
6922,0.0815
6923,0.1145
6924,0.0375
6926,0.04
6928,0.0275
6929,0.027
6930,0.0525
6931,0.0475
6932,0.085
6933,0.0395
6936,0.042
6937,0.0515
6939,0.0835
6940,0.083
6942,0.124
6943,0.027
6944,0.052
6946,0.043
6951,0.054
6956,0.028
6957,0.04
6958,0.1075
6959,0.096
6960,0.0655
6961,0.0355
6962,0.0625
6963,0.0545
6966,0.0575
6967,0.086
6970,0.04
6973,0.1295
6975,0.0695
6976,0.024
6977,0.054
6979,0.08
6981,0.0985
6982,0.0235
6983,0.054
6984,0.156
6985,0.0745
6987,0.1175
6989,0.0795
6990,0.0125
6992,0.0215
6994,0.023
6996,0.035
7000,0.082
7002,0.0885
7004,0.058
7005,0.1195
7011,0.176
7014,0.087
7015,0.085
7016,0.1225
7017,0.099
7021,0.1125
7024,0.065
7025,0.066
7026,0.073
7028,0.081
7029,0.087
7030,0.146
7031,0.0955
7032,0.1645
7044,0.1015
7056,0.119
7062,0.155
7071,0.083
7073,0.046
7078,0.082
7079,0.06
7080,0.0565
7081,0.048
7092,0.071
7094,0.176
7098,0.072
7100,0.0875
7104,0.0415
7105,0.121
7106,0.046
7109,0.1085
7110,0.103
7113,0.082
7116,0.0725
7117,0.1015
7121,0.082
7123,0.109
7128,0.0915
7135,0.087
7139,0.1385
7141,0.0855
7143,0.1105
7145,0.0585
7147,0.1155
7149,0.0785
7150,0.136
7151,0.135
7152,0.1055
7158,0.098
7163,0.0645
7165,0.1165
7166,0.051
7168,0.011
7172,0.0825
7176,0.0895
7178,0.135
7186,0.1525
7188,0.1225
7192,0.1025
7195,0.1075
7199,0.126
7201,0.1465
7205,0.112
7206,0.1525
7210,0.0465
7223,0.054
7224,0.1345
7228,0.015
7229,0.0135
7231,0.0895
7238,0.0505
7239,0.016
7242,0.0615
7244,0.1165
7245,0.0865
7246,0.0885
7255,0.135
7256,0.0565
7258,0.1425
7260,0.105
7262,0.043
7263,0.0865
7265,0.0845
7268,0.0885
7275,0.1545
7276,0.0695
7277,0.173
7280,0.0475
7281,0.0865
7282,0.0825
7283,0.0195
7287,0.1085
7291,0.044
7292,0.0665
7296,0.0335
7297,0.04
7298,0.059
7299,0.069
7300,0.0555
7301,0.019
7303,0.023
7305,0.094
7306,0.0385
7307,0.066
7310,0.0555
7320,0.0325
7323,0.041
7327,0.0325
7328,0.042
7330,0.033
7331,0.115
7333,0.097
7337,0.0875
7340,0.064
7343,0.056
7344,0.082
7346,0.057
7372,0.0445
7373,0.099
7376,0.0835
7378,0.05
7379,0.125
7381,0.095
7382,0.094
7386,0.104
7392,0.08
7394,0.057
7397,0.083
7403,0.128
7404,0.059
7405,0.0575
7406,0.0495
7408,0.1095
7411,0.098
7413,0.0715
7418,0.1015
7424,0.142
7425,0.0345
7430,0.0985
7438,0.044
7449,0.0655
7457,0.0385
7461,0.0535
7463,0.086
7472,0.077
7477,0.11
7482,0.0705
7483,0.196
7490,0.029
7492,0.022
7498,0.0235
7507,0.0545
7508,0.0465
7514,0.019
7520,0.039
7521,0.027
7523,0.0595
7524,0.029
7525,0.0495
8213,0.127
8214,0.048
8215,0.033
8235,0.053
8236,0.1265
8239,0.1185
8241,0.042
8243,0.022
8244,0.0285
8254,0.057
8256,0.112
8258,0.03
8259,0.025
8264,0.0235
8265,0.069
8270,0.031
8271,0.0245
8275,0.027
8284,0.1005
8285,0.063
8296,0.039
8300,0.031
8304,0.107
8310,0.0775
8311,0.0295
8312,0.0935
8313,0.0725
8323,0.0385
8325,0.0785
8326,0.033
8329,0.064
8334,0.017
8337,0.0575
8343,0.037
8353,0.033
8354,0.066
8357,0.029
8365,0.0635
8374,0.0435
8378,0.0595
8387,0.0415
8388,0.042
8389,0.046
8395,0.061
8412,0.059
8419,0.0465
8420,0.042
8423,0.1185
8426,0.116
8610,0.066
8692,0.007
8796,0.0495
9057,0.0465
