accession_id,phenotype_value
159,3.375815392
265,3.963782787
403,3.270861387
763,2.727357864
765,3.341247559
766,2.640000105
768,1.521448135
772,1.98792398
1552,2.873601675
4958,2.841145754
5151,2.959067345
5165,3.004925251
5349,3.022597075
5353,3.001274824
5486,3.303304434
5577,3.303574562
5741,2.869222879
5768,2.988959074
5772,3.231497049
5779,3.000131369
5784,3.119999886
5800,2.968216658
5811,3.010661602
5856,2.722096205
6008,3.327394247
6025,2.902138948
6040,2.883793354
6042,2.813916206
6073,3.090950489
6074,3.020096302
6085,2.943426609
6090,2.858521461
6092,2.858521461
6094,2.858521461
6097,2.858521461
6098,2.858521461
6099,2.858521461
6105,2.938131332
6106,2.938131332
6107,2.938131332
6108,2.938131332
6109,2.938131332
6111,2.938131332
6112,2.938131332
6114,2.938131332
6115,2.938131332
6122,2.797782421
6125,2.797782421
6126,2.797782421
6128,2.856624365
6131,2.797782421
6132,2.797782421
6133,2.856624365
6134,2.856624365
6136,2.762395859
6137,2.762395859
6138,2.762395859
6140,2.762395859
6142,2.762395859
6145,2.762395859
6148,2.762395859
6149,2.762395859
6150,2.762395859
6151,2.858521461
6169,3.019630432
6172,3.019630432
6173,3.019630432
6174,3.019630432
6177,2.907092094
6180,2.907092094
6184,3.010695219
6188,3.017144918
6189,3.017144918
6191,3.017144918
6192,3.017144918
6193,3.017144918
6194,3.017144918
6195,3.017144918
6198,3.017144918
6201,3.017144918
6202,3.017144918
6203,3.017144918
6209,2.940848351
6210,2.940848351
6216,2.913470984
6217,2.913470984
6218,2.913470984
6235,2.940848351
6243,2.827219009
6244,3.019630432
6680,3.27025938
6897,3.689627171
6898,3.271010876
6915,3.317150593
6929,4.128679276
6932,3.638310909
6938,3.167290688
6940,3.241811275
6945,3.393428326
6958,3.417986631
6961,3.046687603
6963,3.653033018
6979,3.599999905
6986,3.080016136
6987,3.584324121
6989,3.061317682
6990,3.410665274
6992,3.480267048
6997,3.184118032
7000,3.309990168
7002,3.291005611
7003,3.597233534
7008,3.156652689
7013,3.253290892
7014,2.960000038
7025,3.898958921
7026,3.335826159
7028,3.391438961
7031,3.344783306
7036,3.292155266
7062,3.191296101
7063,0.759372056
7071,3.244007111
7072,3.233119488
7077,3.871895552
7081,3.925006866
7092,3.188342094
7102,3.275842667
7106,3.299908161
7117,3.304356337
7125,3.337906599
7126,2.821751356
7127,2.854960918
7130,3.562754869
7133,3.335164785
7143,3.318318367
7147,3.39371562
7162,3.298722744
7163,3.261721373
7164,3.14277029
7165,3.376517534
7169,3.128283262
7181,3.322652578
7186,3.142160892
7203,3.262048483
7208,3.071223497
7209,3.203070879
7217,3.281723976
7218,3.399173975
7244,3.127373219
7250,3.351932526
7255,3.343010187
7268,3.199378967
7273,3.214498758
7276,3.336433887
7280,3.174172878
7282,3.255349636
7287,3.13602829
7288,2.960000038
7296,3.021440506
7298,1.840000033
7305,3.215154886
7307,3.100539923
7316,3.151131392
7323,3.308134556
7333,3.462034702
7337,3.279288054
7343,3.243720055
7346,3.129948616
7347,3.283189297
7353,3.399173975
7354,2.916666031
7372,3.643944502
7378,3.70903635
7384,3.142131329
7394,3.013646603
7404,3.303139687
7411,3.655211926
7415,3.281198978
7419,3.241811275
7430,3.340047836
8214,3.192642212
8227,2.935780764
8230,3.010701656
8231,3.044631004
8234,2.953521967
8235,3.378915071
8236,3.296442032
8237,2.938131332
8240,2.96508646
8241,2.832171917
8242,3.090950489
8243,3.816061497
8244,3.284532785
8247,2.827219009
8249,2.932179928
8264,3.500104666
8311,3.039999962
8312,3.277284145
8337,3.670870304
8343,3.319346189
8351,2.893898964
8354,3.078277111
8357,3.474007845
8365,3.349616528
8376,3.011510611
8387,2.976795912
8420,3.272375107
9057,2.800613403
9058,3.072364807
9115,3.938928366
9121,3.648803949
9125,2.425450802
9298,2.973211765
9314,2.994122505
9332,3.019630432
9336,3.010695219
9339,2.947338581
9343,2.95735693
9363,3.019630432
9371,2.913470984
9380,2.883793354
9394,3.010701656
9399,2.89763093
9402,2.92476368
9408,2.754221916
9409,2.883793354
9416,2.970326662
9421,3.030432224
9427,3.019630432
9470,2.952520132
9481,2.804029465
9503,2.966998577
9506,3.622112989
9507,3.253357887
9508,3.561625004
9509,3.611359119
9510,3.496768951
9511,3.343475819
9512,3.299192667
9513,2.987126827
9514,2.925139427
9515,3.507958651
9517,3.856724501
9518,2.780097485
9519,3.474274874
9520,2.706267118
9521,3.427245617
9522,3.365194321
9523,2.813430309
9524,3.460232496
9525,3.519999981
9526,3.537432432
9527,3.352859497
9528,2.30666256
9529,3.606067419
9530,3.611389875
9531,2.324888229
9532,2.897196531
9533,2.545918703
9534,2.163777351
9535,3.448262215
9536,2.803833961
9537,3.446142435
9539,3.479837418
9540,3.417759895
9541,3.574893475
9542,3.263315439
9543,3.562207937
9544,2.991574287
9545,3.15490365
9546,2.800538301
9547,3.572219372
9548,3.041808844
9549,3.221155882
9551,3.040183783
9553,2.424259186
9554,2.767561197
9555,2.825496674
9556,2.617553234
9557,3.519999981
9558,2.147643328
9559,3.429872274
9560,3.477914572
9561,2.520367622
9562,3.435942888
9564,3.153147697
9565,3.632677078
9567,3.440000057
9569,3.456281662
9571,3.612035751
9573,3.48774004
9574,2.749809027
9576,2.918730259
9577,3.200000048
9578,3.432789326
9579,3.046687603
9581,3.409656763
9582,2.726797342
9583,3.491835117
9584,3.177377224
9585,3.486201525
9586,2.936508656
9587,2.698435783
9588,3.544561148
9589,2.94042635
9590,3.401696444
9591,3.355298281
9593,3.410498857
9594,3.525127888
9595,2.309336185
9596,3.663024187
9597,3.267550945
9598,3.233917713
9599,3.373565674
9600,2.796183348
9601,3.115170956
9602,2.508844137
9606,3.069543362
9609,2.056014299
9610,3.200692177
9611,3.190582752
9612,3.200692177
9615,3.190582752
9616,3.157685757
9619,1.838592529
9622,3.248273849
9625,3.412685394
9626,3.376322031
9629,3.371193886
9630,3.371193886
9631,2.164504528
9632,2.175861835
9634,2.47099638
9635,2.134392023
9636,2.175861835
9637,2.209906101
9638,2.205046415
9640,1.946483612
9641,1.957130551
9642,1.946483612
9643,1.808459878
9644,3.695361853
9645,3.653735161
9647,2.958505869
9649,3.453824997
9651,3.655892849
9653,3.546649456
9656,3.25529027
9657,3.523332596
9659,3.680973291
9660,3.642197847
9661,3.428661823
9663,3.645546198
9697,3.341100454
9698,3.227213383
9699,3.110690355
9701,3.507266045
9705,2.895004034
9706,3.250672817
9707,3.382006645
9708,3.42271781
9713,3.532897234
9714,3.42034483
9716,3.330423832
9717,3.375793695
9718,3.317243814
9719,3.452279806
9720,3.450827599
9722,3.394164801
9723,3.303698063
9725,3.290005922
9726,3.241084814
9732,3.476448298
9736,3.449782372
9737,3.486987114
9738,3.559744835
9739,3.481035948
9741,3.392462492
9743,3.511096001
9744,3.215559721
9747,3.58833766
9748,3.576660872
9749,3.489635229
9754,3.539627314
9755,3.521715403
9758,1.080627322
9759,3.375655413
9761,3.718930721
9762,3.044184685
9764,3.677946329
9766,2.952240229
9769,3.528062582
9771,3.443310976
9772,3.536542416
9774,3.442505836
9775,3.621742487
9777,3.435994148
9779,3.621742487
9781,3.460538387
9782,3.460538387
9784,3.54588604
9787,3.475739241
9789,3.573769808
9790,3.435994148
9791,3.413378954
9795,3.503448486
9799,3.536542416
9802,3.460538387
9803,3.606274605
9804,3.590806484
9807,3.442505836
9810,3.445337772
9812,3.475739241
9813,3.621742487
9814,3.606274605
9817,3.398980856
9819,3.333969116
9820,2.234663248
9821,3.526603699
9822,2.622923374
9823,3.594130993
9825,2.608365774
9826,3.314951181
9827,3.797828197
9828,3.227590799
9830,3.542318821
9831,3.030704737
9832,2.723876953
9833,2.386675596
9834,2.639472246
9835,3.435996056
9836,2.47775054
9837,3.588104248
9838,2.369992733
9839,2.486118317
9840,2.257047653
9841,2.934030533
9843,2.537786007
9845,2.508844137
9846,3.332743406
9847,3.468121529
9848,2.984498739
9849,2.690068007
9850,3.279999971
9852,2.678179026
9853,3.522540808
9854,3.588162661
9855,2.659028292
9866,3.31818676
9867,2.801117897
9868,3.469121456
9869,3.503721714
9870,2.588912964
9871,2.960460424
9873,3.567508936
9874,3.311522484
9875,3.600099087
9876,3.417847872
9878,2.815395832
9879,1.861752152
9880,3.319274187
9881,2.708117247
9882,2.451773167
9883,3.381027937
9885,3.039382935
9886,3.279999971
9887,2.275015116
9888,2.717514753
9890,3.4467659
9891,3.510407686
9892,3.482636452
9894,3.039999962
9895,3.548564434
9897,2.436609983
9898,3.288594961
9899,3.119999886
9900,3.371716499
9901,3.410498857
9902,2.576609135
9903,3.367486715
9904,2.717514753
9905,3.332903147
9906,3.190052986
9910,3.172850609
9915,3.402351618
9918,3.458266973
9920,3.221424341
9924,3.233905077
9925,3.287072659
9927,3.433702946
9928,3.433702946
9933,3.3419559
9935,3.028335094
9937,2.90469265
9938,3.028335094
9941,4.11507082
9944,3.200205088
9947,2.839874744
10006,3.309728622
10014,3.077301741
