accession_id,phenotype_value
159,82.0
265,92.0
403,87.0
763,113.0
765,114.0
766,105.0
768,108.0
772,98.0
1552,84.0
4958,58.0
5151,76.0
5165,76.0
5349,76.0
5353,69.0
5486,70.0
5577,70.0
5741,70.0
5768,73.0
5772,70.0
5779,66.0
5784,64.0
5800,61.0
5811,65.0
5856,87.0
6008,90.0
6025,84.0
6040,60.0
6042,62.0
6073,62.0
6074,63.0
6085,61.0
6090,61.0
6092,61.0
6094,61.0
6097,61.0
6098,61.0
6099,61.0
6105,61.0
6106,61.0
6107,61.0
6108,61.0
6109,61.0
6111,61.0
6112,61.0
6114,62.0
6115,62.0
6122,61.0
6125,61.0
6126,61.0
6128,61.0
6131,61.0
6132,61.0
6133,61.0
6134,61.0
6136,61.0
6137,61.0
6138,61.0
6140,61.0
6142,61.0
6145,61.0
6148,61.0
6149,61.0
6150,61.0
6151,61.0
6169,82.0
6172,82.0
6173,82.0
6174,82.0
6177,84.0
6180,84.0
6184,82.0
6188,57.0
6189,57.0
6191,57.0
6192,57.0
6193,57.0
6194,57.0
6195,57.0
6198,57.0
6201,57.0
6202,57.0
6203,57.0
6209,82.0
6210,82.0
6216,83.0
6217,83.0
6218,83.0
6235,83.0
6243,64.0
6244,83.0
6680,76.0
6897,106.0
6898,74.0
6915,68.0
6929,128.0
6932,85.0
6938,77.0
6940,78.0
6945,61.0
6958,104.0
6961,119.0
6963,131.0
6979,76.0
6986,71.0
6987,84.0
6989,71.0
6990,59.0
6992,78.0
6997,76.0
7000,82.0
7002,78.0
7003,82.0
7008,76.0
7013,82.0
7014,66.0
7025,90.0
7026,69.0
7028,87.0
7031,89.0
7036,85.0
7062,80.0
7063,68.0
7071,88.0
7072,82.0
7077,97.0
7081,101.0
7092,86.0
7102,75.0
7106,78.0
7117,81.0
7125,90.0
7126,68.0
7127,66.0
7130,106.0
7133,88.0
7143,77.0
7147,82.0
7162,79.0
7163,82.0
7164,63.0
7165,71.0
7169,63.0
7181,83.0
7186,79.0
7203,86.0
7208,72.0
7209,78.0
7217,91.0
7218,62.0
7244,83.0
7250,82.0
7255,78.0
7268,81.0
7273,76.0
7276,84.0
7280,75.0
7282,81.0
7287,75.0
7288,56.0
7296,73.0
7298,58.0
7305,81.0
7307,67.0
7316,76.0
7323,83.0
7333,99.0
7337,74.0
7343,82.0
7346,78.0
7347,85.0
7353,61.0
7354,68.0
7372,85.0
7378,85.0
7384,76.0
7394,83.0
7404,84.0
7411,84.0
7415,86.0
7419,78.0
7430,87.0
8214,83.0
8227,83.0
8230,63.0
8231,62.0
8234,64.0
8235,94.0
8236,87.0
8237,61.0
8240,61.0
8241,60.0
8242,62.0
8243,95.0
8244,83.0
8247,62.0
8249,73.0
8264,70.0
8311,83.0
8312,79.0
8337,87.0
8343,90.0
8351,70.0
8354,83.0
8357,70.0
8365,92.0
8376,81.0
8387,62.0
8420,87.0
9057,62.0
9058,67.0
9115,96.0
9121,114.0
9125,115.0
9298,74.0
9314,67.0
9332,82.0
9336,82.0
9339,78.0
9343,55.0
9363,83.0
9371,83.0
9380,61.0
9394,63.0
9399,56.0
9402,79.0
9408,62.0
9409,61.0
9416,55.0
9421,59.0
9427,83.0
9470,79.0
9481,57.0
9503,74.0
9506,87.0
9507,108.0
9508,97.0
9509,96.0
9510,102.0
9511,99.0
9512,109.0
9513,127.0
9514,124.0
9515,104.0
9517,93.0
9518,91.0
9519,71.0
9520,104.0
9521,70.0
9522,92.0
9523,121.0
9524,97.0
9525,89.0
9526,70.0
9527,108.0
9528,99.0
9529,121.0
9530,122.0
9531,109.0
9532,112.0
9533,106.0
9534,113.0
9535,80.0
9536,111.0
9537,112.0
9539,95.0
9540,72.0
9541,125.0
9542,106.0
9543,109.0
9544,118.0
9545,115.0
9546,107.0
9547,69.0
9548,112.0
9549,100.0
9551,114.0
9553,115.0
9554,124.0
9555,120.0
9556,118.0
9557,89.0
9558,116.0
9559,117.0
9560,118.0
9561,112.0
9562,74.0
9564,108.0
9565,97.0
9567,83.0
9569,102.0
9571,97.0
9573,71.0
9574,122.0
9576,103.0
9577,75.0
9578,102.0
9579,119.0
9581,105.0
9582,107.0
9583,123.0
9584,105.0
9585,84.0
9586,106.0
9587,110.0
9588,97.0
9589,112.0
9590,84.0
9591,85.0
9593,103.0
9594,90.0
9595,118.0
9596,102.0
9597,105.0
9598,110.0
9599,109.0
9600,111.0
9601,110.0
9602,103.0
9606,164.0
9609,123.0
9610,96.0
9611,96.0
9612,96.0
9615,97.0
9616,96.0
9619,113.0
9622,115.0
9625,116.0
9626,116.0
9629,117.0
9630,117.0
9631,116.0
9632,115.0
9634,109.0
9635,115.0
9636,115.0
9637,115.0
9638,115.0
9640,115.0
9641,114.0
9642,115.0
9643,112.0
9644,105.0
9645,104.0
9647,84.0
9649,62.0
9651,82.0
9653,70.0
9656,88.0
9657,72.0
9659,95.0
9660,86.0
9661,69.0
9663,97.0
9697,97.0
9698,100.0
9699,101.0
9701,103.0
9705,105.0
9706,93.0
9707,96.0
9708,100.0
9713,101.0
9714,103.0
9716,95.0
9717,101.0
9718,94.0
9719,104.0
9720,103.0
9722,96.0
9723,97.0
9725,97.0
9726,100.0
9732,96.0
9736,107.0
9737,101.0
9738,101.0
9739,99.0
9741,103.0
9743,104.0
9744,98.0
9747,99.0
9748,96.0
9749,100.0
9754,96.0
9755,97.0
9758,127.0
9759,78.0
9761,104.0
9762,62.0
9764,97.0
9766,115.0
9769,88.0
9771,87.0
9772,90.0
9774,87.0
9775,91.0
9777,87.0
9779,90.0
9781,88.0
9782,88.0
9784,90.0
9787,88.0
9789,89.0
9790,87.0
9791,86.0
9795,88.0
9799,90.0
9802,88.0
9803,90.0
9804,90.0
9807,87.0
9810,88.0
9812,88.0
9813,91.0
9814,90.0
9817,106.0
9819,101.0
9820,111.0
9821,71.0
9822,104.0
9823,90.0
9825,104.0
9826,104.0
9827,92.0
9828,111.0
9830,120.0
9831,123.0
9832,103.0
9833,106.0
9834,103.0
9835,102.0
9836,101.0
9837,123.0
9838,117.0
9839,106.0
9840,102.0
9841,105.0
9843,103.0
9845,103.0
9846,101.0
9847,89.0
9848,112.0
9849,103.0
9850,91.0
9852,102.0
9853,91.0
9854,90.0
9855,103.0
9866,111.0
9867,105.0
9868,72.0
9869,105.0
9870,109.0
9871,104.0
9873,125.0
9874,101.0
9875,90.0
9876,89.0
9878,103.0
9879,108.0
9880,87.0
9881,114.0
9882,106.0
9883,109.0
9885,104.0
9886,78.0
9887,111.0
9888,104.0
9890,95.0
9891,72.0
9892,98.0
9894,79.0
9895,70.0
9897,119.0
9898,108.0
9899,81.0
9900,121.0
9901,103.0
9902,103.0
9903,102.0
9904,104.0
9905,107.0
9906,71.0
9910,74.0
9915,84.0
9918,87.0
9920,93.0
9924,94.0
9925,92.0
9927,101.0
9928,101.0
9933,101.0
9935,73.0
9937,67.0
9938,73.0
9941,89.0
9944,85.0
9947,102.0
10006,86.0
10014,67.0
