accession_id,phenotype_value
159,88.0
265,101.0
403,125.0
763,128.0
765,137.0
766,116.0
768,113.0
772,96.0
1552,77.0
4958,70.0
5151,74.0
5165,71.0
5349,70.0
5353,87.0
5486,78.0
5577,81.0
5741,80.0
5768,70.0
5772,76.0
5779,68.0
5784,78.0
5800,77.0
5811,73.0
5856,122.0
6008,134.0
6025,78.0
6040,90.0
6042,64.0
6073,64.0
6074,63.0
6085,90.0
6090,69.0
6092,69.0
6094,69.0
6097,69.0
6098,69.0
6099,69.0
6105,69.0
6106,69.0
6107,69.0
6108,69.0
6109,69.0
6111,69.0
6112,69.0
6114,68.0
6115,68.0
6122,90.0
6125,90.0
6126,90.0
6128,91.0
6131,90.0
6132,90.0
6133,91.0
6134,91.0
6136,88.0
6137,88.0
6138,88.0
6140,88.0
6142,88.0
6145,88.0
6148,88.0
6149,88.0
6150,88.0
6151,69.0
6169,79.0
6172,79.0
6173,79.0
6174,79.0
6177,77.0
6180,77.0
6184,79.0
6188,65.0
6189,65.0
6191,65.0
6192,65.0
6193,65.0
6194,65.0
6195,65.0
6198,65.0
6201,63.0
6202,63.0
6203,63.0
6209,77.0
6210,77.0
6216,78.0
6217,78.0
6218,78.0
6235,74.0
6243,90.0
6244,76.0
6680,87.0
6897,81.0
6898,91.0
6915,106.0
6929,86.0
6932,122.0
6938,79.0
6940,124.0
6945,80.0
6958,107.0
6961,108.0
6963,96.0
6979,78.0
6986,77.0
6987,83.0
6989,70.0
6990,70.0
6992,75.0
6997,86.0
7000,123.0
7002,89.0
7003,76.0
7008,85.0
7013,70.0
7014,89.0
7025,70.0
7026,76.0
7028,73.0
7031,80.0
7036,128.0
7062,68.0
7063,187.0
7071,98.0
7072,90.0
7077,120.0
7081,140.0
7092,96.0
7102,121.0
7106,69.0
7117,66.0
7125,87.0
7126,85.0
7127,91.0
7130,81.0
7133,82.0
7143,89.0
7147,72.0
7162,71.0
7163,77.0
7164,74.0
7165,118.0
7169,69.0
7181,128.0
7186,107.0
7203,127.0
7208,75.0
7209,66.0
7217,76.0
7218,81.0
7244,78.0
7250,71.0
7255,73.0
7268,72.0
7273,120.0
7276,72.0
7280,77.0
7282,76.0
7287,79.0
7288,76.0
7296,80.0
7298,70.0
7305,72.0
7307,78.0
7316,85.0
7323,120.0
7333,116.0
7337,122.0
7343,71.0
7346,72.0
7347,98.0
7353,82.0
7354,91.0
7372,91.0
7378,88.0
7384,86.0
7394,126.0
7404,76.0
7411,117.0
7415,73.0
7419,124.0
7430,81.0
8214,97.0
8227,82.0
8230,60.0
8231,63.0
8234,91.0
8235,76.0
8236,122.0
8237,69.0
8240,69.0
8241,83.0
8242,65.0
8243,86.0
8244,72.0
8247,88.0
8249,90.0
8264,118.0
8311,95.0
8312,76.0
8337,78.0
8343,70.0
8351,88.0
8354,131.0
8357,122.0
8365,137.0
8376,80.0
8387,88.0
8420,78.0
9057,65.0
9058,92.0
9115,109.0
9121,115.0
9125,100.0
9298,71.0
9314,77.0
9332,80.0
9336,79.0
9339,94.0
9343,60.0
9363,78.0
9371,78.0
9380,68.0
9394,62.0
9399,70.0
9402,97.0
9408,89.0
9409,65.0
9416,79.0
9421,67.0
9427,78.0
9470,96.0
9481,70.0
9503,78.0
9506,90.0
9507,135.0
9508,106.0
9509,119.0
9510,123.0
9511,135.0
9512,135.0
9513,101.0
9514,97.0
9515,120.0
9517,96.0
9518,106.0
9519,102.0
9520,79.0
9521,121.0
9522,147.0
9523,98.0
9524,89.0
9525,100.0
9526,121.0
9527,85.0
9528,109.0
9529,101.0
9530,102.0
9531,82.0
9532,92.0
9533,77.0
9534,104.0
9535,116.0
9536,106.0
9537,112.0
9539,75.0
9540,86.0
9541,110.0
9542,108.0
9543,104.0
9544,99.0
9545,102.0
9546,100.0
9547,105.0
9548,91.0
9549,104.0
9551,77.0
9553,86.0
9554,98.0
9555,86.0
9556,92.0
9557,103.0
9558,84.0
9559,126.0
9560,114.0
9561,88.0
9562,91.0
9564,93.0
9565,98.0
9567,80.0
9569,99.0
9571,96.0
9573,112.0
9574,98.0
9576,94.0
9577,83.0
9578,85.0
9579,108.0
9581,97.0
9582,106.0
9583,110.0
9584,92.0
9585,104.0
9586,104.0
9587,112.0
9588,102.0
9589,109.0
9590,110.0
9591,71.0
9593,103.0
9594,98.0
9595,85.0
9596,99.0
9597,78.0
9598,77.0
9599,95.0
9600,111.0
9601,109.0
9602,88.0
9606,131.0
9609,209.0
9610,86.0
9611,86.0
9612,86.0
9615,86.0
9616,84.0
9619,100.0
9622,102.0
9625,177.0
9626,174.0
9629,188.0
9630,187.0
9631,100.0
9632,99.0
9634,170.0
9635,98.0
9636,100.0
9637,99.0
9638,99.0
9640,101.0
9641,100.0
9642,101.0
9643,100.0
9644,98.0
9645,96.0
9647,126.0
9649,79.0
9651,109.0
9653,101.0
9656,97.0
9657,136.0
9659,113.0
9660,116.0
9661,129.0
9663,110.0
9697,92.0
9698,101.0
9699,99.0
9701,97.0
9705,81.0
9706,98.0
9707,94.0
9708,102.0
9713,89.0
9714,109.0
9716,95.0
9717,107.0
9718,88.0
9719,111.0
9720,107.0
9722,89.0
9723,94.0
9725,114.0
9726,149.0
9732,123.0
9736,93.0
9737,94.0
9738,134.0
9739,90.0
9741,92.0
9743,145.0
9744,84.0
9747,94.0
9748,83.0
9749,86.0
9754,91.0
9755,90.0
9758,113.0
9759,106.0
9761,131.0
9762,86.0
9764,80.0
9766,144.0
9769,88.0
9771,87.0
9772,75.0
9774,76.0
9775,74.0
9777,75.0
9779,74.0
9781,75.0
9782,75.0
9784,74.0
9787,75.0
9789,88.0
9790,75.0
9791,74.0
9795,74.0
9799,75.0
9802,75.0
9803,75.0
9804,75.0
9807,76.0
9810,76.0
9812,75.0
9813,74.0
9814,75.0
9817,114.0
9819,103.0
9820,80.0
9821,89.0
9822,79.0
9823,115.0
9825,87.0
9826,82.0
9827,89.0
9828,88.0
9830,110.0
9831,99.0
9832,83.0
9833,85.0
9834,83.0
9835,86.0
9836,107.0
9837,107.0
9838,83.0
9839,79.0
9840,116.0
9841,96.0
9843,86.0
9845,88.0
9846,103.0
9847,111.0
9848,90.0
9849,90.0
9850,112.0
9852,86.0
9853,115.0
9854,116.0
9855,81.0
9866,98.0
9867,88.0
9868,78.0
9869,121.0
9870,93.0
9871,97.0
9873,122.0
9874,105.0
9875,112.0
9876,77.0
9878,77.0
9879,148.0
9880,75.0
9881,94.0
9882,80.0
9883,89.0
9885,99.0
9886,86.0
9887,84.0
9888,77.0
9890,84.0
9891,111.0
9892,91.0
9894,91.0
9895,107.0
9897,82.0
9898,100.0
9899,100.0
9900,149.0
9901,103.0
9902,84.0
9903,89.0
9904,77.0
9905,100.0
9906,139.0
9910,91.0
9915,91.0
9918,89.0
9920,94.0
9924,93.0
9925,91.0
9927,82.0
9928,82.0
9933,98.0
9935,94.0
9937,95.0
9938,94.0
9941,125.0
9944,151.0
9947,89.0
10006,81.0
10014,70.0
