accession_id,phenotype_value
159,0.0
265,0.0
403,3.786692759
763,0.0
765,5.048923679
766,0.0
768,7.573385519
772,2.52446184
801,3.786692759
915,3.029354207
932,5.680039139
1552,1.514677104
1890,3.786692759
1954,1.89334638
2317,1.89334638
4958,0.0
5151,0.0
5165,3.029354207
5349,6.058708415
5353,1.89334638
5486,1.514677104
5577,0.0
5741,0.0
5768,1.514677104
5772,0.0
5779,0.0
5784,0.0
5800,1.514677104
5811,0.0
5856,0.0
6008,5.048923679
6025,1.514677104
6040,1.89334638
6042,1.89334638
6073,0.0
6074,0.0
6085,0.0
6090,1.89334638
6092,0.0
6094,0.0
6097,3.786692759
6098,0.0
6099,0.0
6105,1.514677104
6106,0.0
6107,5.680039139
6108,0.0
6109,0.0
6111,0.0
6112,0.0
6114,0.0
6115,2.52446184
6122,0.0
6125,0.0
6126,0.0
6128,0.0
6131,0.0
6132,0.0
6133,0.0
6134,0.0
6136,0.0
6137,0.0
6138,0.0
6140,0.0
6142,0.0
6145,0.0
6148,0.0
6149,0.0
6150,1.89334638
6151,0.0
6169,1.89334638
6172,0.0
6173,3.786692759
6174,3.029354207
6177,1.89334638
6180,0.0
6184,0.0
6188,1.89334638
6189,0.0
6191,0.0
6192,0.0
6193,0.0
6194,0.0
6195,1.514677104
6198,0.0
6201,0.0
6202,0.0
6203,0.0
6209,0.0
6210,1.89334638
6216,0.0
6217,5.048923679
6218,3.786692759
6235,0.0
6243,1.89334638
6244,0.0
6680,0.0
6897,0.0
6898,2.52446184
6911,1.514677104
6915,1.89334638
6929,3.786692759
6938,3.786692759
6940,0.0
6945,0.0
6958,0.0
6961,0.0
6963,3.786692759
6979,0.0
6986,1.89334638
6987,0.0
6989,1.89334638
6990,1.89334638
6992,0.0
6997,0.0
7000,0.0
7002,3.029354207
7003,0.0
7008,0.0
7013,0.0
7014,0.0
7025,0.0
7026,0.0
7028,2.52446184
7031,0.0
7036,1.89334638
7062,3.786692759
7063,0.0
7071,0.0
7072,0.0
7077,1.89334638
7081,5.048923679
7092,0.0
7102,0.0
7106,0.0
7117,3.786692759
7125,0.0
7126,3.029354207
7127,1.89334638
7130,1.514677104
7133,0.0
7143,0.0
7147,0.0
7162,0.0
7163,0.0
7164,1.514677104
7165,1.89334638
7169,0.0
7181,0.0
7186,1.514677104
7203,0.0
7207,0.0
7208,2.52446184
7209,0.0
7217,1.514677104
7218,0.0
7244,1.89334638
7250,2.52446184
7255,0.0
7268,2.52446184
7273,1.514677104
7276,0.0
7280,0.0
7282,0.0
7287,0.0
7288,0.0
7296,0.0
7298,0.0
7305,0.0
7307,0.0
7316,0.0
7323,0.0
7333,1.514677104
7337,0.0
7343,0.0
7346,0.0
7347,1.514677104
7353,1.514677104
7354,0.0
7372,3.786692759
7373,0.0
7378,0.0
7384,0.0
7394,3.786692759
7404,2.52446184
7411,0.0
7415,1.89334638
7416,0.0
7419,2.52446184
7430,0.0
7477,0.0
8214,1.514677104
8227,0.0
8230,0.0
8231,0.0
8234,0.0
8235,1.89334638
8236,5.048923679
8237,0.0
8240,3.786692759
8241,0.0
8242,0.0
8243,0.0
8244,0.0
8246,0.0
8247,0.0
8249,0.0
8264,1.89334638
8311,1.89334638
8312,0.0
8337,1.514677104
8343,1.89334638
8351,0.0
8354,0.0
8357,0.0
8365,0.0
8376,1.514677104
8387,3.786692759
8420,1.89334638
9057,1.514677104
9058,0.0
9115,0.0
9121,1.89334638
9125,1.89334638
9298,0.0
9314,0.0
9332,0.0
9336,0.0
9339,1.89334638
9343,0.0
9363,0.0
9371,0.0
9380,0.0
9394,4.544031311
9399,0.0
9402,0.0
9408,0.0
9409,1.514677104
9416,0.0
9421,0.0
9427,1.514677104
9470,0.0
9481,0.0
9503,2.52446184
9506,0.0
9507,3.786692759
9508,0.0
9509,1.89334638
9510,0.0
9511,0.0
9512,5.048923679
9513,0.0
9514,0.0
9515,0.0
9517,0.0
9518,0.0
