accession_id,phenotype_value
96,275.5243
149,217.688
204,267.2668888889
224,323.0695
236,309.658625
262,229.3861818182
266,272.2764166667
394,232.549
461,203.2582857143
936,217.2964444444
1829,182.518
1874,172.1221428571
2057,191.4258888889
2171,220.7424545455
2187,234.92375
2290,142.3033636364
2320,340.9577272727
5729,144.928
5731,195.8946666667
5736,301.3459090909
5742,240.5999090909
5745,262.9573333333
5751,339.7866
5752,272.0445
5837,385.0043636364
6008,355.0118333333
6016,288.4655555556
6040,297.4137777778
6074,214.4433333333
6243,279.6868888889
6730,277.1745833333
6897,234.862
6898,303.7808
6899,347.5801818182
6903,254.2028888889
6904,323.902
6906,242.8362222222
6907,286.7325833333
6909,351.1217
6910,363.0669090909
6911,324.1082727273
6913,280.851
6915,168.1121428571
6916,345.8503636364
6919,377.6896666667
6920,171.0367777778
6922,301.4604166667
6923,146.1508571429
6924,83.3345
6926,269.96675
6928,178.7055714286
6929,292.304
6930,332.52625
6931,262.8731428571
6932,330.917
6936,407.9026666667
6937,238.8567777778
6938,317.8084
6939,277.4048571429
6940,279.4628888889
6942,328.2797272727
6943,186.9400909091
6944,205.233
6945,309.3391818182
6946,314.06225
6951,278.7344444444
6956,239.623
6958,411.8496
6959,301.4429166667
6960,223.1621
6961,321.4928571429
6962,312.7304444444
6963,298.27375
6966,239.5698888889
6967,375.4753333333
6968,133.824
6969,367.3258
6970,286.923
6971,267.0735
6972,289.8556666667
6973,300.6325714286
6975,216.4208
6976,203.4148571429
6977,219.9881428571
6978,230.0973333333
6979,201.475
6980,348.7539090909
6981,201.1458888889
6982,327.1909
6983,250.0469090909
6984,418.9479166667
6985,199.1668
6988,236.7838333333
6990,349.6385
6992,245.3741111111
6994,211.7616
7000,408.6760909091
7002,273.3958888889
7004,486.8941
7014,201.084125
7015,338.0397
7026,347.852
7028,263.3795555556
7031,332.5544545455
7062,279.486
7071,238.3103333333
7081,368.8508181818
7092,193.1858
7094,342.2995833333
7098,385.5964444444
7102,392.0085454545
7123,289.379
7126,204.78025
7143,362.3095
7147,297.459
7163,299.0201666667
7164,116.0575
7166,282.3684285714
7172,326.9103333333
7176,303.5009
7178,244.1754
7181,198.3304444444
7192,321.122
7199,346.7638
7201,254.8328181818
7205,252.7625
7210,373.803
7224,338.414
7231,364.8187272727
7242,354.7485
7244,394.2411
7246,328.6587272727
7255,329.2306
7262,362.5058888889
7268,372.1549166667
7275,453.7795
7276,215.0006
7280,307.3401818182
7282,464.1486666667
7283,288.3676
7287,357.4307
7291,208.9216666667
7297,284.9044
7299,389.1482727273
7300,327.23025
7306,254.9416666667
7307,280.4755555556
7309,210.8613333333
7310,282.5114285714
7316,221.1571818182
7317,216.1484
7320,224.268375
7330,305.2546666667
7331,396.5486666667
7337,345.3853333333
7351,343.322875
7352,217.5397777778
7353,310.9002222222
7355,300.2856
7372,362.598875
7378,210.7984285714
7382,439.7463333333
7384,246.0567272727
7404,276.7211818182
7418,297.8465454545
7424,208.3864
7438,209.064125
7477,186.0143333333
7514,280.7435
7515,198.9545555556
7516,213.746
7519,163.6844
7520,249.5293636364
7521,207.3724285714
7522,109.8555
7523,254.33875
7524,347.0272727273
7525,230.018375
8214,329.2155454545
8233,175.65125
8236,332.0983636364
8240,203.204
8241,267.2431428571
8243,377.210375
8245,318.18925
8249,236.31
8256,315.4288888889
8258,402.4154444444
8259,360.7330909091
8265,190.159625
8270,360.8295555556
8271,405.4215
8284,388.3724166667
8285,378.7189090909
8290,383.9798
8296,418.583
8297,160.9734444444
8300,336.3110909091
8306,220.9283
8310,384.6581666667
8311,332.3334545455
8312,339.204
8313,346.2785714286
8314,343.8957
8323,257.469
8325,321.1765555556
8329,245.9411111111
8334,244.9756666667
8337,266.3455
8343,228.42
8348,364.1602
8353,146.2204
8354,264.5683
8365,334.8056363636
8366,243.5610909091
8369,138.2631428571
8374,371.8794444444
8378,378.8286
8387,269.451
8388,296.4021666667
8395,387.7015555556
8420,265.29525
8430,282.6776363636
9104,226.5559090909
9165,349.3739
9302,339.722
9308,146.3118
