accession_id,phenotype_value
96,143.4338122
149,122.4670491
204,121.52665
224,132.485
236,92.37891897
262,103.7422122
266,139.3233333
394,134.9184061
461,104.8176
936,75.13760504
1829,125.7454426
1874,89.08513974
2057,126.6360658
2171,101.0416559
2187,54.37598
2290,84.11088596
2320,157.8936788
5729,25.01338889
5731,59.43409091
5736,125.2035993
5742,136.216388
5745,82.52392593
5751,122.1753255
5752,83.08118248
5837,132.4056508
6008,83.72977143
6016,187.2256364
6040,170.02985
6074,139.5638997
6243,115.034124
6730,117.7870377
6897,106.6706579
6898,122.082504
6899,128.8048634
6903,123.5167857
6904,193.7105
6906,74.04693304
6907,131.1083859
6909,179.0907143
6910,144.8157119
6911,112.1560427
6913,133.8697842
6915,120.3402299
6916,176.4792599
6919,126.97854
6920,97.805765
6922,180.7428457
6923,20.93225
6924,61.14195652
6926,112.0024286
6928,86.96035638
6929,116.9576535
6930,133.2206364
6931,143.017375
6932,165.0974218
6936,164.2399375
6937,139.289187
6938,131.0691067
6939,123.1629286
6940,127.0578333
6942,144.3413363
6943,95.52611765
6944,97.00892086
6945,184.2386722
6946,154.1146598
6951,144.0958382
6956,132.91765
6958,174.38428
6959,136.7226259
6960,86.80470213
6961,95.7446065
6962,133.2045
6963,131.3372881
6966,67.09284239
6967,150.1254079
6968,175.4661667
6969,153.7385622
6970,102.8966962
6971,111.9389653
6972,169.5699743
6973,125.1674171
6975,158.1359869
6976,136.1102232
6977,116.6267194
6978,102.9102526
6979,100.4539706
6980,157.9203977
6981,118.3271803
6982,188.6019979
6983,158.451631
6984,178.1403182
6985,97.4987551
6988,52.32294776
6990,126.7567031
6992,101.8145914
6994,65.93451045
7000,129.7863188
7002,106.8702029
7004,151.2843182
7014,59.4818
7015,151.6346178
7026,137.9737574
7028,146.9790024
7031,84.15191748
7062,114.0425
7071,86.17669919
7081,167.95815
7092,67.3801
7094,113.6332126
7098,70.61876744
7102,135.4432902
7123,97.89983333
7126,105.5445
7143,147.6130885
7147,159.6629233
7163,96.95758361
7164,77.44886111
7166,155.0591422
7172,116.9145479
7176,133.297418
7178,123.3006885
7181,135.0429228
7192,160.8979481
7199,138.922691
7201,146.3458462
7205,131.6255556
7210,183.1780566
7224,162.4516881
7231,124.5693
7242,163.5565
7244,166.2202715
7246,144.4405516
7255,135.3466241
7262,135.8676273
7268,189.0352158
7275,174.0725909
7276,134.9507938
7280,164.841
7282,177.6237364
7283,134.5765319
7287,202.0858032
7291,118.5601019
7297,126.3030742
7299,113.4248794
7300,147.7124765
7306,102.2960094
7307,117.961
7309,141.5803903
7310,125.03
7316,151.2215
7317,104.7471088
7320,105.4794575
7330,141.749416
7331,126.4831
7337,140.2640839
7351,187.0717273
7352,130.7943489
7353,162.8450064
7355,117.7787241
7372,163.38365
7378,68.27933333
7382,176.7387958
7384,141.6703587
7404,143.0471641
7418,133.8036667
7424,100.3328571
7438,116.9898333
7477,119.980142
7514,150.5429
7515,138.9543971
7516,119.106234
7519,119.8312117
7520,141.6074091
7521,93.36895862
7522,105.8962697
7523,86.57679545
7524,197.94
7525,182.5970909
8214,109.9690849
8233,155.6962552
8236,127.0560833
8240,119.3239375
8241,110.4292149
8243,178.1091364
8245,119.7133735
8249,147.3240527
8256,106.6190909
8258,133.2081364
8259,148.3056125
8265,36.4362
8270,146.1216306
8271,236.1192204
8284,157.4728229
8285,174.0437173
8290,124.7918745
8296,134.1233664
8297,136.6084
8300,103.6596633
8306,120.4908261
8310,124.8513252
8311,110.3731733
8312,151.7610656
8313,146.1918
8314,149.3979249
8323,94.66035025
8325,139.1209418
8329,61.9264
8334,103.2215625
8337,107.3415641
8343,116.4514492
8348,147.0664459
8353,28.04733333
8354,130.9258636
8365,158.348396
8366,168.602336
8369,123.3124194
8374,147.9395731
8378,124.326151
8387,147.7437727
8388,130.1973564
8395,120.5829
8420,97.69289124
8430,108.3050221
9104,121.0648037
9165,164.3002917
9302,128.93025
9308,98.89525325
