accession_id,phenotype_value
86,407.492
96,623.6858333333
149,522.4989
204,500.516
224,492.4628571429
236,316.9397777778
262,380.87
266,509.438
394,379.0615
461,477.3695
936,516.3478571429
1829,410.564
1874,327.2315714286
2057,517.0455454545
2171,399.5788
2187,546.2404444444
2290,328.889375
2320,657.9254444444
5723,209.94
5729,364.7178333333
5731,314.4636
5736,744.6948333333
5742,538.219625
5745,477.5725
5751,710.5306
5752,528.8198571429
5837,473.4165
6016,576.5056666667
6040,441.7104444444
6074,558.87
6243,430.28825
6730,477.6958888889
6897,401.8635
6898,537.784375
6899,396.9258571429
6903,516.6164
6904,474.02875
6906,464.0017777778
6907,538.7873
6909,803.053875
6910,672.9708333333
6911,651.78
6913,559.99425
6915,306.561375
6916,736.4236
6919,693.0902222222
6920,289.7186666667
6922,550.4845
6923,300.26
6924,169.7913333333
6926,391.785
6928,329.387
6929,505.317
6930,854.55
6931,807.3328333333
6932,632.7307142857
6936,617.770875
6937,498.4854444444
6938,590.8415
6939,419.229
6940,428.6295
6942,630.66725
6943,442.4813333333
6944,473.6583333333
6945,562.5432
6946,564.3085555556
6951,536.5177272727
6956,427.64925
6958,564.79
6959,399.3945
6960,378.5522222222
6961,432.0418571429
6962,517.1681428571
6963,387.454625
6966,244.7441111111
6967,758.8031666667
6968,393.7097777778
6969,784.5908333333
6970,483.3269090909
6971,555.615875
6972,607.1360833333
6973,477.8853333333
6975,449.4669090909
6976,557.7077142857
6977,421.9667272727
6978,560.033
6979,455.6594444444
6980,594.9561
6981,366.398375
6982,682.9656363636
6983,405.1423333333
6984,663.0025833333
6985,385.5144444444
6988,412.0255
6990,537.50375
6992,492.18325
6994,306.837
7000,741.9458333333
7002,409.9933
7004,707.1985555556
7014,368.8258
7015,551.96675
7026,517.59425
7028,528.2938888889
7031,589.366
7062,568.5282222222
7071,436.642375
7075,311.4092
7081,843.0247
7092,435.504375
7094,561.936
7098,764.955
7102,925.257
7123,570.8072
7126,401.7712857143
7143,639.5675555556
7147,626.4615
7163,608.8762
7164,313.1643
7166,666.8325
7172,656.71525
7176,761.5441666667
7178,465.0546
7181,491.9212857143
7192,489.5888571429
7199,430.7116666667
7201,698.2596363636
7205,640.268
7210,781.645
7224,603.0551111111
7231,557.0198888889
7242,674.4527272727
7244,668.213375
7246,464.7127777778
7255,609.1935714286
7262,570.089
7268,534.072375
7275,703.791
7276,461.8145454545
7280,524.36475
7282,727.3898571429
7283,464.4575
7287,525.143375
7291,349.7335555556
7297,536.0107
7299,609.7595454545
7300,744.0792222222
7306,531.5663636364
7307,492.6360909091
7309,580.6517777778
7310,493.7173636364
7316,430.5875714286
7317,384.708125
7320,362.0191666667
7330,512.0413
7331,671.3841818182
7337,446.6308888889
7351,613.9389
7352,481.8308333333
7353,528.0547142857
7355,412.7895555556
7372,654.1486363636
7378,287.147125
7382,602.3626666667
7384,436.3882222222
7404,465.65725
7418,540.8823333333
7424,385.5444
7438,310.6944
7477,396.5151428571
7514,604.1075714286
7515,555.995
7516,431.1354
7519,484.91725
7520,496.6453636364
7521,457.557
7522,354.8732857143
7523,373.0681428571
7524,655.104125
7525,419.945
8214,655.4622857143
8233,416.4858333333
8236,514.5338
8240,552.432
8241,406.1606666667
8243,469.6778181818
8245,461.9179166667
8249,397.796
8256,525.003
8258,602.671
8259,598.8378888889
8265,413.73925
8270,595.6098
8271,810.528
8285,760.198
8290,645.7067272727
8296,747.1978333333
8297,371.4766
8300,706.308
8306,416.24925
8310,679.3215555556
8311,562.6421428571
8312,544.737
8313,587.3763333333
8314,498.492
8323,538.4926666667
8325,583.519
8329,553.1818
8334,510.4866666667
8337,557.6277142857
8343,412.865
8348,606.8609090909
8353,374.0603333333
8354,454.9441428571
8365,602.8507777778
8366,560.9035454545
8369,388.0463333333
8374,678.8722857143
8378,556.958
8387,574.678875
8388,522.0002857143
8395,622.3205
8420,434.186
8430,512.688375
9104,321.845
9165,698.5345
9302,643.8958
9308,365.8448
100000,646.5074545455
