,accession_id,phenotype_value
0,159,2.0
1,403,2.0
2,991,1.0
3,992,1.0
4,1002,1.0
5,1006,2.0
6,1061,2.0
7,1062,3.0
8,1063,2.0
9,1070,2.0
10,1257,2.0
11,1317,2.0
12,1829,3.0
13,1872,3.0
14,1925,2.0
15,2016,1.0
16,2057,1.0
17,2171,0.5
18,5717,2.0
19,5720,2.0
20,5784,2.0
21,5831,3.0
22,5832,3.0
23,5836,2.0
24,5837,3.0
25,5856,2.0
26,5865,2.0
27,5867,1.0
28,5893,2.0
29,5984,1.0
30,6008,2.0
31,6009,3.0
32,6010,2.0
33,6011,2.0
34,6016,1.0
35,6017,2.0
36,6019,1.0
37,6021,2.0
38,6022,1.0
39,6023,2.0
40,6024,3.0
41,6025,3.0
42,6030,2.0
43,6034,2.0
44,6035,2.0
45,6038,2.0
46,6040,2.0
47,6041,2.0
48,6046,3.0
49,6064,2.0
50,6069,2.0
51,6073,3.0
52,6076,3.0
53,6077,3.0
54,6085,3.0
55,6086,3.0
56,6087,3.0
57,6090,3.0
58,6091,3.0
59,6092,3.0
60,6095,2.0
61,6097,2.0
62,6098,2.0
63,6099,1.0
64,6104,2.0
65,6106,3.0
66,6107,2.0
67,6109,3.0
68,6111,1.0
69,6112,1.0
70,6114,2.0
71,6115,2.0
72,6118,1.0
73,6119,2.0
74,6122,2.0
75,6123,0.5
76,6124,2.0
77,6125,1.0
78,6128,1.0
79,6131,2.0
80,6132,3.0
81,6133,3.0
82,6134,2.0
83,6136,3.0
84,6137,2.0
85,6138,3.0
86,6140,2.0
87,6141,2.0
88,6142,3.0
89,6145,3.0
90,6148,2.0
91,6149,2.0
92,6150,3.0
93,6151,2.0
94,6154,2.0
95,6163,2.0
96,6169,2.0
97,6172,3.0
98,6177,1.0
99,6180,2.0
100,6184,2.0
101,6188,0.5
102,6189,2.0
103,6191,1.0
104,6194,2.0
105,6195,1.0
106,6201,1.0
107,6202,0.5
108,6203,1.0
109,6209,2.0
110,6210,1.0
111,6214,2.0
112,6216,2.0
113,6217,3.0
114,6218,1.0
115,6220,2.0
116,6221,1.0
117,6231,0.5
118,6235,1.0
119,6237,3.0
120,6240,1.0
121,6241,2.0
122,6242,1.0
123,6243,1.0
124,6244,1.0
125,6255,2.0
126,6258,2.0
127,6268,3.0
128,6276,3.0
129,6284,3.0
130,6396,2.0
131,6897,3.0
132,6898,2.0
133,6900,1.0
134,6903,1.0
135,6904,0.0
136,6907,1.0
137,6909,2.0
138,6911,2.0
139,6913,3.0
140,6917,3.0
141,6919,1.0
142,6920,2.0
143,6922,1.0
144,6923,2.0
145,6924,1.0
146,6926,2.0
147,6929,0.5
148,6931,3.0
149,6932,1.0
150,6933,3.0
151,6938,2.0
152,6940,3.0
153,6943,3.0
154,6944,2.0
155,6945,3.0
156,6951,2.0
157,6956,1.0
158,6957,3.0
159,6958,0.5
160,6959,0.5
161,6960,0.5
162,6963,0.5
163,6966,0.5
164,6967,0.5
165,6968,0.5
166,6969,0.5
167,6971,1.0
168,6973,0.5
169,6974,0.5
170,6975,0.5
171,6976,1.0
172,6979,1.0
173,6981,1.0
174,6982,1.0
175,6984,2.0
176,6987,0.5
177,6989,0.5
178,6990,0.5
179,6992,1.0
180,7000,0.5
181,7002,1.0
182,7013,0.5
183,7028,0.5
184,7062,2.0
185,7071,0.5
186,7081,2.0
187,7092,2.0
188,7094,0.5
189,7102,0.5
190,7109,2.0
191,7126,1.0
192,7143,2.0
193,7147,0.5
194,7163,0.5
195,7164,2.0
196,7169,1.0
197,7181,1.0
198,7186,0.5
199,7192,2.0
200,7231,1.0
201,7244,1.0
202,7255,2.0
203,7258,1.0
204,7268,0.5
205,7276,1.0
206,7282,1.0
207,7287,1.0
208,7296,3.0
209,7316,1.0
210,7320,2.0
211,7323,3.0
212,7337,3.0
213,7343,1.5
214,7353,3.0
215,7372,0.5
216,7378,2.0
217,7382,0.5
218,7384,2.0
219,7413,0.0
220,7424,2.0
221,7460,2.0
222,7461,3.0
223,7477,2.0
224,7514,1.0
225,7515,3.0
226,7516,3.0
227,7517,2.0
228,7520,1.0
229,7521,1.0
230,7523,1.5
231,7525,2.0
232,8222,2.0
233,8227,1.5
234,8230,2.0
235,8231,2.0
236,8233,3.0
237,8235,2.0
238,8236,3.0
239,8240,2.0
240,8241,3.0
241,8243,0.0
242,8247,3.0
243,8249,2.0
244,8256,1.0
245,8259,1.0
246,8283,2.0
247,8284,2.0
248,8285,2.0
249,8290,0.5
250,8297,3.0
251,8306,3.0
252,8307,1.0
253,8311,0.5
254,8312,2.0
255,8334,2.0
256,8335,2.0
257,8343,2.0
258,8351,1.0
259,8354,0.5
260,8365,1.0
261,8366,2.0
262,8369,2.0
263,8386,2.0
264,8420,3.0
265,8424,1.0
266,9057,3.0
267,9058,3.0
268,9104,2.0
269,9323,2.0
270,9332,2.0
271,9336,0.5
272,9339,1.0
273,9343,3.0
274,9352,3.0
275,9353,3.0
276,9363,3.0
277,9369,2.0
278,9371,3.0
279,9380,3.0
280,9381,2.0
281,9382,2.0
282,9383,3.0
283,9386,2.0
284,9388,3.0
285,9390,0.5
286,9391,2.0
287,9392,1.0
288,9399,2.0
289,9402,2.0
290,9404,3.0
291,9405,2.0
292,9407,1.0
293,9408,2.0
294,9409,3.0
295,9412,2.0
296,9413,0.5
297,9416,2.0
298,9421,0.5
299,9427,1.0
300,9433,3.0
301,9436,0.5
302,9450,0.5
303,9451,2.0
304,9452,1.0
305,9453,3.0
306,9455,3.0
307,9471,2.0
308,9476,3.0
