,accession_id,phenotype_value
0,991,6.262221833
1,992,6.16966
2,997,9.328636833
3,998,5.088837083
4,1002,5.489067
5,1061,2.912491
6,1070,3.95417675
7,1072,4.263654583
8,1166,7.003753667
9,1256,3.464327167
10,1312,6.57634575
11,1317,5.179716167
12,1366,6.0197365
13,1391,5.968280333
14,1435,5.782828583
15,5836,2.373365417
16,5856,5.80882125
17,5860,4.973806833
18,5865,6.595385167
19,5867,6.3325375
20,5870,5.584137083
21,6016,4.278936917
22,6020,5.3405405
23,6021,3.754776167
24,6022,4.767537667
25,6023,4.334234833
26,6025,4.073017
27,6030,5.4857015
28,6069,5.637233667
29,6074,4.979871083
30,6076,4.007082833
31,6086,6.336739083
32,6087,5.828622667
33,6091,6.507014333
34,6092,4.932341333
35,6095,3.902318417
36,6097,4.285890167
37,6098,5.3308885
38,6099,4.644347667
39,6100,5.475732
40,6104,7.839879333
41,6106,5.670920417
42,6107,6.408250667
43,6111,5.410411667
44,6114,4.9133125
45,6115,4.466060833
46,6116,6.193715917
47,6118,8.409707167
48,6123,6.140873333
49,6124,4.400804
50,6125,5.13781675
51,6127,5.744823833
52,6134,5.511112083
53,6136,5.095663333
54,6137,7.417741917
55,6138,5.181473
56,6140,6.638078333
57,6141,4.9219485
58,6142,4.417716167
59,6144,7.803134
60,6146,4.7631985
61,6149,6.150377167
62,6150,6.760696833
63,6169,7.285111583
64,6170,6.961113417
65,6171,6.406747833
66,6172,7.418757917
67,6180,6.222894167
68,6189,5.056970667
69,6194,5.453993833
70,6195,5.331946833
71,6197,5.722789333
72,6199,6.987010833
73,6201,8.155707167
74,6207,6.403996167
75,6210,7.191734833
76,6226,6.125569833
77,6231,8.719947
78,6235,8.810879
79,6237,9.318519167
80,6240,5.280226083
81,6242,6.094264333
82,6243,5.279517
83,6244,7.67356225
84,6258,8.590999667
85,6974,5.907828333
86,7519,5.645996667
87,8222,3.893058
88,8225,6.307560833
89,8240,3.993186917
90,8241,7.117471583
91,8247,5.309467833
92,8256,5.677429167
93,8258,5.076528667
94,8259,5.984038917
95,8306,4.480898667
96,8307,4.370239333
97,8369,5.0490755
98,8386,3.68144425
99,8387,2.275543667
100,8427,4.4053125
101,9057,5.73185925
102,9321,7.001107833
103,9332,5.36870275
104,9336,4.808802083
105,9351,4.643585667
106,9353,4.973044833
107,9356,3.486996667
108,9369,6.4375665
109,9381,4.063449667
110,9385,6.511395833
111,9386,6.906873833
112,9388,3.381798333
113,9391,5.574612083
114,9392,4.938733667
115,9399,4.538069833
116,9404,5.676063917
117,9407,2.9804995
118,9408,4.157069833
119,9409,5.665046667
120,9413,3.432884083
121,9418,5.294936917
122,9421,5.3077745
123,9433,8.16483
124,9434,6.006719
125,9436,3.9417625
126,9450,5.56929925
127,9451,3.419242167
128,9452,4.995851917
129,9469,6.049666167
130,9481,4.256786
131,9482,4.990898917
