,accession_id,phenotype_value
0,5837,15.7
1,6009,9.2
2,6043,10.9
3,6046,9.0
4,6897,16.2
5,6898,11.6
6,6899,11.0
7,6900,14.6
8,6901,12.6
9,6903,11.5
10,6904,16.9
11,6905,15.0
12,6906,11.2
13,6907,16.7
14,6908,13.9
15,6909,16.4
16,6910,16.9
17,6911,15.4
18,6913,8.8
19,6914,12.8
20,6915,10.2
21,6916,12.4
22,6917,8.5
23,6918,11.3
24,6919,16.2
25,6920,10.6
26,6921,11.7
27,6922,15.6
28,6923,13.4
29,6924,16.7
30,6926,17.3
31,6927,13.4
32,6928,15.7
33,6929,14.2
34,6930,12.7
35,6931,15.4
36,6932,14.7
37,6933,16.0
38,6936,14.5
39,6937,17.1
40,6939,16.5
41,6940,12.7
42,6942,13.7
43,6943,15.7
44,6944,11.5
45,6945,17.1
46,6946,15.8
47,6951,11.3
48,6956,14.2
49,6958,17.2
50,6959,16.6
51,6960,16.9
52,6961,15.6
53,6962,11.5
54,6963,15.8
55,6964,10.1
56,6965,15.5
57,6966,15.4
58,6967,17.4
59,6968,10.6
60,6969,11.8
61,6970,11.5
62,6971,14.5
63,6972,15.7
64,6973,15.2
65,6974,17.7
66,6975,14.1
67,6976,15.6
68,6977,14.1
69,6978,10.6
70,6979,13.0
71,6980,13.7
72,6981,14.8
73,6982,15.8
74,6983,12.2
75,6984,13.9
76,6985,9.2
77,7438,14.0
78,7514,14.9
79,7515,11.3
80,7516,18.4
81,7517,15.9
82,7518,10.1
83,7519,12.7
84,7520,14.3
85,7521,15.6
86,7522,13.3
87,7523,13.0
88,7524,14.1
89,7525,13.8
90,7526,12.4
91,8213,16.4
92,8214,15.9
93,8215,14.6
94,8424,13.8
