,accession_id,phenotype_value
0,5837,1.0
1,6009,1.0
2,6043,1.0
3,6046,1.0
4,6897,1.0
5,6898,0.0
6,6899,0.0
7,6901,1.0
8,6903,1.0
9,6904,1.0
10,6905,0.0
11,6906,1.0
12,6907,0.0
13,6908,1.0
14,6909,0.0
15,6910,1.0
16,6911,1.0
17,6913,1.0
18,6914,0.0
19,6915,0.0
20,6916,1.0
21,6917,1.0
22,6918,1.0
23,6919,1.0
24,6920,1.0
25,6921,1.0
26,6923,1.0
27,6924,0.0
28,6926,1.0
29,6927,1.0
30,6928,1.0
31,6929,1.0
32,6930,0.0
33,6931,1.0
34,6932,1.0
35,6933,1.0
36,6936,1.0
37,6937,1.0
38,6939,1.0
39,6940,1.0
40,6942,1.0
41,6943,1.0
42,6944,0.0
43,6945,1.0
44,6946,1.0
45,6956,1.0
46,6958,0.0
47,6959,1.0
48,6960,1.0
49,6961,1.0
50,6962,1.0
51,6963,1.0
52,6964,1.0
53,6965,1.0
54,6970,1.0
55,6971,1.0
56,6972,0.0
57,6973,1.0
58,6974,1.0
59,6975,1.0
60,6976,1.0
61,6977,0.0
62,6978,1.0
63,6979,0.0
64,6980,0.0
65,6981,1.0
66,6982,1.0
67,6983,1.0
68,6984,1.0
69,6985,1.0
70,7438,1.0
71,7514,1.0
72,7515,1.0
73,7517,1.0
74,7518,0.0
75,7519,1.0
76,7520,1.0
77,7521,1.0
78,7522,1.0
79,7523,1.0
80,7525,1.0
81,7526,1.0
82,8213,0.0
83,8214,1.0
84,8215,1.0
85,8424,1.0
