,accession_id,phenotype_value
0,5837,4.47
1,6009,5.97
2,6043,5.17
3,6046,4.3
4,6897,5.89
5,6898,5.71
6,6899,5.99
7,6900,4.98
8,6903,4.43
9,6904,5.76
10,6905,6.44
11,6906,4.99
12,6907,6.51
13,6908,6.17
14,6909,4.03
15,6910,6.79
16,6911,5.87
17,6913,4.45
18,6914,5.92
19,6915,5.73
20,6916,5.31
21,6917,4.87
22,6918,5.59
23,6919,5.47
24,6920,7.56
25,6921,8.11
26,6922,4.37
27,6923,6.35
28,6924,5.56
29,6926,4.57
30,6927,6.14
31,6928,7.14
32,6929,4.79
33,6930,4.91
34,6931,4.96
35,6932,2.45
36,6933,7.57
37,6937,5.81
38,6939,4.05
39,6940,5.61
40,6942,3.37
41,6943,7.08
42,6944,5.8
43,6945,4.67
44,6946,5.3
45,6951,4.86
46,6956,5.23
47,6958,8.66
48,6959,6.53
49,6960,6.66
50,6961,7.88
51,6962,4.39
52,6963,5.34
53,6964,4.48
54,6965,5.91
55,6966,6.16
56,6967,4.86
57,6968,6.6
58,6969,6.96
59,6970,5.31
60,6971,6.63
61,6972,4.56
62,6973,4.45
63,6975,4.77
64,6976,5.89
65,6977,5.05
66,6978,5.9
67,6979,5.45
68,6981,4.16
69,6982,5.77
70,6984,5.27
71,6985,3.79
72,7438,2.59
73,7514,6.83
74,7515,6.14
75,7516,4.71
76,7518,4.06
77,7519,4.32
78,7520,4.38
79,7521,4.93
80,7522,4.7
81,7523,5.29
82,7524,5.97
83,7525,4.43
84,7526,5.03
85,8213,4.63
86,8214,6.35
87,8215,5.92
88,8424,7.55
