,accession_id,phenotype_value
0,5837,8640.28
1,6009,8638.72
2,6043,10083.6
3,6046,10502.2
4,6898,9518.03
5,6899,7442.01
6,6900,8715.8
7,6901,8412.12
8,6903,7699.4
9,6904,8748.34
10,6905,10756.7
11,6906,9299.09
12,6907,9426.05
13,6908,8922.27
14,6909,6962.63
15,6910,8029.28
16,6911,8565.53
17,6913,9872.53
18,6914,10274.4
19,6915,8306.73
20,6916,9429.25
21,6917,9200.61
22,6918,8620.92
23,6919,8757.08
24,6920,7976.0
25,6921,7963.66
26,6922,7323.57
27,6923,7984.17
28,6924,7558.51
29,6926,7875.98
30,6927,7076.98
31,6928,7047.64
32,6929,8292.43
33,6930,10330.8
34,6931,8046.88
35,6932,8710.26
36,6933,8637.58
37,6936,9329.64
38,6937,7705.2
39,6939,7990.24
40,6940,8229.41
41,6942,8306.62
42,6943,7903.89
43,6944,7408.84
44,6945,8071.47
45,6946,8228.81
46,6951,8440.93
47,6956,8426.8
48,6958,8643.93
49,6959,8645.05
50,6960,9203.9
51,6961,7063.76
52,6962,9230.09
53,6963,9446.04
54,6964,7294.04
55,6965,8927.71
56,6966,8285.46
57,6967,6973.96
58,6968,8478.2
59,6969,9811.58
60,6970,7202.17
61,6971,6753.18
62,6972,6974.11
63,6973,8581.78
64,6974,7249.14
65,6975,8774.78
66,6976,7210.39
67,6977,7176.72
68,6978,8406.99
69,6979,8365.65
70,6980,7493.85
71,6981,7421.11
72,6982,7901.58
73,6983,8012.48
74,6984,6275.44
75,6985,8381.77
76,7438,8689.42
77,7514,8023.02
78,7515,8432.19
79,7516,8155.59
80,7517,7573.13
81,7518,9406.92
82,7519,8888.57
83,7520,8195.5
84,7521,7868.13
85,7522,6788.66
86,7523,7615.41
87,7524,7149.32
88,7526,8549.19
89,8213,10904.7
90,8214,9050.24
91,8215,9390.08
92,8424,8674.62
