,accession_id,phenotype_value
0,5837,1.0
1,6009,1.0
2,6046,1.0
3,6898,1.0
4,6899,1.0
5,6900,0.0
6,6901,0.0
7,6903,1.0
8,6904,1.0
9,6905,1.0
10,6906,0.0
11,6907,0.0
12,6908,1.0
13,6909,1.0
14,6910,1.0
15,6911,0.0
16,6914,1.0
17,6915,1.0
18,6916,1.0
19,6917,1.0
20,6918,0.0
21,6919,0.0
22,6920,1.0
23,6921,1.0
24,6922,1.0
25,6923,1.0
26,6924,1.0
27,6926,0.0
28,6927,0.0
29,6928,0.0
30,6929,0.0
31,6931,1.0
32,6932,1.0
33,6936,0.0
34,6937,0.0
35,6939,0.0
36,6940,0.0
37,6942,0.0
38,6943,1.0
39,6944,0.0
40,6945,1.0
41,6946,1.0
42,6951,1.0
43,6956,1.0
44,6958,0.0
45,6959,1.0
46,6960,1.0
47,6961,1.0
48,6962,1.0
49,6963,1.0
50,6964,0.0
51,6965,1.0
52,6966,1.0
53,6967,0.0
54,6968,1.0
55,6969,1.0
56,6970,1.0
57,6971,0.0
58,6972,1.0
59,6973,0.0
60,6974,1.0
61,6975,1.0
62,6976,1.0
63,6978,1.0
64,6979,0.0
65,6980,1.0
66,6981,1.0
67,6982,0.0
68,6983,0.0
69,6984,1.0
70,6985,0.0
71,7438,1.0
72,7514,1.0
73,7515,0.0
74,7516,0.0
75,7517,1.0
76,7518,1.0
77,7520,1.0
78,7521,1.0
79,7522,0.0
80,7523,0.0
81,7524,0.0
82,7525,1.0
83,7526,0.0
84,8213,1.0
85,8214,1.0
86,8424,1.0
