,accession_id,phenotype_value
0,96,2.4
1,149,0.0
2,206,2.0
3,224,3.4
4,236,1.0
5,252,0.8
6,262,1.0
7,264,5.0
8,394,2.2
9,936,1.4
10,1719,7.2
11,1743,5.0
12,1850,4.0
13,1859,2.0
14,1874,0.75
15,1967,2.0
16,2011,4.2
17,2057,1.6
18,2171,1.2
19,2290,2.6
20,4802,4.0
21,4879,3.2
22,5122,2.2
23,5145,1.4
24,5175,0.8
25,5299,5.0
26,5373,1.4
27,5444,4.4
28,5494,3.8
29,5590,0.2
30,5628,3.6
31,5719,2.2
32,5721,1.0
33,5722,2.2
34,5728,2.0
35,5729,0.4
36,5736,1.2
37,5738,1.2
38,5739,3.0
39,5742,1.2
40,5744,0.5999999999999999
41,5746,0.2
42,5752,3.2
43,5785,2.2
44,5788,1.6
45,5805,1.8
46,5812,1.2
47,5816,2.4
48,5817,3.8
49,5837,3.4
50,6040,2.4
51,6074,1.2
52,6243,2.8
53,6897,2.4
54,6898,2.6
55,6899,3.0
56,6903,3.4
57,6906,3.4
58,6907,2.4
59,6909,4.2
60,6913,4.4
61,6915,6.2
62,6919,3.8
63,6926,1.0
64,6928,0.0
65,6930,7.0
66,6931,5.6
67,6932,5.0
68,6936,3.4
69,6940,4.75
70,6943,3.0
71,6944,0.5999999999999999
72,6946,2.8
73,6951,2.3333
74,6956,3.4
75,6959,4.6
76,6960,1.0
77,6961,5.0
78,6963,6.6
79,6965,2.8
80,6968,0.2
81,6973,4.4
82,6977,1.0
83,6978,3.4
84,6981,4.6
85,6982,3.2
86,6985,2.4
87,6987,2.4
88,6988,0.5999999999999999
89,7000,1.2
90,7008,4.0
91,7015,1.8
92,7026,3.2
93,7028,1.6
94,7062,4.6
95,7075,2.6
96,7079,1.4
97,7080,4.6
98,7102,3.6
99,7121,2.6
100,7123,3.4
101,7126,2.6
102,7139,1.6
103,7143,2.6
104,7145,1.8
105,7147,4.0
106,7151,5.2
107,7164,5.0
108,7166,1.4
109,7169,1.0
110,7172,3.2
111,7178,1.4
112,7192,3.4
113,7201,3.6
114,7210,4.4
115,7224,3.2
116,7255,4.4
117,7262,4.0
118,7275,5.2
119,7282,4.6
120,7284,3.4
121,7291,2.0
122,7299,3.0
123,7306,2.4
124,7309,1.6
125,7316,3.2
126,7320,3.6
127,7331,5.2
128,7337,5.0
129,7344,3.6
130,7351,1.8
131,7353,1.8
132,7355,3.6
133,7378,5.6
134,7379,3.2
135,7384,5.2
136,7390,1.2
137,7404,5.8
138,7408,3.8
139,7418,3.6
140,7424,3.4
141,7477,3.0
142,7498,1.0
143,7514,3.8
144,7515,4.4
145,7518,1.8
146,7519,2.0
147,7523,0.5999999999999999
148,7525,0.5999999999999999
149,8214,4.2
150,8215,2.4
151,8230,1.8
152,8233,1.6
153,8236,2.8
154,8239,4.0
155,8240,3.6
156,8243,2.2
157,8258,2.8
158,8270,3.4
159,8271,2.4
160,8275,2.8
161,8284,3.8
162,8297,1.8
163,8304,2.4
164,8306,3.2
165,8310,1.4
166,8311,5.2
167,8312,1.8
168,8314,0.8
169,8329,2.6
170,8334,6.2
171,8348,3.0
172,8354,2.8
173,8366,6.6
174,8420,2.4
175,8422,3.6
176,8430,2.6
177,8631,3.2
178,8725,1.4
179,8787,2.2
180,8811,0.8
181,9012,0.2
182,9057,4.4
183,9077,0.8
184,9104,5.6
185,9152,2.8
186,9179,4.8
187,9302,2.2
188,9308,2.2
189,9309,3.6
