,accession_id,phenotype_value
0,96,32.4808
1,149,33.9268
2,206,29.0578
3,224,40.8704
4,236,24.2452
5,252,26.1504
6,262,27.603
7,264,37.2782
8,394,31.0776
9,936,31.44
10,1719,45.3334
11,1743,25.7094
12,1850,35.0122
13,1859,30.9588
14,1874,29.598
15,1967,32.2626
16,2011,43.0482
17,2057,39.0306
18,2171,31.371
19,2290,27.5672
20,4802,35.1172
21,4879,41.5318
22,5122,24.8482
23,5145,33.2788
24,5175,17.299
25,5299,36.211
26,5373,34.7924
27,5444,35.9488
28,5494,29.858
29,5590,25.325
30,5628,29.8386
31,5719,41.1314
32,5721,25.3216
33,5722,36.4248
34,5728,28.4664
35,5729,24.4602
36,5736,42.5908
37,5738,28.498
38,5739,36.1414
39,5742,34.5378
40,5744,26.154
41,5746,23.8016
42,5752,37.3772
43,5785,27.5972
44,5788,38.6764
45,5805,25.6102
46,5812,23.7252
47,5816,33.5064
48,5817,31.8966
49,5837,32.6942
50,6040,39.1536
51,6074,24.506
52,6243,31.8794
53,6897,34.1878
54,6898,36.3534
55,6899,32.5478
56,6903,36.0084
57,6906,30.0618
58,6907,35.5328
59,6909,41.3106
60,6913,40.4692
61,6915,44.6316
62,6919,41.3244
63,6926,29.6426
64,6928,30.5506
65,6930,50.8472
66,6931,46.2998
67,6932,43.694
68,6936,40.6442
69,6940,31.5294
70,6943,39.3018
71,6944,31.9208
72,6946,39.8134
73,6951,36.815
74,6956,36.9218
75,6959,26.518
76,6960,29.5946
77,6961,34.7128
78,6963,48.9104
79,6965,34.042
80,6968,36.8984
81,6973,40.0914
82,6977,34.0118
83,6978,39.3036
84,6981,39.3622
85,6982,39.0208
86,6985,31.2474
87,6987,29.3492
88,6988,21.0248
89,7000,36.0324
90,7008,38.2178
91,7015,41.7196
92,7026,32.8272
93,7028,32.959
94,7062,45.3714
95,7075,32.771
96,7079,24.4046
97,7080,27.1502
98,7102,41.09
99,7121,31.1164
100,7123,28.346
101,7126,40.1094
102,7139,32.1274
103,7143,39.2936
104,7145,33.243
105,7147,40.2044
106,7151,30.4078
107,7164,35.9154
108,7166,34.8092
109,7169,40.27
110,7172,48.063
111,7178,27.22
112,7192,33.8424
113,7201,36.0088
114,7210,41.1
115,7224,44.5604
116,7255,44.6634
117,7262,50.0378
118,7275,45.9664
119,7282,53.2616
120,7284,33.3232
121,7291,29.6772
122,7299,31.2018
123,7306,29.0422
124,7309,44.9792
125,7316,44.72
126,7320,32.2994
127,7331,50.4662
128,7337,38.8598
129,7344,40.958
130,7351,39.1852
131,7353,43.038
132,7355,41.2722
133,7378,22.3344
134,7379,18.4576
135,7384,35.0416
136,7390,27.6582
137,7404,39.8204
138,7408,39.229
139,7418,39.6622
140,7424,30.6878
141,7477,34.063
142,7498,28.9754
143,7514,36.1832
144,7515,38.599
145,7518,31.9532
146,7519,32.607
147,7523,38.1022
148,7525,33.4952
149,8214,39.5726
150,8215,31.362
151,8230,34.859
152,8236,41.6148
153,8239,41.0752
154,8240,30.7182
155,8243,44.8826
156,8249,25.47825
157,8258,40.7534
158,8270,38.1664
159,8271,42.5514
160,8275,26.8076
161,8297,31.6956
162,8304,32.1488
163,8306,34.8148
164,8310,42.963
165,8311,39.278
166,8312,47.6996
167,8314,31.3326
168,8329,41.0878
169,8334,46.4568
170,8348,31.6108
171,8351,40.376
172,8354,35.1412
173,8366,48.5382
174,8420,38.014
175,8422,39.992
176,8430,48.1902
177,8631,33.571
178,8725,25.8354
179,8787,33.2556
180,8811,21.6518
181,9012,28.7424
182,9057,37.6822
183,9077,19.5342
184,9104,38.3906
185,9152,29.046
186,9179,42.792
187,9302,36.4162
188,9308,27.285
189,9309,29.0074
