,accession_id,phenotype_value
0,88,173.0
1,108,221.5
2,139,216.5
3,159,271.0
4,265,133.0
5,410,175.0
6,428,313.0
7,430,115.0
8,763,100.5
9,765,204.0
10,766,131.5
11,768,207.0
12,772,77.0
13,992,51.0
14,1435,189.0
15,4931,166.0
16,5151,164.0
17,5165,120.5
18,5253,151.0
19,5276,141.5
20,5644,200.5
21,5726,179.0
22,5768,132.0
23,5772,235.5
24,5784,105.0
25,5811,185.0
26,5818,170.0
27,5830,127.5
28,5867,29.0
29,5874,152.5
30,5890,162.5
31,5893,156.5
32,5907,209.0
33,5950,233.0
34,5984,188.5
35,6009,99.0
36,6023,129.5
37,6025,103.5
38,6034,129.0
39,6035,193.0
40,6040,213.5
41,6043,54.0
42,6069,26.0
43,6071,67.0
44,6073,161.0
45,6074,57.0
46,6076,71.0
47,6086,61.5
48,6088,79.0
49,6108,196.5
50,6145,51.5
51,6150,167.5
52,6151,37.5
53,6154,68.5
54,6177,45.5
55,6180,225.0
56,6184,54.0
57,6195,131.5
58,6209,122.0
59,6216,38.0
60,6241,57.0
61,6242,40.5
62,6243,225.5
63,6244,115.0
64,6390,212.0
65,6396,197.0
66,6424,282.0
67,6434,176.5
68,6898,175.0
69,6901,81.0
70,6903,209.5
71,6909,230.0
73,6911,88.5
74,6915,137.0
75,6921,77.0
76,6922,231.5
77,6929,126.5
78,6931,195.0
79,6932,180.5
80,6936,266.0
81,6937,229.0
82,6938,166.0
83,6939,207.0
84,6940,108.5
85,6944,148.0
86,6945,82.0
87,6951,289.5
88,6956,312.5
89,6958,203.0
90,6959,226.5
91,6961,134.5
92,6963,116.0
93,6964,72.5
94,6965,55.0
95,6967,197.5
96,6968,98.5
97,6970,156.5
98,6973,178.0
99,6974,38.5
100,6975,262.0
101,6979,144.5
102,6981,188.0
103,6984,193.0
104,6987,279.5
105,7000,145.0
106,7002,148.0
107,7003,222.0
108,7008,85.0
109,7010,128.0
110,7013,116.0
111,7025,310.5
112,7028,176.0
113,7031,195.5
114,7036,130.5
115,7058,85.5
116,7062,160.0
117,7063,209.5
118,7064,207.0
119,7071,181.0
120,7075,108.5
121,7077,149.0
122,7092,201.0
123,7096,165.5
124,7106,121.0
125,7111,219.5
126,7120,185.0
127,7125,163.5
128,7126,96.5
129,7127,160.5
130,7143,201.0
131,7148,54.0
132,7164,78.5
133,7165,145.5
134,7177,176.0
135,7186,336.0
136,7192,110.0
137,7199,135.0
138,7202,237.0
139,7203,169.0
140,7206,176.5
141,7207,215.0
142,7209,144.0
143,7213,178.0
144,7217,173.5
145,7218,186.5
146,7231,265.5
147,7236,273.0
148,7255,216.0
149,7258,178.0
150,7268,143.5
151,7273,142.5
152,7282,168.5
153,7287,196.5
154,7288,221.0
155,7296,168.0
156,7298,191.0
157,7308,209.5
158,7314,144.0
159,7316,170.0
160,7319,260.0
161,7320,176.0
162,7322,281.5
163,7323,167.5
164,7328,155.0
165,7333,98.0
166,7344,162.0
167,7346,143.0
168,7347,102.5
169,7349,280.5
170,7353,163.5
171,7372,232.0
172,7373,141.0
173,7378,199.0
174,7382,249.0
175,7384,142.0
176,7387,148.5
177,7394,96.0
178,7396,145.0
179,7404,171.5
180,7411,200.0
181,7413,182.5
182,7418,327.0
183,7424,203.5
184,7427,43.0
185,7458,118.5
186,7460,177.0
187,7516,35.5
188,7517,49.0
189,7518,65.0
190,7520,168.0
191,8222,74.0
192,8230,37.0
193,8231,40.0
194,8240,64.0
195,8247,124.0
196,8249,71.5
