,accession_id,phenotype_value
0,159,63.0
1,265,95.0
2,403,29.0
3,763,24.0
4,765,32.0
5,766,31.0
6,768,9.0
7,772,34.0
8,1552,36.0
9,4958,92.0
10,5151,38.0
11,5165,40.0
12,5349,43.0
13,5353,101.0
14,5486,70.0
15,5577,68.0
16,5741,112.0
17,5768,44.0
18,5772,92.0
19,5779,72.0
20,5784,143.0
21,5800,110.0
22,5811,71.0
23,5856,37.0
24,6008,29.0
25,6025,40.0
26,6040,36.0
27,6042,37.0
28,6073,32.0
29,6074,31.0
30,6085,36.0
31,6090,34.0
32,6092,34.0
33,6094,34.0
34,6097,34.0
35,6098,34.0
36,6099,34.0
37,6105,35.0
38,6106,35.0
39,6107,35.0
40,6108,35.0
41,6109,35.0
42,6111,35.0
43,6112,35.0
44,6114,35.0
45,6115,35.0
46,6122,37.0
47,6125,37.0
48,6126,37.0
49,6128,37.0
50,6131,37.0
51,6132,37.0
52,6133,37.0
53,6134,37.0
54,6136,38.0
55,6137,38.0
56,6138,38.0
57,6140,38.0
58,6142,38.0
59,6145,38.0
60,6148,38.0
61,6149,38.0
62,6150,38.0
63,6151,34.0
64,6169,37.0
65,6172,37.0
66,6173,37.0
67,6174,37.0
68,6177,40.0
69,6180,40.0
70,6184,37.0
71,6188,34.0
72,6189,34.0
73,6191,34.0
74,6192,34.0
75,6193,34.0
76,6194,34.0
77,6195,34.0
78,6198,34.0
79,6201,35.0
80,6202,35.0
81,6203,35.0
82,6209,38.0
83,6210,38.0
84,6216,36.0
85,6217,36.0
86,6218,36.0
87,6235,38.0
88,6243,39.0
89,6244,37.0
90,6680,46.0
91,6897,69.0
92,6898,49.0
93,6915,79.0
94,6929,72.0
95,6932,54.0
96,6938,35.0
97,6940,48.0
98,6945,47.0
99,6958,38.0
100,6961,53.0
101,6963,64.0
102,6979,72.0
103,6986,55.0
104,6987,43.0
105,6989,73.0
106,6990,46.0
107,6992,68.0
108,6997,48.0
109,7000,48.0
110,7002,49.0
111,7003,60.0
112,7008,50.0
113,7013,36.0
114,7014,156.0
115,7025,47.0
116,7026,71.0
117,7028,47.0
118,7031,41.0
119,7036,45.0
120,7062,43.0
121,7063,24.0
122,7071,51.0
123,7072,25.0
124,7077,149.0
125,7081,129.0
126,7092,45.0
127,7102,57.0
128,7106,32.0
