,accession_id,phenotype_value
0,1,0.34053425
1,2,0.25512825
2,23,0.4600945
3,66,0.1414665
4,81,0.1197865
5,91,0.17902175
6,94,0.212538
7,96,0.18187775
8,104,0.05179625
9,116,0.260708
10,126,0.565002
11,149,0.4193645
12,166,0.2363975
13,173,0.205418
14,178,0.2205225
15,223,0.23190725
16,242,0.13030725
17,258,0.156797
18,259,0.1446415
19,260,0.1728975
20,267,0.293773
21,281,0.22642125
22,282,0.2617975
23,321,0.1770685
24,328,0.112347
25,362,0.49207025
26,366,0.17321675
27,373,0.21471725
28,374,0.31994325
29,378,0.626642
30,379,0.21417275
31,380,0.22578325
32,383,0.11978625
33,386,0.1760725
34,390,0.24614825
35,392,0.2453775
36,641,0.321165
37,957,0.3117335
38,1716,0.1710375
39,1859,0.23825725
40,1867,0.194897
41,1925,0.2958585
42,1967,0.0
43,2057,0.285789
44,2150,0.1160665
45,2187,0.121327
46,2274,0.25916725
47,2290,0.27372725
48,4802,0.13479775
49,4997,0.12822175
50,5056,0.59049525
51,5116,0.52408475
52,5122,0.1338015
53,5158,0.23957225
54,5160,0.131397
55,5202,0.31173375
56,5207,0.09887625
57,5232,0.13928775
58,5245,0.09942125
59,5264,0.2868785
60,5341,0.13216725
61,5380,0.39133425
62,5381,0.31939875
63,5565,0.243518
64,5606,0.085406
65,5628,0.140922
66,5719,0.145412
67,5742,0.25063825
68,5753,0.21997775
69,5785,0.335367
70,5805,0.10468175
71,5832,0.12055675
72,5837,0.2291835
73,5896,0.23793825
74,5987,0.33953825
75,6008,0.100962
76,6019,0.07456625
77,6020,0.10259625
78,6039,0.09701675
79,6042,0.50041225
80,6046,0.12055675
81,6074,0.1814265
82,6076,0.22523825
83,6085,0.15253225
84,6094,0.126907
85,6096,0.22873225
86,6098,0.21657725
87,6100,0.1179265
88,6109,0.17661725
89,6112,0.37446325
90,6119,0.189862
91,6169,0.25621775
92,6188,0.32343775
93,6190,0.366479
94,6194,0.33636325
95,6203,0.1369765
96,6242,0.12690675
97,6243,0.132712
98,6318,0.252498
99,6413,0.13008175
100,6448,0.138743
101,6449,0.14060275
102,6709,0.199387
103,6727,0.098106
104,6729,0.28120525
105,6730,0.1443225
106,6744,0.28107325
107,6810,0.149583
108,6847,0.4267105
109,6897,0.085406
110,6898,0.2218375
111,6899,0.1675435
112,6903,0.2649725
113,6904,0.23290325
114,6906,0.323344
115,6909,0.13774675
116,6910,0.09833175
117,6911,0.3085585
118,6913,0.229277
119,6914,0.25907375
120,6916,0.13960675
121,6919,0.0943865
122,6921,0.109172
123,6924,0.41160575
124,6926,0.10971675
125,6928,0.40906925
126,6933,0.1533025
127,6936,0.17475725
128,6937,0.1424625
129,6939,0.1347975
130,6940,0.112347
131,6943,0.29409225
132,6944,0.140058
133,6946,0.09044075
134,6951,0.0661305
135,6953,0.12504675
136,6958,0.37677425
137,6959,0.2741785
138,6961,0.187364
139,6962,0.076426
140,6967,0.2609335
141,6968,0.3204875
142,6970,0.328923
143,6973,0.17716225
144,6976,0.31753875
145,6977,0.167637
146,6979,0.2332225
147,6980,0.22283375
148,6982,0.30756275
149,6983,0.268918
150,6985,0.209908
151,6988,0.222927
152,6989,0.240343
153,6990,0.36144425
154,6992,0.2195265
155,6994,0.21997775
156,6996,0.146727
157,6998,0.09284575
158,7000,0.11606675
159,7002,0.25708175
160,7004,0.17520875
161,7008,0.1433265
162,7011,0.2250125
163,7014,0.1392875
164,7015,0.34271325
165,7026,0.2363975
166,7031,0.21471725
167,7034,0.14278175
168,7035,0.24646725
169,7062,0.1773875
170,7069,0.1401515
171,7071,0.257533
172,7075,0.12373175
173,7078,0.52712775
174,7080,0.11420675
175,7092,0.1274515
176,7094,0.074566
177,7098,0.28556325
178,7100,0.10336675
179,7102,0.0988765
180,7105,0.12482125
181,7110,0.1652325
182,7123,0.09515675
183,7126,0.251183
184,7128,0.15811225
185,7135,0.1801115
186,7139,0.15702275
187,7141,0.18614225
188,7143,0.46708225
189,7145,0.14069625
190,7147,0.13085225
191,7150,0.12164625
192,7151,0.077741
193,7158,0.12450225
194,7163,0.15920125
195,7164,0.08989625
196,7165,0.240343
197,7166,0.24133875
198,7169,0.11661125
199,7178,0.2472375
200,7181,0.1406025
201,7186,0.130533
202,7188,0.1194675
203,7199,0.13720225
204,7201,0.18187775
205,7205,0.12395725
206,7206,0.123187
207,7224,0.1392875
208,7227,0.3871635
209,7229,0.23562725
210,7231,0.1392875
211,7244,0.16369175
212,7252,0.519875
213,7255,0.213083
214,7258,0.19775275
215,7260,0.14727175
216,7263,0.1919475
217,7270,0.185823
218,7275,0.19884225
219,7277,0.4111545
220,7280,0.14695275
221,7282,0.09198175
222,7283,0.06953125
223,7284,0.047306
224,7291,0.09910225
225,7296,0.09701675
226,7300,0.4384145
227,7306,0.15865675
228,7307,0.2891895
229,7310,0.154937
230,7316,0.314683
231,7320,0.130852
232,7330,0.1747575
233,7331,0.07719625
234,7333,0.2233785
235,7337,0.11103175
236,7340,0.3707435
237,7343,0.1115765
238,7344,0.14749775
239,7346,0.05683125
240,7351,0.38475875
241,7353,0.366798
242,7354,0.10840175
243,7355,0.154937
244,7372,0.11420675
245,7373,0.05814625
246,7378,0.12450225
247,7379,0.29082375
248,7382,0.14278175
249,7384,0.17902175
250,7390,0.1491315
251,7391,0.38815925
252,7392,0.8274755
253,7394,0.18296725
254,7397,0.214398
255,7405,0.29290925
256,7408,0.15044675
257,7411,0.223923
258,7418,0.1224165
259,7424,0.12822175
260,7430,0.40054
261,7438,0.053656
262,7446,0.2246935
263,7449,0.0988765
264,7460,0.0893515
265,7472,0.09942125
266,7477,0.42022875
267,7479,0.258848
268,7482,0.1493575
269,7483,0.248008
270,7490,0.1887725
271,7492,0.28533775
272,7496,0.457014
273,7498,0.1893175
274,7502,0.21494275
275,7504,0.20201725
276,7506,0.232133
277,7507,0.352464
278,7508,0.10599675
279,7514,0.31173375
280,7515,0.050481
281,7516,0.35740525
282,7520,0.4979695
283,7521,0.12713225
284,7522,0.113981
285,7523,0.20968225
286,7525,0.37250975
287,8213,0.3916535
288,8214,0.084091
289,8215,0.09887675
290,8231,0.09964675
291,8235,0.139607
292,8236,0.09515675
293,8239,0.2320395
294,8240,0.20124675
295,8241,0.192173
296,8242,0.16183175
297,8256,0.1480425
298,8271,0.159972
299,8274,0.2440625
300,8275,0.293773
301,8296,0.08694675
302,8297,0.348293
303,8300,0.09756125
304,8304,0.12613625
305,8306,0.18482725
306,8310,0.24406275
307,8311,0.17321675
308,8314,0.12023775
309,8323,0.04862125
310,8325,0.10785675
311,8326,0.0912115
312,8329,0.158112
313,8343,0.2128575
314,8351,0.140377
315,8354,0.24669275
316,8365,0.098651
317,8374,0.13434625
318,8376,0.15384725
319,8378,0.222608
320,8387,0.1528515
321,8389,0.16500675
322,8420,0.1388365
323,8424,0.1728975
324,8610,0.3813965
325,8692,0.2004765
326,8796,0.1316225
327,100000,0.1347975
