,accession_id,phenotype_value
0,1,0.79036175
1,2,0.9448035
2,23,1.76152675
3,66,1.72912775
4,81,0.986726
5,91,2.85068625
6,94,2.301504
7,96,2.67591225
8,104,1.56337075
9,116,0.7105505
10,126,1.855809
11,149,1.42568475
12,166,1.88726175
13,173,2.03480475
14,178,1.6554975
15,223,2.295426
16,242,1.905767
17,258,2.58879475
18,259,1.442133
19,260,1.91955375
20,267,1.862212
21,281,2.146495
22,282,1.956554
23,321,2.53996525
24,328,2.45662375
25,362,1.138716
26,366,2.2101055
27,373,2.559046
28,374,2.19012125
29,378,1.301147
30,379,2.991476
31,380,1.890431
32,383,0.548448
33,386,2.83000075
34,390,1.2358155
35,392,1.3157165
36,641,1.2315705
37,957,1.03835825
38,1716,0.54798125
39,1859,1.306853
40,1867,2.54603
41,1925,1.6420245
42,1967,0.7072875
43,2057,1.94902475
44,2150,2.6240515
45,2187,2.53915
46,2274,2.06932075
47,2290,2.569746
48,4802,1.01446975
49,4997,2.2723435
50,5056,1.1544645
51,5116,0.91664825
52,5122,0.981624
53,5158,1.87252725
54,5160,1.93771825
55,5202,2.75561025
56,5207,1.28641275
57,5232,2.4800395
58,5245,2.255505
59,5264,1.25387475
60,5341,1.21646525
61,5380,1.577431
62,5381,1.23317375
63,5565,2.844451
64,5606,1.820108
65,5628,2.10413875
66,5719,2.16158875
67,5742,1.933527
68,5753,2.095974
69,5785,1.87616975
70,5805,1.80259725
71,5832,1.4770605
72,5837,2.29289075
73,5896,2.32482375
74,5987,1.852031
75,6008,3.71604375
76,6019,2.73972875
77,6020,2.30968425
78,6039,2.12570275
79,6042,2.4467755
80,6046,1.935432
81,6074,2.6378605
82,6076,1.43364075
83,6085,2.19053175
84,6094,2.0255195
85,6096,1.46065225
86,6098,1.680513
87,6100,1.90932025
88,6109,2.92098025
89,6112,2.00740175
90,6119,3.140396
91,6169,2.6972795
92,6188,2.63097375
93,6190,1.48256575
94,6194,0.87451275
95,6203,2.553193
96,6242,2.117575
97,6243,1.988642
98,6318,2.2537
99,6413,2.34262525
100,6448,2.12779875
101,6449,3.359832
102,6709,0.88211925
103,6727,2.81498475
104,6729,2.174597
105,6730,2.02972375
106,6744,2.18959475
107,6810,2.77027725
108,6847,1.19722725
109,6897,1.944231
110,6898,2.02755025
111,6899,2.02952225
112,6903,1.768182
113,6904,2.44731575
114,6906,3.7246285
115,6909,2.56486975
116,6910,2.33603525
117,6911,1.93282225
118,6913,2.42926275
119,6914,1.309969
120,6916,3.12921125
121,6919,2.295667
122,6921,2.15194675
123,6924,1.31083275
124,6926,3.36739
125,6928,2.057273
126,6933,0.786101
127,6936,1.74157325
128,6937,2.21667775
129,6939,2.58702025
130,6940,2.47755975
131,6943,1.56524375
132,6944,0.350572
133,6946,0.38434625
134,6951,1.66022125
135,6953,2.59636975
136,6958,1.5875015
137,6959,2.69260325
138,6961,2.64423675
139,6962,2.707698
140,6967,1.5698225
141,6968,0.754283
142,6970,1.414312
143,6973,2.92896925
144,6976,2.10899325
145,6977,2.117257
146,6979,2.5847645
147,6980,2.644379
148,6982,2.606096
149,6983,2.58590275
150,6985,1.90281825
151,6988,1.50046925
152,6989,1.48170975
153,6990,2.681667
154,6992,2.74983475
155,6994,2.01888075
156,6996,3.393413
157,6998,2.044063
158,7000,1.763674
159,7002,1.639912
160,7004,1.3498205
161,7008,2.483928
162,7011,2.740078
163,7014,3.00517175
164,7015,1.77650475
165,7026,3.425595
166,7031,1.91996275
167,7034,2.5306265
168,7035,2.35789325
169,7062,3.0262005
170,7069,1.53794675
171,7071,1.844302
172,7075,2.056829
173,7078,2.90613475
174,7080,2.099537
175,7092,2.16317175
