,accession_id,phenotype_value
0,1,2.344466035
1,2,1.714044489
2,23,-0.004528284
3,66,3.508826712
4,81,1.536160281
5,91,1.402958849
6,94,1.835998807
7,96,3.012125543
8,104,1.075123155
9,116,0.684904081
10,126,0.447426538
11,149,-0.76347641
12,166,2.03689444
13,173,3.790334705
14,178,0.254184719
15,223,1.292217041
16,242,2.096894281
17,258,4.600027973
18,259,2.286180161
19,260,2.186391556
20,267,1.052192273
21,281,1.287207432
22,282,0.280026498
23,321,2.524644353
24,328,2.828417104
25,362,-0.452919872
26,366,1.171986354
27,373,2.106937754
28,374,0.039965306
29,378,0.690078356
30,379,0.954931067
31,380,1.565937221
32,383,0.227408743
33,386,2.598113671
34,390,3.160731797
35,392,0.553907322
36,641,2.205457155
37,957,1.078428982
38,1716,2.120734838
39,1859,1.14702206
40,1867,1.823342326
41,1925,0.634484542
42,1967,0.71077494
43,2057,1.38422616
44,2150,2.324275535
45,2187,0.732781717
46,2274,2.025345138
47,2290,0.732563416
48,4802,1.204811348
49,4997,1.464843632
50,5056,0.891795015
51,5116,0.76384334
52,5122,3.030856494
53,5158,2.147147927
54,5160,1.834648645
55,5202,1.718999744
56,5207,0.689440935
57,5232,3.590954393
58,5245,3.83206061
59,5264,0.010109133
60,5341,0.375020567
61,5380,-0.108543315
62,5381,1.159312863
63,5565,0.646849404
64,5606,0.387626258
65,5628,2.035056305
66,5719,1.032917885
67,5742,0.46986787
68,5753,0.539889192
69,5785,0.260331181
70,5805,4.209579357
71,5832,0.32403066
72,5837,1.443624878
73,5896,0.601282358
74,5987,0.655299712
75,6008,4.154891451
76,6019,1.387622126
77,6020,1.083326916
78,6039,2.906319602
79,6042,0.631548056
80,6046,0.357862364
81,6074,1.97248776
82,6076,-0.513857662
83,6085,2.356920201
84,6094,3.06419804
85,6096,0.634022451
86,6098,0.28831379
87,6100,2.978672134
88,6109,0.791492778
89,6112,1.155609475
90,6119,0.891347642
91,6169,1.320487437
92,6188,0.769463835
93,6190,1.666914893
94,6194,1.443992708
95,6203,1.498538944
96,6318,1.151774102
97,6413,1.428599673
98,6448,1.201161732
99,6449,2.543474296
100,6709,1.40052764
101,6727,0.554542874
102,6729,2.316761646
103,6730,2.271565771
104,6744,1.470055306
105,6810,3.553590641
106,6847,1.607506746
107,6897,1.705305627
108,6898,0.922138942
109,6899,2.841241907
110,6903,0.506232868
111,6904,2.402502917
112,6906,1.428952636
113,6909,2.84672514
114,6910,1.76985956
115,6911,2.068165
116,6913,0.495666232
117,6914,0.660250421
118,6916,1.900444865
119,6919,1.120182835
120,6921,0.570507585
121,6924,1.841839372
122,6926,1.253337172
123,6928,-0.113391638
124,6933,0.505119416
125,6936,1.541141637
126,6937,0.90047229
127,6939,0.313625372
128,6940,1.403121955
129,6943,1.577385686
130,6944,1.139385505
131,6946,1.43547136
132,6951,-0.159252357
133,6953,1.490017727
134,6958,0.682806386
135,6959,1.449243899
136,6961,0.884201893
137,6962,2.04952465
138,6967,0.188440765
139,6968,-0.643573552
140,6970,1.220507262
141,6973,1.017233927
142,6976,0.204247385
143,6977,2.015696983
144,6979,4.403563901
145,6980,0.581601696
146,6982,2.093642515
147,6983,1.907751028
148,6985,1.139382752
149,6988,0.182002953
150,6989,2.04995462
151,6990,0.164351404
152,6992,2.414453875
153,6994,2.101947081
154,6996,2.006987439
155,6998,2.309257327
156,7000,3.203636368
157,7002,0.640260266
158,7004,2.122847527
159,7008,1.706406744
160,7011,1.927637057
161,7014,2.966388467
162,7015,1.744713024
163,7026,1.830175276
164,7031,0.40290628
165,7034,3.299831077
166,7035,0.173921463
167,7062,1.294397911
168,7069,-0.240160692
169,7071,1.225116106
170,7075,1.880628501
171,7078,0.40289967
172,7080,2.340966278
173,7092,2.029269457
174,7094,0.412070672
175,7098,0.049431886
176,7100,3.159597313
177,7102,2.308886361
178,7105,2.430242602
179,7110,1.750261171
180,7123,1.659655252
181,7126,1.049642224
182,7128,3.637811216
183,7135,2.394526398
184,7139,1.858340587
185,7141,1.850311623
186,7143,0.46308566
187,7145,1.903686416
188,7147,2.734926203
189,7150,1.419222066
190,7151,3.263312718
191,7158,0.277562728
192,7163,2.460450728
193,7164,2.094572317
194,7165,3.446518665
195,7166,2.214672306
196,7169,6.331659453
197,7178,0.4434876
198,7181,1.185207993
199,7186,1.863349685
200,7188,1.632795595
201,7199,2.200689436
202,7201,2.621403435
203,7205,0.860945296
204,7206,2.815885425
205,7224,-0.217439124
206,7227,-0.023276428
207,7229,2.822838216
208,7231,0.428905322
209,7244,1.54352435
210,7252,1.549510474
211,7255,2.399247062
212,7258,1.205603515
213,7260,2.353665622
214,7263,1.63045442
215,7270,2.187983358
216,7275,3.801787638
217,7277,1.255481932
218,7280,1.867027728
219,7282,3.16733802
220,7283,1.452137542
221,7284,0.970803469
222,7291,5.034572714
223,7296,2.69213981
224,7300,1.528627371
225,7306,1.373820964
226,7307,2.496378005
227,7310,0.945178291
228,7316,1.371395289
229,7320,1.807367924
230,7330,1.718748381
231,7331,3.582410134
232,7333,2.777345646
233,7337,4.43733848
234,7340,0.614998879
235,7343,1.760708194
236,7344,0.218786111
237,7346,1.057143218
238,7351,2.950385306
239,7353,1.621001184
240,7354,2.651875256
241,7355,4.186100147
242,7372,4.887369186
243,7373,2.633386233
244,7378,3.466618026
245,7379,1.260829457
246,7382,3.193614351
247,7384,0.22189498
248,7390,-0.580312154
249,7391,0.454882233
250,7392,0.328681573
251,7394,3.672869346
252,7397,2.321759929
253,7405,1.250109333
254,7408,3.004871362
255,7411,2.099859329
256,7418,0.877427466
257,7424,1.737630084
258,7430,0.865344721
259,7438,0.245979898
260,7446,0.63840026
261,7449,2.473092058
262,7460,2.720275233
263,7472,3.400134752
264,7477,0.436464094
265,7479,1.335558885
266,7482,1.152224438
267,7483,3.939293513
268,7490,0.667737405
269,7492,1.478757406
270,7496,1.132745337
271,7498,2.780249756
272,7502,1.465101677
273,7504,2.23238009
274,7506,0.797676726
275,7507,1.130151733
276,7508,3.889909789
277,7514,1.113592967
278,7515,0.609279939
279,7516,0.553829837
280,7520,0.842251727
281,7521,2.132242452
282,7522,0.708291153
283,7523,-0.298911018
284,7525,0.213064475
285,8213,1.106073233
286,8214,3.234342169
287,8215,0.013102596
288,8231,1.993014508
289,8235,0.604191964
