,accession_id,phenotype_value
0,1,-1.2514006978386112e-08
1,2,-1.8232957009599303e-08
2,23,-4.5316152488847154e-08
3,66,-1.1519180067118682e-08
4,81,-8.662960272284597e-09
5,91,-3.793047701679485e-08
6,94,-3.809953672277861e-08
7,96,-2.9017621808216416e-08
8,104,-1.5395834509963956e-08
9,116,-4.012261081191128e-08
10,126,-4.6179680255091964e-08
11,149,-1.74236829228963e-08
12,166,9.139240649304793e-08
13,173,-6.160050919689709e-09
14,178,-2.5335200778662267e-08
15,223,9.037110378616406e-08
16,242,-5.3605286435287076e-08
17,258,-2.451160372056024e-08
18,259,-2.6193520191671087e-08
19,260,-2.2493737984663544e-08
20,267,-9.712474892530204e-09
21,281,3.704176479829677e-08
22,282,-2.483706302244286e-09
23,321,-2.553420851575312e-08
24,328,7.94156431638179e-08
25,357,-3.126053704738399e-08
26,362,-3.243918066547057e-08
27,366,-6.8749183634584825e-09
28,373,-2.335900186865369e-08
29,374,-3.042348507675557e-08
30,378,-1.0577738776520351e-08
31,379,-2.1846579132962972e-08
32,380,-3.025659551795348e-08
33,383,7.822658283925928e-08
34,386,-2.353023172181913e-08
35,390,-1.1253109541582685e-08
36,392,-3.362303263679319e-08
37,641,-2.1062478753567352e-08
38,957,-7.0029570471771645e-09
39,1716,-3.972246937873732e-09
40,1859,-1.897211962073992e-08
41,1867,-2.5533329975817527e-08
42,1925,-3.361911589080327e-08
43,1967,1.8602070314724253e-09
44,2057,4.699933707725803e-09
45,2150,-2.4585812273110546e-08
46,2187,-4.124459786696186e-08
47,2274,-1.637133138972016e-08
48,2290,-2.9325560452764296e-08
49,4802,-2.3143035540357127e-08
50,4997,-1.0907146156572429e-08
51,5056,-1.17611252752179e-08
52,5116,1.034371321127845e-07
53,5122,-1.2111831540839095e-08
54,5158,-1.4978902071581547e-08
55,5160,-2.6079984810349427e-08
56,5202,8.693568743013592e-08
57,5207,-1.5339870091668458e-09
58,5232,5.2449889330818694e-08
59,5245,-1.9538739809343194e-08
60,5264,-2.307510469303931e-08
61,5341,-9.299882748511135e-09
62,5380,-4.294689275945462e-08
63,5381,-1.8895487222569647e-08
64,5565,-1.5739776635601783e-08
65,5606,-3.1054331140873475e-08
66,5628,-4.300071240956008e-08
67,5753,-1.2584934107506651e-08
68,5785,-3.0588384819373965e-08
69,5805,-5.700361341296887e-09
70,5832,-2.4712093876958062e-08
71,5837,-4.624149276604947e-08
72,5887,-2.808764561396078e-08
73,5896,-5.4159521063360446e-08
74,5987,-1.9867956377334387e-08
75,6005,7.263354326883473e-08
76,6008,-1.650889775891239e-08
77,6019,-1.4324576493649984e-08
78,6020,-2.39119344084181e-08
79,6039,9.163182089196952e-08
80,6042,-3.901902725998808e-09
81,6046,-2.307661855553502e-08
82,6074,-2.1737161790755032e-08
83,6085,-2.560773982149165e-08
84,6094,-1.989139396689646e-08
85,6096,-3.0487901764331085e-08
86,6098,3.3181852755603986e-09
87,6100,-1.669705476009486e-08
88,6112,-3.974191459093138e-08
89,6119,-1.9896602320132484e-08
90,6169,-2.66351189404842e-08
91,6188,-5.279120051739894e-09
92,6190,-7.003333821894352e-08
93,6194,8.049731788660389e-08
94,6202,-6.162636004000733e-08
95,6203,8.100015671019182e-08
96,6242,6.265858658635698e-08
97,6243,-4.1452042975403947e-08
98,6318,-1.0353081378434137e-08
99,6413,-1.7605721587718472e-08
100,6448,5.428721536645997e-09
101,6449,-4.7047072362012175e-08
102,6709,-1.7333574650073823e-08
103,6727,-1.3469073031445886e-08
104,6729,6.25531174333277e-08
105,6730,-2.6084314623649863e-08
106,6744,-2.1714370004816025e-08
107,6810,-3.5856791333546094e-08
108,6847,8.321508229124726e-08
109,6897,-2.864321377353188e-08
110,6898,1.9963738212135013e-08
111,6899,-3.8398763335411083e-08
112,6903,-3.419484021650665e-08
113,6904,-2.393558377216687e-08
114,6905,-1.0816635297502353e-08
115,6906,-4.930361678050751e-09
116,6907,-2.343144286026997e-08
117,6909,9.009748491027534e-08
118,6910,-1.5190920210699513e-08
119,6911,-2.576546677368224e-09
120,6913,-3.453339365791049e-08
121,6914,-2.477871215490397e-08
122,6916,8.420904114364206e-08
123,6918,-1.3006164916000784e-08
124,6919,-6.614882325779613e-09
125,6921,7.26029494341046e-08
126,6924,-3.453599783452849e-08
127,6926,-1.2335134445301788e-08
128,6928,-2.2090684007180987e-08
129,6932,-2.7137301479386155e-08
130,6933,-2.5119001714053144e-08
131,6936,-3.050200248048049e-08
132,6937,-3.5547751893813e-08
133,6939,-1.7719871329474443e-08
134,6940,4.535156230774565e-08
135,6942,7.057987534497189e-08
136,6943,-4.126756998389888e-08
137,6944,-3.1008313539559074e-08
138,6946,-3.538173039388361e-08
139,6951,-1.1163001268760178e-08
140,6953,-2.1759509066194808e-08
141,6958,-3.874816751272327e-08
142,6959,-1.721963668250456e-08
143,6961,-1.5706345887941124e-08
144,6962,8.974938282127212e-08
145,6967,8.436638205484479e-08
146,6968,-1.654904024124191e-08
147,6970,-4.581482086800682e-08
148,6973,-3.757386418900004e-08
149,6974,6.821824781443539e-08
150,6976,-2.8996958245207434e-08
151,6977,8.655070332010718e-08
152,6979,-2.1596959801756067e-08
153,6980,1.0000516703012123e-07
154,6982,-3.45485846881822e-08
155,6983,-3.942614245440364e-08
156,6985,-1.8234428947843414e-08
157,6988,-3.068147889293628e-08
158,6989,-1.6889763829827397e-08
159,6990,-2.5299780214817936e-08
160,6992,-3.2532455070030883e-08
161,6994,-1.605010768258098e-08
162,6996,-2.5637465597349107e-08
163,6998,-3.186099056989556e-08
164,7000,8.503177014287145e-08
165,7002,8.620867764321266e-08
166,7004,-3.2703250893759975e-08
167,7008,3.541349812735634e-08
168,7011,8.368406681880109e-08
169,7014,-2.8837013157386692e-08
170,7026,-1.2188644270007412e-08
171,7031,8.687536781954833e-08
172,7035,-3.1196036511305246e-08
173,7062,8.939129805523324e-08
174,7064,-3.221169683551675e-08
175,7069,-1.0179459122837458e-08
176,7071,-1.7580325625161442e-08
177,7075,-3.995068274980828e-08
178,7078,-3.0532818570460247e-08
179,7080,-2.599207812789732e-08
180,7092,-1.6744141713405704e-08
181,7094,8.433860417091937e-08
182,7098,8.146919970725717e-09
183,7100,8.09734691403887e-08
184,7102,-2.5996852451697002e-08
185,7105,-2.0615153773578656e-08
186,7110,-1.7420814566777073e-08
187,7123,-4.130663263316898e-08
188,7126,-2.2974611156933494e-08
189,7128,8.365845908205735e-08
190,7135,8.517088181774811e-08
191,7139,-3.0041264512217045e-08
192,7141,8.062840525743985e-08
193,7143,8.735563711244685e-08
194,7145,-4.7870881194300925e-08
195,7147,8.634561917090767e-08
196,7150,9.172688381958967e-08
197,7151,-4.719941669416559e-08
198,7158,8.16336488751793e-08
199,7163,7.50733065789744e-08
200,7164,7.810032219753755e-08
201,7165,8.650990455309176e-08
202,7166,7.826807981521231e-08
203,7169,6.851253025333312e-08
204,7178,-4.115059381027526e-08
205,7181,-2.1808988421936955e-08
206,7186,-4.485254616446445e-08
207,7188,8.986852914207741e-08
208,7199,6.648772004645507e-08
209,7201,-5.023771707807348e-08
210,7205,8.93604819652535e-08
211,7206,-1.491877327305485e-08
212,7224,-2.1818537069536322e-08
213,7227,7.791867563790013e-08
214,7229,-3.62838867799622e-08
215,7231,-1.0046423860069445e-08
216,7244,2.3420675708981907e-08
217,7252,-2.468387148253343e-08
218,7255,-3.780325398663429e-08
219,7258,8.850780493491701e-08
220,7260,8.262066325659277e-08
221,7263,-3.797318175149071e-08
222,7270,9.355095017163155e-08
223,7275,-2.0315662981444903e-08
224,7277,8.194442443265774e-08
225,7280,8.598015590445106e-08
226,7282,-1.8635482628079433e-08
227,7283,-2.553134015963384e-08
228,7284,-3.7641572781068235e-08
229,7291,-1.695530227471391e-08
230,7296,-2.8285060056918643e-09
231,7300,-3.091737913211556e-08
232,7306,-1.8472499334204345e-08
233,7307,-4.3869438047978025e-08
234,7310,-2.2173583629520855e-08
235,7316,-4.622629125471485e-08
236,7320,-1.9148304128703025e-08
237,7330,-1.982324086432901e-08
238,7331,7.688695622454422e-08
239,7333,-6.052605349464766e-08
240,7337,-1.2255918832639268e-08
241,7340,-2.9748718191064646e-08
242,7343,9.067606711103508e-08
243,7344,-4.6064176019712446e-08
244,7346,-1.730383839315346e-08
245,7351,-2.605067210180249e-08
246,7353,-2.8573980837905067e-08
247,7354,-2.7901648278897073e-08
248,7355,-3.9170488635339696e-08
249,7372,8.663295713882405e-08
250,7373,-2.6391829719824322e-08
251,7378,-3.227983945702128e-08
252,7379,-2.6729515102355507e-08
253,7382,-1.6470692687452046e-08
254,7384,-2.572166730799801e-08
255,7390,-1.4790512334086553e-08
256,7391,-7.390079861198856e-09
257,7392,3.903038071202395e-08
258,7394,-3.3292461575178434e-08
259,7397,9.200988149314272e-08
260,7405,8.96534623158422e-08
261,7408,8.023386201874883e-08
262,7411,-1.9672410394671327e-08
263,7418,1.7246784669119412e-10
264,7424,7.434368213437021e-08
265,7430,-2.219962539570093e-08
266,7438,-6.727729979226588e-09
267,7446,-3.1958213163634476e-08
268,7449,-3.414513860551491e-08
269,7460,-3.027933489857798e-08
270,7472,-2.27133149551972e-08
271,7477,-2.6078015956291563e-08
272,7479,-1.4641417982174178e-08
273,7482,-2.5238359809045147e-08
274,7483,-2.6583892985933817e-08
275,7490,-2.0698921454791217e-08
276,7492,-3.4659262194447494e-08
277,7496,-3.550108848887561e-08
278,7498,-2.742832345697992e-08
279,7502,-3.1633982693629674e-08
280,7504,8.441781978358186e-08
281,7506,5.2797356097261796e-08
282,7507,-3.331676722361316e-08
283,7508,-3.247624301749409e-08
284,7514,1.0594418046661895e-07
285,7515,-1.6331146983139035e-08
286,7516,8.744266525496336e-08
287,7518,8.374201498908319e-08
288,7520,-1.330499942344853e-08
289,7521,-1.4986915894559364e-08
290,7522,-2.1546824161327984e-08
291,7523,-1.6837458042217632e-08
292,7525,-1.6669700424542912e-08
293,8213,-2.5228588906196162e-08
294,8214,9.250264722139701e-09
295,8215,-4.60847871774069e-08
296,8222,1.1939594958171704e-08
297,8231,-1.9513979169346356e-08
298,8235,-1.110526487266482e-08
299,8236,-2.6411138789209765e-08
300,8239,-4.474446235375423e-08
301,8240,4.030681279023753e-09
302,8241,-3.953095532274697e-08
303,8242,-1.093880934329905e-08
304,8256,7.803153377240999e-08
305,8264,-1.7839441198653175e-08
306,8265,8.156182224399739e-08
307,8271,5.706087308589531e-09
308,8274,-3.348343452716563e-08
309,8275,-3.752003405783164e-08
310,8283,-1.7843347463580174e-08
311,8284,-9.097815843240176e-09
312,8296,-3.685204179318699e-08
313,8297,-1.027220958526141e-09
314,8300,-1.5324379021840967e-08
315,8304,-3.937665261759859e-08
316,8306,8.727122362761121e-08
317,8310,6.876927438651933e-08
318,8311,-2.1717831759243794e-08
319,8314,-2.0373166641227807e-08
320,8323,-9.44244569675266e-09
